59: reward=0.00 vs 93.63, recent_win=1 vs 49, winner=blue, win=1 vs 58, draw=0, time=82/5288
60: reward=0.00 vs 91.83, recent_win=1 vs 49, winner=blue, win=1 vs 59, draw=0, time=107/5395
61: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=1 vs 60, draw=0, time=76/5472
62: reward=0.00 vs 93.79, recent_win=1 vs 49, winner=blue, win=1 vs 61, draw=0, time=80/5551
63: reward=0.00 vs 95.00, recent_win=1 vs 49, winner=blue, win=1 vs 62, draw=0, time=63/5614
64: reward=0.00 vs 95.30, recent_win=1 vs 49, winner=blue, win=1 vs 63, draw=0, time=59/5674
65: reward=89.37 vs 0.00, recent_win=2 vs 48, winner=red, win=2 vs 63, draw=0, time=143/5817
66: reward=0.00 vs 92.44, recent_win=2 vs 48, winner=blue, win=2 vs 64, draw=0, time=98/5915
67: reward=0.00 vs 94.35, recent_win=2 vs 48, winner=blue, win=2 vs 65, draw=0, time=72/5987
68: reward=0.00 vs 92.29, recent_win=2 vs 48, winner=blue, win=2 vs 66, draw=0, time=100/6088
69: reward=0.00 vs 94.11, recent_win=2 vs 48, winner=blue, win=2 vs 67, draw=0, time=75/6163
70: reward=0.00 vs 95.30, recent_win=2 vs 48, winner=blue, win=2 vs 68, draw=0, time=59/6222
71: reward=0.00 vs 94.84, recent_win=2 vs 48, winner=blue, win=2 vs 69, draw=0, time=65/6287
72: reward=0.00 vs 95.00, recent_win=2 vs 48, winner=blue, win=2 vs 70, draw=0, time=63/6351
73: reward=0.00 vs 94.11, recent_win=2 vs 48, winner=blue, win=2 vs 71, draw=0, time=75/6426
74: reward=0.00 vs 94.76, recent_win=1 vs 49, winner=blue, win=2 vs 72, draw=0, time=66/6492
75: reward=0.00 vs 93.31, recent_win=1 vs 49, winner=blue, win=2 vs 73, draw=0, time=86/6578
76: reward=0.00 vs 91.75, recent_win=1 vs 49, winner=blue, win=2 vs 74, draw=0, time=108/6687
77: reward=0.00 vs 92.68, recent_win=1 vs 49, winner=blue, win=2 vs 75, draw=0, time=95/6782
78: reward=0.00 vs 93.55, recent_win=1 vs 49, winner=blue, win=2 vs 76, draw=0, time=83/6864
79: reward=0.00 vs 92.13, recent_win=1 vs 49, winner=blue, win=2 vs 77, draw=0, time=103/6967
80: reward=0.00 vs 95.08, recent_win=1 vs 49, winner=blue, win=2 vs 78, draw=0, time=62/7029
81: reward=0.00 vs 90.47, recent_win=1 vs 49, winner=blue, win=2 vs 79, draw=0, time=127/7156
82: reward=0.00 vs 95.53, recent_win=1 vs 49, winner=blue, win=2 vs 80, draw=0, time=56/7212
83: reward=0.00 vs 94.43, recent_win=1 vs 49, winner=blue, win=2 vs 81, draw=0, time=71/7283
84: reward=0.00 vs 90.99, recent_win=1 vs 49, winner=blue, win=2 vs 82, draw=0, time=119/7402
85: reward=0.00 vs 92.21, recent_win=1 vs 49, winner=blue, win=2 vs 83, draw=0, time=102/7504
86: reward=0.00 vs 94.84, recent_win=1 vs 49, winner=blue, win=2 vs 84, draw=0, time=65/7569
87: reward=0.00 vs 94.19, recent_win=1 vs 49, winner=blue, win=2 vs 85, draw=0, time=74/7643
88: reward=0.00 vs 92.60, recent_win=1 vs 49, winner=blue, win=2 vs 86, draw=0, time=96/7740
89: reward=0.00 vs 94.35, recent_win=1 vs 49, winner=blue, win=2 vs 87, draw=0, time=72/7811
90: reward=0.00 vs 95.83, recent_win=1 vs 49, winner=blue, win=2 vs 88, draw=0, time=52/7864
91: reward=0.00 vs 95.45, recent_win=1 vs 49, winner=blue, win=2 vs 89, draw=0, time=57/7921
92: reward=0.00 vs 92.13, recent_win=1 vs 49, winner=blue, win=2 vs 90, draw=0, time=103/8024
93: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=2 vs 91, draw=0, time=76/8100
94: reward=0.00 vs 93.95, recent_win=1 vs 49, winner=blue, win=2 vs 92, draw=0, time=77/8177
95: reward=0.00 vs 94.11, recent_win=1 vs 49, winner=blue, win=2 vs 93, draw=0, time=75/8252
96: reward=0.00 vs 92.06, recent_win=1 vs 49, winner=blue, win=2 vs 94, draw=0, time=104/8356
97: reward=0.00 vs 94.76, recent_win=1 vs 49, winner=blue, win=2 vs 95, draw=0, time=66/8423
98: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=2 vs 96, draw=0, time=76/8499
99: reward=0.00 vs 95.00, recent_win=1 vs 49, winner=blue, win=2 vs 97, draw=0, time=63/8562
100: reward=0.00 vs 92.99, recent_win=1 vs 49, winner=blue, win=2 vs 98, draw=0, time=91/8653
101: reward=0.00 vs 92.37, recent_win=1 vs 49, winner=blue, win=2 vs 99, draw=0, time=99/8752
102: reward=0.00 vs 91.83, recent_win=1 vs 49, winner=blue, win=2 vs 100, draw=0, time=107/8859
103: reward=0.00 vs 93.79, recent_win=1 vs 49, winner=blue, win=2 vs 101, draw=0, time=80/8939
104: reward=0.00 vs 94.68, recent_win=1 vs 49, winner=blue, win=2 vs 102, draw=0, time=68/9006
105: reward=0.00 vs 92.76, recent_win=1 vs 49, winner=blue, win=2 vs 103, draw=0, time=94/9100
106: reward=0.00 vs 91.98, recent_win=1 vs 49, winner=blue, win=2 vs 104, draw=0, time=105/9205
107: reward=0.00 vs 94.52, recent_win=1 vs 49, winner=blue, win=2 vs 105, draw=0, time=70/9275
108: reward=0.00 vs 94.11, recent_win=1 vs 49, winner=blue, win=2 vs 106, draw=0, time=75/9350
109: reward=0.00 vs 92.21, recent_win=1 vs 49, winner=blue, win=2 vs 107, draw=0, time=102/9452
110: reward=0.00 vs 91.83, recent_win=1 vs 49, winner=blue, win=2 vs 108, draw=0, time=107/9559
111: reward=0.00 vs 93.87, recent_win=1 vs 49, winner=blue, win=2 vs 109, draw=0, time=78/9637
112: reward=0.00 vs 92.44, recent_win=1 vs 49, winner=blue, win=2 vs 110, draw=0, time=98/9736
113: reward=0.00 vs 94.19, recent_win=1 vs 49, winner=blue, win=2 vs 111, draw=0, time=74/9810
114: reward=0.00 vs 92.60, recent_win=1 vs 49, winner=blue, win=2 vs 112, draw=0, time=96/9906
115: reward=0.00 vs 91.75, recent_win=0 vs 50, winner=blue, win=2 vs 113, draw=0, time=108/10014
116: reward=0.00 vs 94.19, recent_win=0 vs 50, winner=blue, win=2 vs 114, draw=0, time=74/10088
117: reward=0.00 vs 90.99, recent_win=0 vs 50, winner=blue, win=2 vs 115, draw=0, time=119/10207
118: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=2 vs 116, draw=0, time=76/10284
119: reward=0.00 vs 94.68, recent_win=0 vs 50, winner=blue, win=2 vs 117, draw=0, time=68/10351
120: reward=0.00 vs 93.71, recent_win=0 vs 50, winner=blue, win=2 vs 118, draw=0, time=81/10432
121: reward=0.00 vs 93.95, recent_win=0 vs 50, winner=blue, win=2 vs 119, draw=0, time=77/10509
122: reward=0.00 vs 93.23, recent_win=0 vs 50, winner=blue, win=2 vs 120, draw=0, time=87/10596
123: reward=0.00 vs 92.21, recent_win=0 vs 50, winner=blue, win=2 vs 121, draw=0, time=102/10698
124: reward=0.00 vs 94.84, recent_win=0 vs 50, winner=blue, win=2 vs 122, draw=0, time=65/10763
125: reward=0.00 vs 94.27, recent_win=0 vs 50, winner=blue, win=2 vs 123, draw=0, time=73/10836
126: reward=0.00 vs 95.15, recent_win=0 vs 50, winner=blue, win=2 vs 124, draw=0, time=61/10898
127: reward=0.00 vs 91.75, recent_win=0 vs 50, winner=blue, win=2 vs 125, draw=0, time=108/11006
128: reward=0.00 vs 92.13, recent_win=0 vs 50, winner=blue, win=2 vs 126, draw=0, time=103/11108
129: reward=0.00 vs 93.47, recent_win=0 vs 50, winner=blue, win=2 vs 127, draw=0, time=84/11192
130: reward=0.00 vs 94.35, recent_win=0 vs 50, winner=blue, win=2 vs 128, draw=0, time=72/11264
131: reward=0.00 vs 92.37, recent_win=0 vs 50, winner=blue, win=2 vs 129, draw=0, time=99/11364
132: reward=0.00 vs 94.35, recent_win=0 vs 50, winner=blue, win=2 vs 130, draw=0, time=72/11436
133: reward=0.00 vs 93.63, recent_win=0 vs 50, winner=blue, win=2 vs 131, draw=0, time=82/11517
134: reward=0.00 vs 93.87, recent_win=0 vs 50, winner=blue, win=2 vs 132, draw=0, time=78/11596
135: reward=0.00 vs 92.60, recent_win=0 vs 50, winner=blue, win=2 vs 133, draw=0, time=96/11692
136: reward=0.00 vs 95.08, recent_win=0 vs 50, winner=blue, win=2 vs 134, draw=0, time=62/11754
137: reward=0.00 vs 91.90, recent_win=0 vs 50, winner=blue, win=2 vs 135, draw=0, time=106/11860
138: reward=0.00 vs 91.83, recent_win=0 vs 50, winner=blue, win=2 vs 136, draw=0, time=107/11967
139: reward=0.00 vs 94.52, recent_win=0 vs 50, winner=blue, win=2 vs 137, draw=0, time=70/12037
140: reward=0.00 vs 93.15, recent_win=0 vs 50, winner=blue, win=2 vs 138, draw=0, time=88/12125
141: reward=0.00 vs 91.67, recent_win=0 vs 50, winner=blue, win=2 vs 139, draw=0, time=109/12235
142: reward=0.00 vs 92.60, recent_win=0 vs 50, winner=blue, win=2 vs 140, draw=0, time=96/12331
143: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=2 vs 141, draw=0, time=76/12407
144: reward=0.00 vs 93.63, recent_win=0 vs 50, winner=blue, win=2 vs 142, draw=0, time=82/12489
145: reward=0.00 vs 92.37, recent_win=0 vs 50, winner=blue, win=2 vs 143, draw=0, time=99/12588
146: reward=0.00 vs 91.90, recent_win=0 vs 50, winner=blue, win=2 vs 144, draw=0, time=106/12694
147: reward=0.00 vs 94.84, recent_win=0 vs 50, winner=blue, win=2 vs 145, draw=0, time=65/12760
148: reward=0.00 vs 94.84, recent_win=0 vs 50, winner=blue, win=2 vs 146, draw=0, time=65/12825
149: reward=0.00 vs 91.67, recent_win=0 vs 50, winner=blue, win=2 vs 147, draw=0, time=109/12934
150: reward=0.00 vs 92.44, recent_win=0 vs 50, winner=blue, win=2 vs 148, draw=0, time=98/13033
151: reward=0.00 vs 92.76, recent_win=0 vs 50, winner=blue, win=2 vs 149, draw=0, time=94/13126
152: reward=0.00 vs 95.08, recent_win=0 vs 50, winner=blue, win=2 vs 150, draw=0, time=62/13189
153: reward=0.00 vs 92.44, recent_win=0 vs 50, winner=blue, win=2 vs 151, draw=0, time=98/13287
154: reward=0.00 vs 95.83, recent_win=0 vs 50, winner=blue, win=2 vs 152, draw=0, time=52/13339
155: reward=0.00 vs 94.19, recent_win=0 vs 50, winner=blue, win=2 vs 153, draw=0, time=74/13413
