58: reward=0.05 vs 2.90, win=5 vs 29, recent_win=4 vs 25, draw=24, winner=draw, time=52/6260
59: reward=-0.10 vs 2.90, win=5 vs 29, recent_win=4 vs 24, draw=25, winner=draw, time=40/6300
60: reward=0.10 vs 2.90, win=6 vs 29, recent_win=5 vs 23, draw=25, winner=red, time=71/6371
61: reward=-1.25 vs 2.80, win=6 vs 30, recent_win=4 vs 24, draw=25, winner=blue, time=77/6448
62: reward=-0.05 vs 5.70, win=6 vs 30, recent_win=4 vs 23, draw=26, winner=draw, time=170/6618
63: reward=1.65 vs 9.50, win=6 vs 30, recent_win=4 vs 22, draw=27, winner=draw, time=204/6822
64: reward=-0.10 vs 9.50, win=6 vs 30, recent_win=4 vs 22, draw=28, winner=draw, time=41/6863
65: reward=1.05 vs 5.60, win=6 vs 31, recent_win=4 vs 22, draw=28, winner=blue, time=190/7052
66: reward=0.30 vs 5.60, win=6 vs 31, recent_win=4 vs 21, draw=29, winner=draw, time=49/7102
67: reward=-0.60 vs 1.00, win=6 vs 31, recent_win=4 vs 20, draw=30, winner=draw, time=43/7145
68: reward=1.60 vs 10.30, win=6 vs 32, recent_win=4 vs 21, draw=30, winner=blue, time=274/7418
69: reward=2.85 vs 12.20, win=6 vs 33, recent_win=4 vs 22, draw=30, winner=blue, time=313/7731
70: reward=1.15 vs 4.70, win=6 vs 33, recent_win=4 vs 21, draw=31, winner=draw, time=149/7880
71: reward=2.75 vs 5.50, win=6 vs 34, recent_win=4 vs 22, draw=31, winner=blue, time=177/8057
72: reward=-0.05 vs 3.90, win=6 vs 35, recent_win=4 vs 22, draw=31, winner=blue, time=92/8149
73: reward=-0.25 vs 3.90, win=6 vs 36, recent_win=4 vs 23, draw=31, winner=blue, time=81/8230
74: reward=-1.05 vs 1.00, win=6 vs 36, recent_win=4 vs 23, draw=32, winner=draw, time=45/8275
75: reward=2.45 vs 3.70, win=7 vs 36, recent_win=5 vs 22, draw=32, winner=red, time=163/8438
76: reward=-1.25 vs 2.90, win=7 vs 37, recent_win=5 vs 22, draw=32, winner=blue, time=77/8516
77: reward=0.20 vs 2.90, win=7 vs 37, recent_win=5 vs 22, draw=33, winner=draw, time=44/8560
78: reward=-0.35 vs 2.80, win=7 vs 38, recent_win=5 vs 22, draw=33, winner=blue, time=86/8646
79: reward=0.45 vs 8.60, win=7 vs 39, recent_win=5 vs 23, draw=33, winner=blue, time=197/8843
80: reward=1.55 vs 7.60, win=7 vs 40, recent_win=5 vs 24, draw=33, winner=blue, time=187/9031
81: reward=1.45 vs 4.70, win=8 vs 40, recent_win=5 vs 24, draw=33, winner=red, time=175/9206
82: reward=-1.25 vs 2.00, win=8 vs 40, recent_win=5 vs 24, draw=34, winner=draw, time=59/9265
83: reward=0.20 vs 2.90, win=8 vs 41, recent_win=5 vs 24, draw=34, winner=blue, time=76/9342
84: reward=1.50 vs 2.70, win=9 vs 41, recent_win=6 vs 24, draw=34, winner=red, time=160/9501
85: reward=1.50 vs 8.50, win=9 vs 42, recent_win=6 vs 24, draw=34, winner=blue, time=234/9735
86: reward=0.05 vs 8.50, win=9 vs 42, recent_win=6 vs 23, draw=35, winner=draw, time=48/9783
87: reward=-1.25 vs 4.00, win=9 vs 43, recent_win=6 vs 24, draw=35, winner=blue, time=99/9883
88: reward=0.10 vs 3.80, win=9 vs 43, recent_win=6 vs 23, draw=36, winner=draw, time=119/10002
89: reward=-0.15 vs 3.90, win=9 vs 44, recent_win=6 vs 24, draw=36, winner=blue, time=81/10083
90: reward=1.75 vs 3.90, win=10 vs 44, recent_win=7 vs 23, draw=36, winner=red, time=62/10145
91: reward=-0.90 vs 2.90, win=10 vs 45, recent_win=7 vs 23, draw=36, winner=blue, time=85/10230
92: reward=-1.45 vs 2.90, win=10 vs 46, recent_win=7 vs 23, draw=36, winner=blue, time=77/10307
93: reward=0.05 vs 2.80, win=10 vs 47, recent_win=7 vs 23, draw=36, winner=blue, time=81/10388
94: reward=3.40 vs 4.70, win=11 vs 47, recent_win=8 vs 23, draw=36, winner=red, time=185/10573
95: reward=1.55 vs 7.60, win=11 vs 48, recent_win=8 vs 24, draw=36, winner=blue, time=170/10743
96: reward=1.20 vs 7.60, win=12 vs 48, recent_win=9 vs 24, draw=36, winner=red, time=62/10805
97: reward=-0.55 vs 2.00, win=12 vs 49, recent_win=9 vs 25, draw=36, winner=blue, time=61/10866
98: reward=1.30 vs 2.00, win=13 vs 49, recent_win=9 vs 25, draw=36, winner=red, time=64/10931
99: reward=0.95 vs 2.00, win=13 vs 49, recent_win=9 vs 24, draw=37, winner=draw, time=61/10992
100: reward=0.65 vs 2.80, win=13 vs 50, recent_win=9 vs 24, draw=37, winner=blue, time=98/11090
101: reward=0.15 vs 2.80, win=13 vs 50, recent_win=9 vs 24, draw=38, winner=draw, time=53/11143
102: reward=-0.05 vs 2.80, win=13 vs 51, recent_win=9 vs 24, draw=38, winner=blue, time=89/11233
103: reward=0.20 vs 3.90, win=13 vs 52, recent_win=9 vs 24, draw=38, winner=blue, time=87/11320
104: reward=0.30 vs 3.90, win=13 vs 53, recent_win=9 vs 25, draw=38, winner=blue, time=93/11413
105: reward=1.70 vs 3.90, win=14 vs 53, recent_win=10 vs 25, draw=38, winner=red, time=63/11476
106: reward=0.40 vs 3.90, win=15 vs 53, recent_win=10 vs 25, draw=38, winner=red, time=66/11542
107: reward=1.20 vs 3.90, win=15 vs 53, recent_win=10 vs 24, draw=39, winner=draw, time=61/11604
108: reward=-1.40 vs 4.00, win=15 vs 54, recent_win=10 vs 25, draw=39, winner=blue, time=98/11702
109: reward=0.95 vs 4.00, win=15 vs 54, recent_win=10 vs 25, draw=40, winner=draw, time=57/11759
110: reward=0.55 vs 4.00, win=16 vs 54, recent_win=10 vs 25, draw=40, winner=red, time=61/11820
111: reward=-0.55 vs 1.00, win=16 vs 54, recent_win=10 vs 24, draw=41, winner=draw, time=54/11875
112: reward=6.70 vs 11.10, win=17 vs 54, recent_win=11 vs 24, draw=41, winner=red, time=366/12240
113: reward=1.20 vs 5.60, win=17 vs 55, recent_win=11 vs 25, draw=41, winner=blue, time=158/12398
114: reward=2.25 vs 0.90, win=17 vs 55, recent_win=11 vs 25, draw=42, winner=draw, time=75/12473
115: reward=-1.35 vs 2.90, win=17 vs 56, recent_win=11 vs 25, draw=42, winner=blue, time=76/12549
116: reward=0.15 vs 3.90, win=17 vs 57, recent_win=11 vs 26, draw=42, winner=blue, time=87/12637
117: reward=0.55 vs 3.90, win=18 vs 57, recent_win=12 vs 26, draw=42, winner=red, time=68/12704
118: reward=2.30 vs 7.60, win=18 vs 58, recent_win=12 vs 26, draw=42, winner=blue, time=191/12895
119: reward=-1.80 vs 4.00, win=18 vs 59, recent_win=12 vs 26, draw=42, winner=blue, time=91/12985
120: reward=-0.70 vs 3.90, win=18 vs 60, recent_win=12 vs 27, draw=42, winner=blue, time=89/13075
