68: reward=-29.14 vs 69.10, winner=blue, r_win=15:29:6, win=21:39:8, time=662/29947
69: reward=76.07 vs -29.35, winner=red, r_win=15:29:6, win=22:39:8, time=351/30297
70: reward=-29.65 vs 71.57, winner=blue, r_win=14:30:6, win=22:40:8, time=554/30851
71: reward=-17.63 vs -14.63, winner=draw, r_win=13:30:7, win=22:40:9, time=294/31144
72: reward=-30.88 vs 74.80, winner=blue, r_win=13:30:7, win=22:41:9, time=461/31605
73: reward=-31.37 vs 76.18, winner=blue, r_win=13:31:6, win=22:42:9, time=424/32029
74: reward=-32.50 vs 80.20, winner=blue, r_win=13:31:6, win=22:43:9, time=317/32345
75: reward=-17.81 vs -13.81, winner=draw, r_win=13:30:7, win=22:43:10, time=326/32671
76: reward=73.80 vs -28.26, winner=red, r_win=14:29:7, win=23:43:10, time=395/33065
77: reward=-31.86 vs 76.64, winner=blue, r_win=14:29:7, win=23:44:10, time=425/33490
78: reward=-30.75 vs 75.07, winner=blue, r_win=13:30:7, win=23:45:10, time=444/33934
79: reward=-32.12 vs 75.49, winner=blue, r_win=13:30:7, win=23:46:10, time=485/34418
80: reward=-30.53 vs 73.77, winner=blue, r_win=13:30:7, win=23:47:10, time=491/34909
81: reward=75.05 vs -29.06, winner=red, r_win=14:29:7, win=24:47:10, time=378/35286
82: reward=-17.16 vs -14.96, winner=draw, r_win=14:28:8, win=24:47:11, time=301/35587
83: reward=-29.41 vs 70.07, winner=blue, r_win=13:29:8, win=24:48:11, time=621/36208
84: reward=-30.92 vs 74.46, winner=blue, r_win=13:29:8, win=24:49:11, time=478/36685
85: reward=-30.69 vs 72.22, winner=blue, r_win=12:30:8, win=24:50:11, time=574/37259
86: reward=-31.75 vs 74.12, winner=blue, r_win=12:30:8, win=24:51:11, time=532/37790
87: reward=-36.65 vs 91.47, winner=blue, r_win=12:31:7, win=24:52:11, time=114/37904
88: reward=80.52 vs -31.73, winner=red, r_win=12:31:7, win=25:52:11, time=281/38185
89: reward=76.27 vs -29.49, winner=red, r_win=13:31:6, win=26:52:11, time=349/38533
90: reward=72.39 vs -28.00, winner=red, r_win=14:30:6, win=27:52:11, time=441/38974
91: reward=-33.66 vs 82.21, winner=blue, r_win=14:30:6, win=27:53:11, time=289/39262
92: reward=-29.71 vs 71.87, winner=blue, r_win=14:30:6, win=27:54:11, time=542/39804
93: reward=-33.77 vs 82.63, winner=blue, r_win=13:31:6, win=27:55:11, time=279/40083
94: reward=78.65 vs -30.80, winner=red, r_win=13:31:6, win=28:55:11, time=312/40394
95: reward=-33.27 vs 80.47, winner=blue, r_win=13:31:6, win=28:56:11, time=334/40728
96: reward=-17.27 vs -14.87, winner=draw, r_win=12:31:7, win=28:56:12, time=300/41027
97: reward=80.39 vs -31.38, winner=red, r_win=12:31:7, win=29:56:12, time=274/41301
98: reward=-17.23 vs -14.03, winner=draw, r_win=12:30:8, win=29:56:13, time=345/41646
99: reward=-31.11 vs 75.22, winner=blue, r_win=12:30:8, win=29:57:13, time=453/42098
100: reward=77.08 vs -29.93, winner=red, r_win=13:29:8, win=30:57:13, time=336/42434
101: reward=-33.97 vs 82.83, winner=blue, r_win=12:30:8, win=30:58:13, time=279/42712
102: reward=79.70 vs -31.40, winner=red, r_win=12:30:8, win=31:58:13, time=297/43009
103: reward=-31.79 vs 77.23, winner=blue, r_win=12:31:7, win=31:59:13, time=399/43408
104: reward=-30.77 vs 74.37, winner=blue, r_win=12:31:7, win=31:60:13, time=475/43882
105: reward=-34.50 vs 85.51, winner=blue, r_win=12:31:7, win=31:61:13, time=214/44096
106: reward=-17.74 vs -14.74, winner=draw, r_win=12:30:8, win=31:61:14, time=283/44379
107: reward=-31.86 vs 76.49, winner=blue, r_win=12:30:8, win=31:62:14, time=431/44809
108: reward=53.93 vs -19.41, winner=red, r_win=13:29:8, win=32:62:14, time=1136/45945
109: reward=79.52 vs -30.79, winner=red, r_win=13:29:8, win=33:62:14, time=283/46228
110: reward=-31.02 vs 75.16, winner=blue, r_win=13:29:8, win=33:63:14, time=452/46679
111: reward=-30.70 vs 72.41, winner=blue, r_win=13:29:8, win=33:64:14, time=565/47244
112: reward=-35.98 vs 89.95, winner=blue, r_win=13:29:8, win=33:65:14, time=135/47378
113: reward=-34.43 vs 85.63, winner=blue, r_win=12:30:8, win=33:66:14, time=208/47587
114: reward=-34.13 vs 83.36, winner=blue, r_win=12:31:7, win=33:67:14, time=267/47853
115: reward=-17.53 vs -14.53, winner=draw, r_win=12:31:7, win=33:67:15, time=304/48157
116: reward=-32.76 vs 80.55, winner=blue, r_win=12:31:7, win=33:68:15, time=314/48471
117: reward=-30.47 vs 71.68, winner=blue, r_win=12:31:7, win=33:69:15, time=591/49061
118: reward=-33.64 vs 83.20, winner=blue, r_win=12:31:7, win=33:70:15, time=257/49318
119: reward=74.63 vs -28.77, winner=red, r_win=12:31:7, win=34:70:15, time=383/49700
120: reward=-35.82 vs 89.71, winner=blue, r_win=12:31:7, win=34:71:15, time=137/49837
121: reward=-31.98 vs 77.39, winner=blue, r_win=12:32:6, win=34:72:15, time=400/50237
122: reward=76.67 vs -29.89, winner=red, r_win=13:31:6, win=35:72:15, time=349/50585
123: reward=-29.42 vs 71.14, winner=blue, r_win=13:31:6, win=35:73:15, time=564/51149
124: reward=-31.86 vs 77.25, winner=blue, r_win=13:31:6, win=35:74:15, time=401/51550
125: reward=75.28 vs -29.21, winner=red, r_win=14:31:5, win=36:74:15, time=375/51924
126: reward=-33.54 vs 81.30, winner=blue, r_win=13:32:5, win=36:75:15, time=315/52239
127: reward=80.72 vs -31.39, winner=red, r_win=14:31:5, win=37:75:15, time=264/52502
128: reward=-28.80 vs 66.90, winner=blue, r_win=14:31:5, win=37:76:15, time=786/53288
129: reward=-17.16 vs -13.76, winner=draw, r_win=14:30:6, win=37:76:16, time=364/53652
130: reward=-30.90 vs 74.71, winner=blue, r_win=14:30:6, win=37:77:16, time=466/54117
131: reward=-17.21 vs -13.01, winner=draw, r_win=13:30:7, win=37:77:17, time=403/54520
132: reward=76.63 vs -29.51, winner=red, r_win=14:30:6, win=38:77:17, time=337/54856
133: reward=-32.28 vs 77.69, winner=blue, r_win=14:30:6, win=38:78:17, time=400/55256
134: reward=-31.22 vs 75.05, winner=blue, r_win=14:30:6, win=38:79:17, time=465/55721
135: reward=45.45 vs -13.74, winner=red, r_win=15:29:6, win=39:79:17, time=1719/57439
136: reward=79.35 vs -30.96, winner=red, r_win=16:28:6, win=40:79:17, time=294/57733
137: reward=79.10 vs -30.74, winner=red, r_win=17:27:6, win=41:79:17, time=295/58028
138: reward=76.98 vs -29.83, winner=red, r_win=17:27:6, win=42:79:17, time=336/58363
139: reward=-31.00 vs 72.40, winner=blue, r_win=16:28:6, win=42:80:17, time=581/58944
140: reward=-30.06 vs 70.96, winner=blue, r_win=15:29:6, win=42:81:17, time=608/59551
141: reward=-29.91 vs 72.53, winner=blue, r_win=15:29:6, win=42:82:17, time=520/60071
142: reward=-32.66 vs 80.16, winner=blue, r_win=15:29:6, win=42:83:17, time=324/60395
143: reward=-30.61 vs 74.12, winner=blue, r_win=15:29:6, win=42:84:17, time=479/60873
144: reward=73.96 vs -28.62, winner=red, r_win=15:29:6, win=43:84:17, time=403/61276
145: reward=79.45 vs -31.24, winner=red, r_win=16:28:6, win=44:84:17, time=300/61575
