69: reward=0.00 vs 20.39, winner=blue, r_win=0:50:0, win=0:69:0, time=71/6143
70: reward=0.00 vs 20.27, winner=blue, r_win=0:50:0, win=0:70:0, time=78/6222
71: reward=0.00 vs 20.35, winner=blue, r_win=0:50:0, win=0:71:0, time=73/6295
72: reward=0.00 vs 20.44, winner=blue, r_win=0:50:0, win=0:72:0, time=68/6362
73: reward=0.00 vs 19.52, winner=blue, r_win=0:50:0, win=0:73:0, time=96/6458
74: reward=0.00 vs 19.71, winner=blue, r_win=0:50:0, win=0:74:0, time=118/6576
75: reward=0.00 vs 19.80, winner=blue, r_win=0:50:0, win=0:75:0, time=111/6688
76: reward=0.00 vs 19.67, winner=blue, r_win=0:50:0, win=0:76:0, time=121/6809
77: reward=0.00 vs 20.40, winner=blue, r_win=0:50:0, win=0:77:0, time=70/6879
78: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:78:0, time=76/6955
79: reward=0.00 vs 20.34, winner=blue, r_win=0:50:0, win=0:79:0, time=74/7029
80: reward=0.00 vs 19.77, winner=blue, r_win=0:50:0, win=0:80:0, time=114/7143
81: reward=0.00 vs 19.56, winner=blue, r_win=0:50:0, win=0:81:0, time=129/7272
82: reward=0.00 vs 20.40, winner=blue, r_win=0:50:0, win=0:82:0, time=70/7342
83: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:83:0, time=76/7418
84: reward=0.00 vs 19.41, winner=blue, r_win=0:50:0, win=0:84:0, time=104/7522
85: reward=0.00 vs 20.19, winner=blue, r_win=0:50:0, win=0:85:0, time=84/7606
86: reward=0.00 vs 20.39, winner=blue, r_win=0:50:0, win=0:86:0, time=71/7677
87: reward=0.00 vs 19.73, winner=blue, r_win=0:50:0, win=0:87:0, time=117/7794
88: reward=0.00 vs 19.82, winner=blue, r_win=0:50:0, win=0:88:0, time=110/7904
89: reward=0.00 vs 20.34, winner=blue, r_win=0:50:0, win=0:89:0, time=74/7978
90: reward=0.00 vs 20.29, winner=blue, r_win=0:50:0, win=0:90:0, time=77/8056
91: reward=0.00 vs 19.97, winner=blue, r_win=0:50:0, win=0:91:0, time=99/8155
92: reward=0.00 vs 20.13, winner=blue, r_win=0:50:0, win=0:92:0, time=88/8243
93: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:93:0, time=76/8320
94: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:94:0, time=76/8396
95: reward=0.00 vs 19.79, winner=blue, r_win=0:50:0, win=0:95:0, time=113/8509
96: reward=0.00 vs 20.08, winner=blue, r_win=0:50:0, win=0:96:0, time=92/8600
97: reward=0.00 vs 20.27, winner=blue, r_win=0:50:0, win=0:97:0, time=78/8679
98: reward=0.00 vs 20.23, winner=blue, r_win=0:50:0, win=0:98:0, time=82/8761
99: reward=0.00 vs 20.11, winner=blue, r_win=0:50:0, win=0:99:0, time=89/8850
100: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:100:0, time=76/8926
101: reward=0.00 vs 20.34, winner=blue, r_win=0:50:0, win=0:101:0, time=74/9000
102: reward=0.00 vs 19.79, winner=blue, r_win=0:50:0, win=0:102:0, time=113/9113
103: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:103:0, time=75/9188
104: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:104:0, time=80/9268
105: reward=0.00 vs 20.39, winner=blue, r_win=0:50:0, win=0:105:0, time=71/9339
106: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:106:0, time=76/9415
107: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:107:0, time=75/9490
108: reward=0.00 vs 19.60, winner=blue, r_win=0:50:0, win=0:108:0, time=91/9581
109: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:109:0, time=75/9656
110: reward=0.00 vs 19.65, winner=blue, r_win=0:50:0, win=0:110:0, time=122/9778
111: reward=0.00 vs 19.70, winner=blue, r_win=0:50:0, win=0:111:0, time=119/9898
112: reward=0.00 vs 20.29, winner=blue, r_win=0:50:0, win=0:112:0, time=77/9975
113: reward=0.00 vs 20.40, winner=blue, r_win=0:50:0, win=0:113:0, time=70/10045
114: reward=0.00 vs 20.34, winner=blue, r_win=0:50:0, win=0:114:0, time=74/10119
115: reward=0.00 vs 20.35, winner=blue, r_win=0:50:0, win=0:115:0, time=73/10192
116: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:116:0, time=76/10268
117: reward=0.00 vs 19.62, winner=blue, r_win=0:50:0, win=0:117:0, time=125/10393
118: reward=0.00 vs 20.24, winner=blue, r_win=0:50:0, win=0:118:0, time=81/10474
119: reward=0.00 vs 20.35, winner=blue, r_win=0:50:0, win=0:119:0, time=73/10547
120: reward=0.00 vs 20.42, winner=blue, r_win=0:50:0, win=0:120:0, time=69/10615
121: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:121:0, time=80/10695
122: reward=0.00 vs 20.37, winner=blue, r_win=0:50:0, win=0:122:0, time=72/10767
