68: reward=-18.79 vs -18.79, winner=draw, r_win=5:9:36, win=5:11:52, time=77/6643
69: reward=95.31 vs -38.32, winner=red, r_win=6:9:35, win=6:11:52, time=86/6729
70: reward=-18.87 vs -18.87, winner=draw, r_win=6:9:35, win=6:11:53, time=72/6801
71: reward=-18.97 vs -18.97, winner=draw, r_win=6:9:35, win=6:11:54, time=65/6866
72: reward=-26.15 vs 83.38, winner=blue, r_win=5:10:35, win=6:12:54, time=166/7032
73: reward=-31.72 vs 87.30, winner=blue, r_win=5:11:34, win=6:13:54, time=144/7177
74: reward=92.77 vs -37.31, winner=red, r_win=6:11:33, win=7:13:54, time=122/7299
75: reward=95.93 vs -38.47, winner=red, r_win=7:10:33, win=8:13:54, time=64/7364
76: reward=-30.32 vs 85.80, winner=blue, r_win=7:10:33, win=8:14:54, time=160/7524
77: reward=94.91 vs -38.17, winner=red, r_win=8:10:32, win=9:14:54, time=92/7615
78: reward=-17.69 vs -19.19, winner=draw, r_win=8:10:32, win=9:14:55, time=84/7699
79: reward=-18.09 vs -18.09, winner=draw, r_win=7:10:33, win=9:14:56, time=127/7826
80: reward=-29.98 vs 86.95, winner=blue, r_win=7:11:32, win=9:15:56, time=135/7961
81: reward=96.11 vs -38.64, winner=red, r_win=8:11:31, win=10:15:56, time=75/8036
82: reward=-35.13 vs 91.84, winner=blue, r_win=8:12:30, win=10:16:56, time=93/8129
83: reward=-36.42 vs 92.79, winner=blue, r_win=8:13:29, win=10:17:56, time=100/8229
84: reward=-8.65 vs -22.15, winner=draw, r_win=8:13:29, win=10:17:57, time=161/8390
85: reward=-18.18 vs -18.18, winner=draw, r_win=8:13:29, win=10:17:58, time=120/8511
86: reward=-18.85 vs -18.85, winner=draw, r_win=8:13:29, win=10:17:59, time=73/8584
87: reward=-18.92 vs -18.92, winner=draw, r_win=8:13:29, win=10:17:60, time=69/8652
88: reward=-16.44 vs -19.44, winner=draw, r_win=8:13:29, win=10:17:61, time=102/8754
89: reward=-25.53 vs 81.82, winner=blue, r_win=8:13:29, win=10:18:61, time=192/8946
90: reward=-8.59 vs -22.09, winner=draw, r_win=8:13:29, win=10:18:62, time=165/9111
91: reward=-18.79 vs -18.79, winner=draw, r_win=8:13:29, win=10:18:63, time=77/9188
92: reward=-31.10 vs 87.75, winner=blue, r_win=8:14:28, win=10:19:63, time=130/9319
93: reward=-31.34 vs 88.09, winner=blue, r_win=8:14:28, win=10:20:63, time=140/9459
94: reward=-18.15 vs -18.15, winner=draw, r_win=8:13:29, win=10:20:64, time=122/9581
95: reward=-18.69 vs -18.69, winner=draw, r_win=8:13:29, win=10:20:65, time=84/9665
96: reward=-17.66 vs -19.16, winner=draw, r_win=8:13:29, win=10:20:66, time=86/9751
97: reward=-32.79 vs 89.98, winner=blue, r_win=8:13:29, win=10:21:66, time=105/9856
98: reward=-17.81 vs -19.31, winner=draw, r_win=8:12:30, win=10:21:67, time=76/9933
99: reward=-18.89 vs -18.89, winner=draw, r_win=8:12:30, win=10:21:68, time=71/10003
100: reward=-37.40 vs 92.99, winner=blue, r_win=8:13:29, win=10:22:68, time=119/10123
101: reward=-18.46 vs -18.46, winner=draw, r_win=8:13:29, win=10:22:69, time=100/10223
102: reward=93.22 vs -37.49, winner=red, r_win=9:13:28, win=11:22:69, time=116/10339
103: reward=-36.42 vs 93.05, winner=blue, r_win=9:14:27, win=11:23:69, time=83/10422
104: reward=-26.10 vs 83.25, winner=blue, r_win=9:15:26, win=11:24:69, time=169/10591
105: reward=-30.21 vs 85.52, winner=blue, r_win=8:16:26, win=11:25:69, time=164/10755
106: reward=-16.96 vs -18.46, winner=draw, r_win=8:16:26, win=11:25:70, time=137/10892
107: reward=-9.09 vs -21.09, winner=draw, r_win=8:16:26, win=11:25:71, time=206/11098
108: reward=-9.48 vs -21.48, winner=draw, r_win=8:16:26, win=11:25:72, time=174/11272
109: reward=95.71 vs -38.48, winner=red, r_win=9:16:25, win=12:25:72, time=81/11353
110: reward=-32.75 vs 87.87, winner=blue, r_win=9:17:24, win=12:26:72, time=143/11496
111: reward=-8.26 vs -21.76, winner=draw, r_win=8:17:25, win=12:26:73, time=192/11688
112: reward=-27.63 vs 83.09, winner=blue, r_win=8:17:25, win=12:27:73, time=187/11875
113: reward=-26.02 vs 83.04, winner=blue, r_win=8:18:24, win=12:28:73, time=172/12047
114: reward=-18.85 vs -18.85, winner=draw, r_win=8:18:24, win=12:28:74, time=73/12120
115: reward=-18.85 vs -18.85, winner=draw, r_win=8:18:24, win=12:28:75, time=73/12193
116: reward=-7.85 vs -21.35, winner=draw, r_win=8:17:25, win=12:28:76, time=227/12420
117: reward=95.44 vs -38.48, winner=red, r_win=8:17:25, win=13:28:76, time=98/12519
118: reward=95.63 vs -38.45, winner=red, r_win=9:17:24, win=14:28:76, time=82/12600
119: reward=94.84 vs -38.13, winner=red, r_win=9:17:24, win=15:28:76, time=93/12693
120: reward=-33.79 vs 90.48, winner=blue, r_win=9:18:23, win=15:29:76, time=105/12798
121: reward=-25.77 vs 82.42, winner=blue, r_win=9:19:22, win=15:30:76, time=182/12980
122: reward=-18.38 vs -18.38, winner=draw, r_win=9:18:23, win=15:30:77, time=106/13086
123: reward=-8.52 vs -22.02, winner=draw, r_win=9:17:24, win=15:30:78, time=171/13257
124: reward=-18.92 vs -18.92, winner=draw, r_win=8:17:25, win=15:30:79, time=69/13325
125: reward=-17.11 vs -18.61, winner=draw, r_win=7:17:26, win=15:30:80, time=126/13451
126: reward=-18.47 vs -18.47, winner=draw, r_win=7:16:27, win=15:30:81, time=99/13551
127: reward=92.39 vs -37.16, winner=red, r_win=7:16:27, win=16:30:81, time=128/13679
128: reward=-24.80 vs 80.00, winner=blue, r_win=7:17:26, win=16:31:81, time=223/13901
129: reward=92.62 vs -37.25, winner=red, r_win=8:17:25, win=17:31:81, time=125/14026
130: reward=-25.16 vs 80.90, winner=blue, r_win=8:17:25, win=17:32:81, time=207/14233
131: reward=-26.10 vs 83.25, winner=blue, r_win=7:18:25, win=17:33:81, time=169/14402
132: reward=-27.88 vs 83.70, winner=blue, r_win=7:18:25, win=17:34:81, time=177/14579
133: reward=94.60 vs -38.04, winner=red, r_win=8:17:25, win=18:34:81, time=96/14675
134: reward=95.14 vs -38.46, winner=red, r_win=9:17:24, win=19:34:81, time=117/14792
135: reward=-8.38 vs -21.88, winner=draw, r_win=9:17:24, win=19:34:82, time=182/14974
136: reward=93.29 vs -37.42, winner=red, r_win=10:17:23, win=20:34:82, time=100/15075
137: reward=-6.56 vs -21.56, winner=draw, r_win=10:17:23, win=20:34:83, time=253/15328
138: reward=-23.60 vs 79.00, winner=blue, r_win=10:18:22, win=20:35:83, time=231/15560
139: reward=95.39 vs -38.36, winner=red, r_win=11:17:22, win=21:35:83, time=85/15645
140: reward=-18.08 vs -18.08, winner=draw, r_win=11:17:22, win=21:35:84, time=128/15773
141: reward=-8.48 vs -21.98, winner=draw, r_win=11:17:22, win=21:35:85, time=174/15947
142: reward=-23.93 vs 77.83, winner=blue, r_win=11:17:22, win=21:36:85, time=262/16209
143: reward=-24.98 vs 80.45, winner=blue, r_win=11:17:22, win=21:37:85, time=215/16423
144: reward=-24.08 vs 80.21, winner=blue, r_win=11:18:21, win=21:38:85, time=210/16634
145: reward=-15.67 vs -18.67, winner=draw, r_win=11:18:21, win=21:38:86, time=159/16793
146: reward=94.60 vs -38.04, winner=red, r_win=12:18:20, win=22:38:86, time=96/16889
147: reward=-28.72 vs 83.79, winner=blue, r_win=12:18:20, win=22:39:86, time=184/17073
148: reward=-28.72 vs 85.80, winner=blue, r_win=12:19:19, win=22:40:86, time=144/17217
149: reward=-27.69 vs 83.22, winner=blue, r_win=12:20:18, win=22:41:86, time=185/17403
150: reward=-18.84 vs -18.84, winner=draw, r_win=12:19:19, win=22:41:87, time=74/17477
151: reward=-28.78 vs 85.94, winner=blue, r_win=12:20:18, win=22:42:87, time=142/17619
152: reward=-29.69 vs 86.23, winner=blue, r_win=11:21:18, win=22:43:87, time=146/17765
153: reward=-25.61 vs 82.02, winner=blue, r_win=11:21:18, win=22:44:87, time=188/17953
154: reward=-9.37 vs -21.37, winner=draw, r_win=11:20:19, win=22:44:88, time=183/18136
155: reward=-18.94 vs -18.94, winner=draw, r_win=11:19:20, win=22:44:89, time=68/18204
156: reward=-8.66 vs -22.16, winner=draw, r_win=11:19:20, win=22:44:90, time=160/18364
157: reward=95.15 vs -38.26, winner=red, r_win=12:19:19, win=23:44:90, time=88/18452
158: reward=94.68 vs -38.07, winner=red, r_win=13:19:18, win=24:44:90, time=95/18547
159: reward=-18.95 vs -18.95, winner=draw, r_win=12:19:19, win=24:44:91, time=66/18613
160: reward=-26.15 vs 83.38, winner=blue, r_win=12:19:19, win=24:45:91, time=166/18780
161: reward=95.27 vs -38.21, winner=red, r_win=13:19:18, win=25:45:91, time=73/18853
162: reward=94.71 vs -37.98, winner=red, r_win=14:18:18, win=26:45:91, time=81/18934
163: reward=92.98 vs -37.29, winner=red, r_win=15:17:18, win=27:45:91, time=105/19038
164: reward=-31.64 vs 89.10, winner=blue, r_win=15:18:17, win=27:46:91, time=110/19149
165: reward=-18.85 vs -18.85, winner=draw, r_win=15:18:17, win=27:46:92, time=73/19222
166: reward=-26.32 vs 83.80, winner=blue, r_win=15:19:16, win=27:47:92, time=160/19382
167: reward=-25.74 vs 82.36, winner=blue, r_win=14:20:16, win=27:48:92, time=183/19565
168: reward=-23.73 vs 79.31, winner=blue, r_win=13:21:16, win=27:49:92, time=226/19791
169: reward=-17.41 vs -18.91, winner=draw, r_win=12:21:17, win=27:49:93, time=104/19894
170: reward=-18.57 vs -18.57, winner=draw, r_win=12:20:18, win=27:49:94, time=93/19987
171: reward=-25.24 vs 81.09, winner=blue, r_win=12:20:18, win=27:50:94, time=204/20191
172: reward=94.68 vs -38.07, winner=red, r_win=13:20:17, win=28:50:94, time=95/20286
173: reward=-25.16 vs 80.90, winner=blue, r_win=13:21:16, win=28:51:94, time=207/20493
174: reward=-25.26 vs 81.16, winner=blue, r_win=13:22:15, win=28:52:94, time=203/20696
175: reward=-31.25 vs 88.12, winner=blue, r_win=13:23:14, win=28:53:94, time=125/20821
176: reward=-26.18 vs 83.45, winner=blue, r_win=13:24:13, win=28:54:94, time=165/20986
177: reward=-18.99 vs -18.99, winner=draw, r_win=12:24:14, win=28:54:95, time=64/21050
178: reward=-23.67 vs 79.19, winner=blue, r_win=12:24:14, win=28:55:95, time=228/21279
179: reward=-9.66 vs -21.66, winner=draw, r_win=11:24:15, win=28:55:96, time=160/21438
180: reward=-30.24 vs 85.59, winner=blue, r_win=11:24:15, win=28:56:96, time=163/21602
181: reward=-23.83 vs 79.57, winner=blue, r_win=11:24:15, win=28:57:96, time=221/21823
182: reward=-37.89 vs 94.47, winner=blue, r_win=11:24:15, win=28:58:96, time=84/21907
183: reward=95.79 vs -38.52, winner=red, r_win=11:24:15, win=29:58:96, time=80/21987
184: reward=-27.71 vs 83.03, winner=blue, r_win=10:25:15, win=29:59:96, time=205/22192
185: reward=-27.85 vs 83.63, winner=blue, r_win=10:26:14, win=29:60:96, time=179/22370
186: reward=-21.74 vs 76.35, winner=blue, r_win=9:27:14, win=29:61:96, time=271/22641
187: reward=-18.58 vs -18.58, winner=draw, r_win=9:27:14, win=29:61:97, time=92/22733
188: reward=-25.55 vs 81.89, winner=blue, r_win=9:27:14, win=29:62:97, time=191/22923
189: reward=-7.58 vs -21.08, winner=draw, r_win=8:27:15, win=29:62:98, time=251/23175
190: reward=92.07 vs -36.93, winner=red, r_win=9:27:14, win=30:62:98, time=118/23293
191: reward=95.55 vs -38.42, winner=red, r_win=10:27:13, win=31:62:98, time=83/23376
192: reward=-24.58 vs 81.21, winner=blue, r_win=10:27:13, win=31:63:98, time=210/23586
193: reward=92.08 vs -37.13, winner=red, r_win=11:26:13, win=32:63:98, time=148/23734
194: reward=-25.24 vs 81.09, winner=blue, r_win=11:26:13, win=32:64:98, time=204/23938
195: reward=-25.82 vs 82.56, winner=blue, r_win=11:27:12, win=32:65:98, time=180/24117
196: reward=92.83 vs -37.23, winner=red, r_win=11:27:12, win=33:65:98, time=107/24225
197: reward=-20.13 vs 72.33, winner=blue, r_win=11:27:12, win=33:66:98, time=352/24576
198: reward=-6.73 vs -21.73, winner=draw, r_win=11:26:13, win=33:66:99, time=238/24814
199: reward=92.10 vs -37.04, winner=red, r_win=12:25:13, win=34:66:99, time=132/24947
200: reward=95.15 vs -38.26, winner=red, r_win=13:25:12, win=35:66:99, time=88/25035
201: reward=-21.40 vs 75.51, winner=blue, r_win=13:25:12, win=35:67:99, time=287/25322
