69: reward=1.21 vs 92.55, winner=blue, r_win=2:32:16, win=3:42:24, time=129/8220
70: reward=1.73 vs 2.43, winner=draw, r_win=2:31:17, win=3:42:25, time=135/8355
71: reward=2.04 vs 92.64, winner=blue, r_win=2:31:17, win=3:43:25, time=131/8486
72: reward=1.73 vs 92.24, winner=blue, r_win=2:32:16, win=3:44:25, time=137/8623
73: reward=1.73 vs 91.41, winner=blue, r_win=2:33:15, win=3:45:25, time=150/8773
74: reward=1.21 vs 93.42, winner=blue, r_win=2:34:14, win=3:46:25, time=119/8892
75: reward=0.21 vs 2.08, winner=draw, r_win=2:33:15, win=3:46:26, time=114/9006
76: reward=0.15 vs 1.83, winner=draw, r_win=2:32:16, win=3:46:27, time=82/9088
77: reward=1.15 vs 93.23, winner=blue, r_win=2:33:15, win=3:47:27, time=115/9203
78: reward=1.75 vs 92.19, winner=blue, r_win=1:34:15, win=3:48:27, time=142/9345
79: reward=0.18 vs 1.83, winner=draw, r_win=1:33:16, win=3:48:28, time=143/9488
80: reward=1.21 vs 94.34, winner=blue, r_win=1:33:16, win=3:49:28, time=106/9594
81: reward=1.18 vs 1.93, winner=draw, r_win=1:32:17, win=3:49:29, time=89/9684
82: reward=2.06 vs 93.18, winner=blue, r_win=1:33:16, win=3:50:29, time=126/9810
83: reward=0.18 vs 1.83, winner=draw, r_win=1:32:17, win=3:50:30, time=97/9907
84: reward=1.18 vs 92.85, winner=blue, r_win=1:33:16, win=3:51:30, time=125/10031
85: reward=1.15 vs 94.19, winner=blue, r_win=1:33:16, win=3:52:30, time=102/10133
86: reward=1.68 vs 91.64, winner=blue, r_win=1:33:16, win=3:53:30, time=143/10276
87: reward=1.71 vs 94.11, winner=blue, r_win=1:34:15, win=3:54:30, time=109/10386
88: reward=0.18 vs 94.06, winner=blue, r_win=1:35:14, win=3:55:30, time=109/10495
89: reward=95.26 vs 1.50, winner=red, r_win=2:34:14, win=4:55:30, time=75/10570
90: reward=0.18 vs 93.30, winner=blue, r_win=2:34:14, win=4:56:30, time=114/10684
91: reward=1.73 vs 91.09, winner=blue, r_win=2:34:14, win=4:57:30, time=154/10838
92: reward=0.18 vs 94.30, winner=blue, r_win=2:34:14, win=4:58:30, time=99/10938
93: reward=0.21 vs 92.28, winner=blue, r_win=2:34:14, win=4:59:30, time=132/11070
94: reward=1.21 vs 92.17, winner=blue, r_win=1:35:14, win=4:60:30, time=138/11208
95: reward=1.18 vs 1.93, winner=draw, r_win=1:35:14, win=4:60:31, time=99/11307
96: reward=0.18 vs 95.02, winner=blue, r_win=1:35:14, win=4:61:31, time=93/11400
97: reward=1.75 vs 93.29, winner=blue, r_win=1:36:13, win=4:62:31, time=124/11524
98: reward=1.21 vs 2.18, winner=draw, r_win=1:36:13, win=4:62:32, time=107/11631
99: reward=1.18 vs 92.78, winner=blue, r_win=1:36:13, win=4:63:32, time=126/11757
100: reward=0.21 vs 2.08, winner=draw, r_win=1:36:13, win=4:63:33, time=129/11886
101: reward=1.23 vs 91.90, winner=blue, r_win=1:36:13, win=4:64:33, time=144/12030
102: reward=95.10 vs 1.50, winner=red, r_win=2:36:12, win=5:64:33, time=77/12108
103: reward=2.04 vs 92.64, winner=blue, r_win=2:36:12, win=5:65:33, time=131/12239
104: reward=94.38 vs 1.00, winner=red, r_win=3:36:11, win=6:65:33, time=87/12326
105: reward=1.21 vs 92.98, winner=blue, r_win=3:37:10, win=6:66:33, time=126/12452
106: reward=1.68 vs 92.37, winner=blue, r_win=3:37:10, win=6:67:33, time=132/12585
107: reward=1.71 vs 92.98, winner=blue, r_win=3:38:9, win=6:68:33, time=126/12710
108: reward=1.21 vs 94.49, winner=blue, r_win=3:38:9, win=6:69:33, time=104/12814
109: reward=1.18 vs 93.50, winner=blue, r_win=3:38:9, win=6:70:33, time=118/12932
110: reward=2.04 vs 2.27, winner=draw, r_win=3:37:10, win=6:70:34, time=157/13089
111: reward=2.34 vs 92.17, winner=blue, r_win=3:37:10, win=6:71:34, time=143/13232
112: reward=0.15 vs 1.83, winner=draw, r_win=3:36:11, win=6:71:35, time=80/13312
113: reward=94.57 vs 1.83, winner=red, r_win=4:35:11, win=7:71:35, time=85/13397
114: reward=0.21 vs 2.08, winner=draw, r_win=4:34:12, win=7:71:36, time=109/13506
115: reward=1.15 vs 93.73, winner=blue, r_win=4:34:12, win=7:72:36, time=108/13614
116: reward=1.23 vs 2.38, winner=draw, r_win=4:33:13, win=7:72:37, time=153/13768
117: reward=0.18 vs 1.83, winner=draw, r_win=4:32:14, win=7:72:38, time=120/13888
118: reward=0.15 vs 94.77, winner=blue, r_win=4:32:14, win=7:73:38, time=93/13981
119: reward=1.21 vs 2.18, winner=draw, r_win=4:31:15, win=7:73:39, time=118/14099
120: reward=2.51 vs 90.37, winner=blue, r_win=4:32:14, win=7:74:39, time=170/14269
121: reward=1.18 vs 93.83, winner=blue, r_win=4:32:14, win=7:75:39, time=110/14379
122: reward=1.23 vs 92.55, winner=blue, r_win=4:32:14, win=7:76:39, time=135/14514
123: reward=1.18 vs 93.68, winner=blue, r_win=4:32:14, win=7:77:39, time=113/14626
124: reward=1.23 vs 2.38, winner=draw, r_win=4:31:15, win=7:77:40, time=135/14761
125: reward=0.15 vs 1.50, winner=draw, r_win=4:31:15, win=7:77:41, time=72/14833
126: reward=0.21 vs 2.08, winner=draw, r_win=4:31:15, win=7:77:42, time=124/14956
127: reward=1.73 vs 92.46, winner=blue, r_win=4:31:15, win=7:78:42, time=133/15090
128: reward=92.93 vs 1.98, winner=red, r_win=5:30:15, win=8:78:42, time=120/15210
129: reward=1.23 vs 92.77, winner=blue, r_win=5:31:14, win=8:79:42, time=131/15342
130: reward=0.18 vs 95.10, winner=blue, r_win=5:31:14, win=8:80:42, time=92/15433
131: reward=2.09 vs 90.95, winner=blue, r_win=5:32:13, win=8:81:42, time=164/15598
132: reward=91.85 vs 2.18, winner=red, r_win=6:31:13, win=9:81:42, time=137/15734
133: reward=1.18 vs 1.93, winner=draw, r_win=6:31:13, win=9:81:43, time=88/15823
134: reward=1.25 vs 92.04, winner=blue, r_win=6:31:13, win=9:82:43, time=144/15967
135: reward=1.21 vs 92.68, winner=blue, r_win=6:31:13, win=9:83:43, time=130/16097
136: reward=1.21 vs 93.20, winner=blue, r_win=6:31:13, win=9:84:43, time=122/16220
137: reward=1.71 vs 92.61, winner=blue, r_win=6:31:13, win=9:85:43, time=131/16351
138: reward=1.18 vs 94.37, winner=blue, r_win=6:31:13, win=9:86:43, time=103/16454
139: reward=1.18 vs 93.68, winner=blue, r_win=5:32:13, win=9:87:43, time=113/16567
140: reward=2.06 vs 93.18, winner=blue, r_win=5:32:13, win=9:88:43, time=126/16692
141: reward=0.18 vs 1.93, winner=draw, r_win=5:31:14, win=9:88:44, time=103/16795
142: reward=1.21 vs 93.53, winner=blue, r_win=5:31:14, win=9:89:44, time=115/16910
143: reward=1.73 vs 91.26, winner=blue, r_win=5:31:14, win=9:90:44, time=152/17062
144: reward=2.06 vs 2.47, winner=draw, r_win=5:30:15, win=9:90:45, time=158/17220
145: reward=1.18 vs 93.48, winner=blue, r_win=5:31:14, win=9:91:45, time=115/17335
146: reward=1.18 vs 94.21, winner=blue, r_win=5:31:14, win=9:92:45, time=105/17439
147: reward=0.18 vs 1.83, winner=draw, r_win=5:30:15, win=9:92:46, time=105/17544
148: reward=94.25 vs 1.60, winner=red, r_win=6:30:14, win=10:92:46, time=96/17640
149: reward=1.23 vs 91.83, winner=blue, r_win=6:30:14, win=10:93:46, time=148/17788
150: reward=1.73 vs 91.86, winner=blue, r_win=6:31:13, win=10:94:46, time=146/17934
151: reward=91.19 vs 2.38, winner=red, r_win=7:30:13, win=11:94:46, time=142/18076
152: reward=1.21 vs 94.11, winner=blue, r_win=6:31:13, win=11:95:46, time=109/18185
153: reward=1.73 vs 90.97, winner=blue, r_win=6:31:13, win=11:96:46, time=159/18344
154: reward=1.21 vs 92.83, winner=blue, r_win=5:32:13, win=11:97:46, time=128/18472
155: reward=0.21 vs 92.77, winner=blue, r_win=5:32:13, win=11:98:46, time=131/18604
156: reward=93.71 vs 1.50, winner=red, r_win=6:31:13, win=12:98:46, time=104/18707
157: reward=0.18 vs 95.02, winner=blue, r_win=6:31:13, win=12:99:46, time=93/18800
158: reward=0.21 vs 2.08, winner=draw, r_win=6:30:14, win=12:99:47, time=137/18937
159: reward=1.68 vs 90.99, winner=blue, r_win=6:30:14, win=12:100:47, time=153/19090
160: reward=1.18 vs 94.37, winner=blue, r_win=6:31:13, win=12:101:47, time=103/19193
161: reward=93.66 vs 1.93, winner=red, r_win=7:30:13, win=13:101:47, time=105/19298
162: reward=1.21 vs 92.46, winner=blue, r_win=7:31:12, win=13:102:47, time=133/19431
