45: reward=86.78 vs 7.00, reward_evade=1.00 vs 7.00, win=28 vs 7, recent_win=28 vs 7, draw=10, winner=red, time=216/12240
46: reward=79.78 vs 6.90, reward_evade=1.00 vs 7.00, win=29 vs 7, recent_win=29 vs 7, draw=10, winner=red, time=338/12578
47: reward=-0.70 vs 7.00, reward_evade=1.00 vs 7.00, win=29 vs 7, recent_win=29 vs 7, draw=11, winner=draw, time=202/12780
48: reward=83.99 vs 7.00, reward_evade=1.00 vs 7.00, win=30 vs 7, recent_win=30 vs 7, draw=11, winner=red, time=237/13016
49: reward=1.30 vs 6.80, reward_evade=2.00 vs 7.00, win=30 vs 7, recent_win=30 vs 7, draw=12, winner=draw, time=279/13295
50: reward=78.93 vs 7.00, reward_evade=2.00 vs 7.00, win=31 vs 7, recent_win=31 vs 7, draw=12, winner=red, time=335/13630
51: reward=-0.70 vs 7.00, reward_evade=2.00 vs 7.00, win=31 vs 7, recent_win=31 vs 6, draw=13, winner=draw, time=261/13890
52: reward=81.16 vs 7.00, reward_evade=2.00 vs 7.00, win=32 vs 7, recent_win=31 vs 6, draw=13, winner=red, time=290/14180
53: reward=1.30 vs 6.80, reward_evade=2.00 vs 7.00, win=32 vs 7, recent_win=30 vs 6, draw=14, winner=draw, time=279/14458
54: reward=0.90 vs 92.49, reward_evade=1.00 vs 2.00, win=32 vs 8, recent_win=29 vs 7, draw=14, winner=blue, time=140/14599
55: reward=1.40 vs 5.80, reward_evade=2.00 vs 6.00, win=32 vs 8, recent_win=29 vs 6, draw=15, winner=draw, time=241/14840
56: reward=1.40 vs 93.37, reward_evade=2.00 vs 1.00, win=32 vs 9, recent_win=28 vs 7, draw=15, winner=blue, time=114/14954
57: reward=81.78 vs 7.00, reward_evade=2.00 vs 7.00, win=33 vs 9, recent_win=28 vs 7, draw=15, winner=red, time=278/15231
58: reward=89.99 vs 1.00, reward_evade=1.00 vs 1.00, win=34 vs 9, recent_win=28 vs 7, draw=15, winner=red, time=163/15394
59: reward=88.16 vs 1.80, reward_evade=2.00 vs 2.00, win=35 vs 9, recent_win=29 vs 7, draw=15, winner=red, time=206/15600
60: reward=81.12 vs 6.80, reward_evade=2.00 vs 7.00, win=36 vs 9, recent_win=30 vs 6, draw=15, winner=red, time=331/15931
61: reward=88.09 vs 6.80, reward_evade=1.00 vs 7.00, win=37 vs 9, recent_win=31 vs 5, draw=15, winner=red, time=194/16125
62: reward=77.53 vs 7.00, reward_evade=1.00 vs 7.00, win=38 vs 9, recent_win=31 vs 5, draw=15, winner=red, time=365/16490
63: reward=-0.10 vs 92.66, reward_evade=1.00 vs 2.00, win=38 vs 10, recent_win=30 vs 6, draw=15, winner=blue, time=139/16629
64: reward=79.85 vs 7.00, reward_evade=1.00 vs 7.00, win=39 vs 10, recent_win=30 vs 6, draw=15, winner=red, time=316/16944
65: reward=1.30 vs 6.80, reward_evade=2.00 vs 7.00, win=39 vs 10, recent_win=29 vs 6, draw=16, winner=draw, time=333/17277
66: reward=85.37 vs 2.00, reward_evade=1.00 vs 2.00, win=40 vs 10, recent_win=29 vs 6, draw=16, winner=red, time=239/17516
67: reward=78.78 vs 7.00, reward_evade=1.00 vs 7.00, win=41 vs 10, recent_win=29 vs 6, draw=16, winner=red, time=338/17854
68: reward=86.98 vs 7.00, reward_evade=1.00 vs 7.00, win=42 vs 10, recent_win=30 vs 6, draw=16, winner=red, time=213/18066
69: reward=86.98 vs 93.22, reward_evade=1.00 vs 1.00, win=42 vs 11, recent_win=29 vs 7, draw=16, winner=blue, time=116/18182
70: reward=-0.70 vs 7.00, reward_evade=1.00 vs 7.00, win=42 vs 11, recent_win=28 vs 7, draw=17, winner=draw, time=250/18432
71: reward=78.16 vs 6.80, reward_evade=2.00 vs 7.00, win=43 vs 11, recent_win=29 vs 7, draw=17, winner=red, time=396/18828
72: reward=86.46 vs 3.00, reward_evade=1.00 vs 3.00, win=44 vs 11, recent_win=30 vs 7, draw=17, winner=red, time=218/19046
73: reward=-0.70 vs 7.00, reward_evade=1.00 vs 7.00, win=44 vs 11, recent_win=29 vs 7, draw=18, winner=draw, time=369/19415
74: reward=-0.70 vs 7.00, reward_evade=1.00 vs 7.00, win=44 vs 11, recent_win=29 vs 6, draw=19, winner=draw, time=253/19668
75: reward=-0.70 vs 7.00, reward_evade=1.00 vs 7.00, win=44 vs 11, recent_win=29 vs 6, draw=20, winner=draw, time=293/19961
76: reward=76.98 vs 8.00, reward_evade=1.00 vs 8.00, win=45 vs 11, recent_win=30 vs 5, draw=20, winner=red, time=375/20335
77: reward=1.30 vs 6.80, reward_evade=2.00 vs 7.00, win=45 vs 11, recent_win=30 vs 5, draw=21, winner=draw, time=279/20614
78: reward=92.25 vs 6.80, reward_evade=1.00 vs 7.00, win=46 vs 11, recent_win=30 vs 5, draw=21, winner=red, time=130/20744
79: reward=83.26 vs 7.00, reward_evade=1.00 vs 7.00, win=47 vs 11, recent_win=30 vs 5, draw=21, winner=red, time=250/20994
