69: reward=0.00 vs 19.71, winner=blue, r_win=0:49:1, win=0:68:1, time=83/8557
70: reward=1.00 vs 19.36, winner=blue, r_win=0:49:1, win=0:69:1, time=118/8675
71: reward=0.00 vs 19.79, winner=blue, r_win=0:49:1, win=0:70:1, time=77/8752
72: reward=0.00 vs 18.53, winner=blue, r_win=0:49:1, win=0:71:1, time=103/8855
73: reward=0.00 vs 19.71, winner=blue, r_win=0:50:0, win=0:72:1, time=83/8938
74: reward=0.00 vs 19.58, winner=blue, r_win=0:50:0, win=0:73:1, time=92/9030
75: reward=1.00 vs 19.48, winner=blue, r_win=0:50:0, win=0:74:1, time=106/9136
76: reward=0.00 vs 19.46, winner=blue, r_win=0:50:0, win=0:75:1, time=100/9236
77: reward=0.00 vs 19.68, winner=blue, r_win=0:50:0, win=0:76:1, time=85/9321
78: reward=1.00 vs 18.26, winner=blue, r_win=0:50:0, win=0:77:1, time=126/9447
79: reward=2.08 vs 18.20, winner=blue, r_win=0:50:0, win=0:78:1, time=135/9582
80: reward=1.83 vs 18.32, winner=blue, r_win=0:50:0, win=0:79:1, time=124/9705
81: reward=1.00 vs 19.48, winner=blue, r_win=0:50:0, win=0:80:1, time=106/9811
82: reward=0.00 vs 19.77, winner=blue, r_win=0:50:0, win=0:81:1, time=78/9890
83: reward=0.00 vs 19.82, winner=blue, r_win=0:50:0, win=0:82:1, time=110/10000
84: reward=1.50 vs 19.32, winner=blue, r_win=0:50:0, win=0:83:1, time=121/10122
85: reward=1.00 vs 18.41, winner=blue, r_win=0:50:0, win=0:84:1, time=115/10236
86: reward=2.45 vs 17.52, winner=blue, r_win=0:50:0, win=0:85:1, time=191/10427
87: reward=0.00 vs 19.53, winner=blue, r_win=0:50:0, win=0:86:1, time=103/10530
88: reward=1.00 vs 19.02, winner=blue, r_win=0:50:0, win=0:87:1, time=143/10673
89: reward=1.83 vs 19.25, winner=blue, r_win=0:50:0, win=0:88:1, time=129/10802
90: reward=1.83 vs 18.06, winner=blue, r_win=0:50:0, win=0:89:1, time=143/10946
91: reward=0.00 vs 19.47, winner=blue, r_win=0:50:0, win=0:90:1, time=107/11053
92: reward=1.00 vs 19.34, winner=blue, r_win=0:50:0, win=0:91:1, time=116/11169
93: reward=0.00 vs 19.69, winner=blue, r_win=0:50:0, win=0:92:1, time=84/11253
94: reward=2.45 vs 17.29, winner=blue, r_win=0:50:0, win=0:93:1, time=210/11463
95: reward=1.50 vs 18.40, winner=blue, r_win=0:50:0, win=0:94:1, time=118/11581
96: reward=0.00 vs 19.54, winner=blue, r_win=0:50:0, win=0:95:1, time=95/11676
