58: reward=-1.85 vs 3.60, win=1 vs 52, recent_win=1 vs 45, draw=5, winner=blue, time=304/11112
59: reward=-3.05 vs 3.60, win=1 vs 53, recent_win=1 vs 45, draw=5, winner=blue, time=388/11499
60: reward=-5.50 vs 6.40, win=1 vs 54, recent_win=1 vs 45, draw=5, winner=blue, time=644/12143
61: reward=-3.45 vs 3.60, win=1 vs 55, recent_win=1 vs 45, draw=5, winner=blue, time=338/12481
62: reward=-8.95 vs 2.10, win=1 vs 56, recent_win=1 vs 45, draw=5, winner=blue, time=748/13228
63: reward=-2.95 vs 2.70, win=1 vs 57, recent_win=1 vs 45, draw=5, winner=blue, time=298/13526
64: reward=-2.30 vs 2.10, win=1 vs 58, recent_win=1 vs 45, draw=5, winner=blue, time=565/14090
65: reward=-2.40 vs 2.40, win=1 vs 59, recent_win=1 vs 45, draw=5, winner=blue, time=520/14610
66: reward=-0.75 vs 3.90, win=1 vs 60, recent_win=1 vs 45, draw=5, winner=blue, time=129/14739
67: reward=-5.05 vs 8.60, win=1 vs 61, recent_win=1 vs 45, draw=5, winner=blue, time=500/15239
68: reward=-0.35 vs 3.60, win=1 vs 62, recent_win=1 vs 45, draw=5, winner=blue, time=326/15564
69: reward=-1.10 vs 3.90, win=1 vs 63, recent_win=1 vs 45, draw=5, winner=blue, time=124/15688
70: reward=-7.55 vs 2.10, win=1 vs 64, recent_win=1 vs 45, draw=5, winner=blue, time=632/16320
71: reward=-3.45 vs 2.70, win=1 vs 65, recent_win=1 vs 45, draw=5, winner=blue, time=422/16741
72: reward=0.00 vs 2.70, win=1 vs 66, recent_win=1 vs 45, draw=5, winner=blue, time=280/17021
73: reward=-6.10 vs 2.10, win=1 vs 67, recent_win=1 vs 45, draw=5, winner=blue, time=909/17929
74: reward=0.05 vs 2.10, win=1 vs 68, recent_win=1 vs 46, draw=5, winner=blue, time=646/18575
75: reward=-3.10 vs 2.30, win=1 vs 69, recent_win=1 vs 46, draw=5, winner=blue, time=675/19250
76: reward=-2.00 vs 3.70, win=1 vs 70, recent_win=1 vs 46, draw=5, winner=blue, time=448/19697
77: reward=-1.05 vs 1.90, win=1 vs 71, recent_win=1 vs 46, draw=5, winner=blue, time=822/20519
78: reward=-0.30 vs 3.90, win=1 vs 72, recent_win=1 vs 46, draw=5, winner=blue, time=102/20620
79: reward=0.90 vs 3.30, win=1 vs 73, recent_win=1 vs 46, draw=5, winner=blue, time=494/21114
80: reward=0.10 vs 2.90, win=1 vs 74, recent_win=1 vs 46, draw=5, winner=blue, time=135/21249
81: reward=9.30 vs 0.40, win=1 vs 75, recent_win=1 vs 46, draw=5, winner=blue, time=1462/22711
82: reward=0.60 vs 2.50, win=1 vs 76, recent_win=1 vs 47, draw=5, winner=blue, time=410/23121
83: reward=3.15 vs 1.90, win=1 vs 77, recent_win=1 vs 48, draw=5, winner=blue, time=512/23632
84: reward=2.95 vs 2.40, win=1 vs 78, recent_win=1 vs 48, draw=5, winner=blue, time=1249/24881
85: reward=-1.40 vs 3.30, win=1 vs 79, recent_win=1 vs 48, draw=5, winner=blue, time=624/25505
86: reward=1.10 vs 2.80, win=1 vs 80, recent_win=1 vs 48, draw=5, winner=blue, time=124/25629
