45: reward=3.00 vs 90.00, reward_evade=3.00 vs 1.00, win=0 vs 26, recent_win=0 vs 26, draw=19, winner=blue, time=160/5685
46: reward=2.00 vs 0.80, reward_evade=2.00 vs 1.00, win=0 vs 26, recent_win=0 vs 26, draw=20, winner=draw, time=141/5826
47: reward=1.00 vs 90.53, reward_evade=1.00 vs 1.00, win=0 vs 27, recent_win=0 vs 27, draw=20, winner=blue, time=138/5964
48: reward=1.00 vs 90.83, reward_evade=1.00 vs 1.00, win=0 vs 28, recent_win=0 vs 28, draw=20, winner=blue, time=133/6098
49: reward=2.00 vs 0.80, reward_evade=2.00 vs 1.00, win=0 vs 28, recent_win=0 vs 28, draw=21, winner=draw, time=140/6238
50: reward=2.00 vs 92.47, reward_evade=2.00 vs 1.00, win=0 vs 29, recent_win=0 vs 29, draw=21, winner=blue, time=109/6347
51: reward=6.00 vs 87.26, reward_evade=6.00 vs 1.00, win=0 vs 30, recent_win=0 vs 30, draw=21, winner=blue, time=183/6530
52: reward=1.00 vs 91.05, reward_evade=1.00 vs 1.00, win=0 vs 31, recent_win=0 vs 30, draw=21, winner=blue, time=130/6660
53: reward=2.00 vs 91.05, reward_evade=1.00 vs 1.00, win=0 vs 31, recent_win=0 vs 30, draw=22, winner=draw, time=91/6751
54: reward=2.00 vs 93.81, reward_evade=1.00 vs 1.00, win=0 vs 32, recent_win=0 vs 30, draw=22, winner=blue, time=92/6843
55: reward=2.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 32, recent_win=0 vs 29, draw=23, winner=draw, time=100/6943
56: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 32, recent_win=0 vs 28, draw=24, winner=draw, time=138/7081
57: reward=1.00 vs 92.09, reward_evade=1.00 vs 1.00, win=0 vs 33, recent_win=0 vs 28, draw=24, winner=blue, time=115/7196
58: reward=1.00 vs 93.40, reward_evade=1.00 vs 1.00, win=0 vs 34, recent_win=0 vs 28, draw=24, winner=blue, time=96/7292
59: reward=1.00 vs 93.19, reward_evade=1.00 vs 1.00, win=0 vs 35, recent_win=0 vs 28, draw=24, winner=blue, time=100/7392
60: reward=4.00 vs 90.04, reward_evade=4.00 vs 1.00, win=0 vs 36, recent_win=0 vs 29, draw=24, winner=blue, time=142/7535
61: reward=1.00 vs 89.38, reward_evade=1.00 vs 1.00, win=0 vs 37, recent_win=0 vs 30, draw=24, winner=blue, time=155/7690
62: reward=3.00 vs 89.64, reward_evade=3.00 vs 1.00, win=0 vs 38, recent_win=0 vs 30, draw=24, winner=blue, time=150/7840
63: reward=4.00 vs 91.14, reward_evade=4.00 vs 1.00, win=0 vs 39, recent_win=0 vs 31, draw=24, winner=blue, time=126/7966
