59: reward=3.00 vs -0.30, win=0 vs 29, recent_win=0 vs 25, draw=30, winner=blue, time=139/8038
60: reward=3.00 vs 1.00, win=0 vs 29, recent_win=0 vs 25, draw=31, winner=draw, time=117/8155
61: reward=3.00 vs 1.00, win=0 vs 29, recent_win=0 vs 24, draw=32, winner=draw, time=95/8250
62: reward=1.00 vs 0.90, win=0 vs 30, recent_win=0 vs 25, draw=32, winner=blue, time=125/8375
63: reward=1.00 vs 1.00, win=0 vs 31, recent_win=0 vs 25, draw=32, winner=blue, time=269/8643
64: reward=4.00 vs -0.40, win=0 vs 32, recent_win=0 vs 26, draw=32, winner=blue, time=149/8792
65: reward=4.00 vs 1.00, win=0 vs 32, recent_win=0 vs 26, draw=33, winner=draw, time=135/8927
66: reward=3.00 vs 0.70, win=0 vs 32, recent_win=0 vs 25, draw=34, winner=draw, time=152/9079
67: reward=4.00 vs -0.40, win=0 vs 33, recent_win=0 vs 26, draw=34, winner=blue, time=150/9229
68: reward=1.00 vs 0.90, win=0 vs 34, recent_win=0 vs 27, draw=34, winner=blue, time=127/9356
69: reward=1.00 vs 0.90, win=1 vs 34, recent_win=1 vs 27, draw=34, winner=red, time=129/9485
70: reward=4.00 vs -0.40, win=1 vs 35, recent_win=1 vs 27, draw=34, winner=blue, time=223/9708
71: reward=1.00 vs 0.90, win=1 vs 36, recent_win=1 vs 27, draw=34, winner=blue, time=136/9843
72: reward=1.00 vs 1.00, win=1 vs 36, recent_win=1 vs 27, draw=35, winner=draw, time=103/9946
73: reward=3.90 vs 0.60, win=2 vs 36, recent_win=2 vs 27, draw=35, winner=red, time=194/10140
74: reward=1.00 vs 0.90, win=2 vs 37, recent_win=2 vs 27, draw=35, winner=blue, time=275/10415
75: reward=3.00 vs 0.70, win=2 vs 37, recent_win=2 vs 27, draw=36, winner=draw, time=146/10560
76: reward=2.00 vs 0.80, win=2 vs 38, recent_win=2 vs 27, draw=36, winner=blue, time=162/10722
77: reward=2.00 vs 1.00, win=2 vs 38, recent_win=2 vs 27, draw=37, winner=draw, time=96/10818
78: reward=2.00 vs 1.00, win=2 vs 38, recent_win=2 vs 27, draw=38, winner=draw, time=87/10906
79: reward=1.00 vs 0.90, win=2 vs 39, recent_win=2 vs 27, draw=38, winner=blue, time=122/11028
80: reward=3.00 vs 0.70, win=2 vs 39, recent_win=2 vs 26, draw=39, winner=draw, time=163/11191
81: reward=3.00 vs 1.00, win=2 vs 39, recent_win=2 vs 26, draw=40, winner=draw, time=86/11278
82: reward=4.90 vs 0.50, win=3 vs 39, recent_win=3 vs 26, draw=40, winner=red, time=247/11524
83: reward=5.00 vs -0.50, win=4 vs 39, recent_win=4 vs 25, draw=40, winner=red, time=202/11726
84: reward=2.00 vs -0.50, win=5 vs 39, recent_win=5 vs 24, draw=40, winner=red, time=106/11832
85: reward=1.00 vs 0.90, win=5 vs 40, recent_win=5 vs 24, draw=40, winner=blue, time=113/11945
86: reward=1.00 vs 1.00, win=5 vs 40, recent_win=5 vs 24, draw=41, winner=draw, time=75/12020
87: reward=4.00 vs 0.60, win=5 vs 41, recent_win=5 vs 24, draw=41, winner=blue, time=182/12202
88: reward=4.00 vs -0.40, win=6 vs 41, recent_win=6 vs 24, draw=41, winner=red, time=226/12428
89: reward=1.00 vs 0.90, win=6 vs 41, recent_win=6 vs 23, draw=42, winner=draw, time=129/12557
90: reward=1.00 vs 1.00, win=6 vs 42, recent_win=6 vs 24, draw=42, winner=blue, time=94/12651
91: reward=1.00 vs 0.90, win=6 vs 43, recent_win=6 vs 24, draw=42, winner=blue, time=117/12768
92: reward=3.00 vs -0.30, win=6 vs 44, recent_win=6 vs 25, draw=42, winner=blue, time=122/12890
93: reward=1.00 vs 0.90, win=6 vs 45, recent_win=6 vs 26, draw=42, winner=blue, time=182/13072
94: reward=1.00 vs 1.00, win=6 vs 45, recent_win=6 vs 26, draw=43, winner=draw, time=88/13160
95: reward=1.00 vs 1.00, win=6 vs 46, recent_win=6 vs 26, draw=43, winner=blue, time=114/13274
96: reward=1.00 vs 0.90, win=6 vs 46, recent_win=6 vs 25, draw=44, winner=draw, time=114/13388
97: reward=3.00 vs 0.70, win=6 vs 47, recent_win=6 vs 25, draw=44, winner=blue, time=173/13561
98: reward=3.00 vs 0.70, win=6 vs 47, recent_win=6 vs 25, draw=45, winner=draw, time=287/13848
99: reward=4.00 vs -0.40, win=6 vs 48, recent_win=6 vs 25, draw=45, winner=blue, time=194/14042
100: reward=4.00 vs -0.40, win=6 vs 48, recent_win=6 vs 24, draw=46, winner=draw, time=242/14284
101: reward=1.00 vs 0.90, win=6 vs 49, recent_win=6 vs 24, draw=46, winner=blue, time=142/14426
102: reward=5.00 vs -0.50, win=6 vs 50, recent_win=6 vs 24, draw=46, winner=blue, time=176/14603
103: reward=1.00 vs 0.90, win=6 vs 51, recent_win=6 vs 24, draw=46, winner=blue, time=135/14737
104: reward=5.00 vs -0.50, win=7 vs 51, recent_win=7 vs 24, draw=46, winner=red, time=229/14966
105: reward=4.90 vs 0.50, win=8 vs 51, recent_win=8 vs 23, draw=46, winner=red, time=216/15182
106: reward=3.00 vs 0.70, win=8 vs 51, recent_win=8 vs 23, draw=47, winner=draw, time=154/15337
107: reward=5.00 vs 0.50, win=8 vs 52, recent_win=8 vs 24, draw=47, winner=blue, time=388/15724
108: reward=1.00 vs 0.90, win=8 vs 52, recent_win=8 vs 24, draw=48, winner=draw, time=136/15860
109: reward=1.00 vs 0.90, win=8 vs 53, recent_win=8 vs 24, draw=48, winner=blue, time=131/15991
110: reward=2.00 vs 1.80, win=8 vs 54, recent_win=8 vs 25, draw=48, winner=blue, time=155/16147
111: reward=4.00 vs -0.40, win=8 vs 55, recent_win=8 vs 26, draw=48, winner=blue, time=146/16293
112: reward=5.00 vs 0.50, win=8 vs 56, recent_win=8 vs 26, draw=48, winner=blue, time=194/16487
113: reward=1.00 vs 0.80, win=8 vs 57, recent_win=8 vs 26, draw=48, winner=blue, time=139/16626
114: reward=1.00 vs 0.90, win=8 vs 58, recent_win=8 vs 26, draw=48, winner=blue, time=125/16750
115: reward=2.90 vs 1.70, win=8 vs 59, recent_win=8 vs 27, draw=48, winner=blue, time=331/17081
116: reward=1.00 vs 0.90, win=8 vs 60, recent_win=8 vs 28, draw=48, winner=blue, time=124/17204
117: reward=2.00 vs 0.80, win=8 vs 61, recent_win=8 vs 28, draw=48, winner=blue, time=298/17502
118: reward=2.00 vs 0.80, win=8 vs 62, recent_win=8 vs 28, draw=48, winner=blue, time=149/17651
119: reward=1.00 vs 0.90, win=8 vs 63, recent_win=7 vs 29, draw=48, winner=blue, time=146/17797
120: reward=2.00 vs 0.80, win=8 vs 64, recent_win=7 vs 29, draw=48, winner=blue, time=165/17962
121: reward=1.00 vs 0.90, win=8 vs 65, recent_win=7 vs 29, draw=48, winner=blue, time=113/18075
122: reward=5.00 vs -0.50, win=9 vs 65, recent_win=8 vs 29, draw=48, winner=red, time=191/18265
123: reward=2.00 vs -0.10, win=9 vs 65, recent_win=7 vs 29, draw=49, winner=draw, time=107/18372
124: reward=2.00 vs 0.80, win=9 vs 66, recent_win=7 vs 29, draw=49, winner=blue, time=157/18529
125: reward=4.00 vs -0.40, win=9 vs 67, recent_win=7 vs 30, draw=49, winner=blue, time=179/18708
126: reward=4.00 vs -0.40, win=10 vs 67, recent_win=8 vs 29, draw=49, winner=red, time=246/18953
127: reward=2.00 vs 0.80, win=10 vs 68, recent_win=8 vs 30, draw=49, winner=blue, time=260/19213
128: reward=2.00 vs 1.00, win=10 vs 68, recent_win=8 vs 30, draw=50, winner=draw, time=96/19309
129: reward=2.00 vs 0.80, win=10 vs 69, recent_win=8 vs 30, draw=50, winner=blue, time=147/19456
130: reward=2.00 vs 0.80, win=10 vs 70, recent_win=8 vs 31, draw=50, winner=blue, time=161/19617
131: reward=1.00 vs 0.90, win=10 vs 71, recent_win=8 vs 32, draw=50, winner=blue, time=126/19742
132: reward=5.00 vs -0.50, win=11 vs 71, recent_win=8 vs 32, draw=50, winner=red, time=220/19963
133: reward=1.00 vs 0.90, win=11 vs 71, recent_win=7 vs 32, draw=51, winner=draw, time=142/20105
134: reward=1.00 vs 0.90, win=11 vs 72, recent_win=6 vs 33, draw=51, winner=blue, time=116/20221
135: reward=2.00 vs 0.80, win=11 vs 73, recent_win=6 vs 33, draw=51, winner=blue, time=152/20373
136: reward=1.00 vs 0.90, win=11 vs 74, recent_win=6 vs 34, draw=51, winner=blue, time=133/20507
137: reward=1.00 vs 0.90, win=11 vs 75, recent_win=6 vs 34, draw=51, winner=blue, time=118/20625
138: reward=4.00 vs -0.40, win=11 vs 76, recent_win=5 vs 35, draw=51, winner=blue, time=140/20765
139: reward=8.00 vs 0.20, win=11 vs 77, recent_win=5 vs 36, draw=51, winner=blue, time=444/21209
140: reward=4.00 vs -0.30, win=11 vs 77, recent_win=5 vs 35, draw=52, winner=draw, time=131/21340
141: reward=3.00 vs 0.70, win=11 vs 77, recent_win=5 vs 34, draw=53, winner=draw, time=149/21489
142: reward=3.00 vs 0.70, win=11 vs 78, recent_win=5 vs 34, draw=53, winner=blue, time=277/21765
143: reward=1.00 vs 0.80, win=11 vs 79, recent_win=5 vs 34, draw=53, winner=blue, time=115/21880
144: reward=2.00 vs 0.80, win=11 vs 80, recent_win=5 vs 35, draw=53, winner=blue, time=157/22037
145: reward=2.00 vs 0.80, win=11 vs 81, recent_win=5 vs 35, draw=53, winner=blue, time=173/22210
146: reward=2.00 vs 0.80, win=11 vs 82, recent_win=5 vs 36, draw=53, winner=blue, time=251/22461
147: reward=5.00 vs -0.50, win=12 vs 82, recent_win=6 vs 35, draw=53, winner=red, time=163/22624
148: reward=5.00 vs -0.50, win=12 vs 82, recent_win=6 vs 35, draw=54, winner=draw, time=70/22694
149: reward=1.00 vs -0.50, win=13 vs 82, recent_win=7 vs 34, draw=54, winner=red, time=73/22767
150: reward=2.00 vs 0.80, win=13 vs 83, recent_win=7 vs 35, draw=54, winner=blue, time=142/22909
151: reward=2.00 vs 0.80, win=13 vs 84, recent_win=7 vs 35, draw=54, winner=blue, time=148/23057
152: reward=1.00 vs 0.90, win=13 vs 84, recent_win=7 vs 34, draw=55, winner=draw, time=284/23341
153: reward=1.00 vs 1.00, win=13 vs 85, recent_win=7 vs 34, draw=55, winner=blue, time=122/23463
154: reward=2.00 vs 0.80, win=13 vs 86, recent_win=6 vs 35, draw=55, winner=blue, time=133/23597
155: reward=2.00 vs 0.80, win=13 vs 87, recent_win=5 vs 36, draw=55, winner=blue, time=137/23733
156: reward=2.00 vs 0.80, win=13 vs 88, recent_win=5 vs 37, draw=55, winner=blue, time=127/23860
157: reward=6.00 vs -0.60, win=13 vs 89, recent_win=5 vs 37, draw=55, winner=blue, time=190/24050
158: reward=4.00 vs -0.40, win=13 vs 90, recent_win=5 vs 38, draw=55, winner=blue, time=208/24258
159: reward=6.00 vs -0.60, win=13 vs 91, recent_win=5 vs 38, draw=55, winner=blue, time=212/24470
160: reward=4.00 vs -0.40, win=13 vs 92, recent_win=5 vs 38, draw=55, winner=blue, time=176/24646
161: reward=2.00 vs 0.80, win=13 vs 92, recent_win=5 vs 37, draw=56, winner=draw, time=151/24797
