67: reward=-34.51 vs 89.41, winner=blue, r_win=2:46:2, win=2:62:3, time=157/9102
68: reward=-33.16 vs 90.09, winner=blue, r_win=2:46:2, win=2:63:3, time=128/9230
69: reward=-34.35 vs 91.42, winner=blue, r_win=2:47:1, win=2:64:3, time=125/9355
70: reward=-36.89 vs 92.98, winner=blue, r_win=2:47:1, win=2:65:3, time=105/9460
71: reward=-12.68 vs -17.08, winner=draw, r_win=2:46:2, win=2:65:4, time=242/9702
72: reward=-34.41 vs 91.57, winner=blue, r_win=2:46:2, win=2:66:4, time=122/9824
73: reward=-33.63 vs 88.88, winner=blue, r_win=2:46:2, win=2:67:4, time=148/9972
74: reward=-36.71 vs 92.52, winner=blue, r_win=2:46:2, win=2:68:4, time=111/10084
75: reward=-35.27 vs 93.71, winner=blue, r_win=2:46:2, win=2:69:4, time=92/10175
76: reward=-32.00 vs 88.69, winner=blue, r_win=2:46:2, win=2:70:4, time=181/10356
77: reward=-37.52 vs 95.31, winner=blue, r_win=2:46:2, win=2:71:4, time=86/10442
78: reward=-34.91 vs 90.42, winner=blue, r_win=2:46:2, win=2:72:4, time=141/10584
79: reward=-37.23 vs 93.84, winner=blue, r_win=2:46:2, win=2:73:4, time=93/10676
80: reward=-33.26 vs 91.09, winner=blue, r_win=2:46:2, win=2:74:4, time=128/10804
81: reward=-34.14 vs 90.90, winner=blue, r_win=2:46:2, win=2:75:4, time=132/10937
82: reward=-33.16 vs 90.09, winner=blue, r_win=2:46:2, win=2:76:4, time=128/11065
83: reward=-34.50 vs 91.79, winner=blue, r_win=2:46:2, win=2:77:4, time=119/11184
84: reward=88.66 vs -33.30, winner=red, r_win=3:45:2, win=3:77:4, time=218/11402
85: reward=-33.89 vs 89.53, winner=blue, r_win=3:45:2, win=3:78:4, time=138/11540
86: reward=-33.67 vs 91.37, winner=blue, r_win=3:45:2, win=3:79:4, time=109/11649
87: reward=-35.07 vs 92.48, winner=blue, r_win=3:45:2, win=3:80:4, time=95/11744
88: reward=-34.88 vs 92.01, winner=blue, r_win=3:45:2, win=3:81:4, time=102/11846
89: reward=-36.33 vs 93.97, winner=blue, r_win=3:45:2, win=3:82:4, time=89/11936
90: reward=-33.94 vs 90.39, winner=blue, r_win=3:45:2, win=3:83:4, time=140/12076
91: reward=-34.47 vs 91.72, winner=blue, r_win=3:45:2, win=3:84:4, time=120/12196
92: reward=-32.25 vs 88.58, winner=blue, r_win=3:46:1, win=3:85:4, time=166/12362
93: reward=-36.08 vs 93.34, winner=blue, r_win=3:46:1, win=3:86:4, time=98/12461
94: reward=-32.73 vs 91.43, winner=blue, r_win=3:46:1, win=3:87:4, time=107/12568
95: reward=-33.10 vs 89.95, winner=blue, r_win=3:46:1, win=3:88:4, time=130/12698
96: reward=-34.48 vs 92.49, winner=blue, r_win=3:46:1, win=3:89:4, time=124/12822
97: reward=-34.59 vs 92.02, winner=blue, r_win=3:46:1, win=3:90:4, time=116/12938
98: reward=-32.51 vs 89.21, winner=blue, r_win=3:46:1, win=3:91:4, time=157/13094
99: reward=-35.37 vs 90.82, winner=blue, r_win=3:46:1, win=3:92:4, time=120/13214
100: reward=-34.04 vs 92.30, winner=blue, r_win=3:46:1, win=3:93:4, time=96/13311
101: reward=-34.34 vs 90.64, winner=blue, r_win=3:46:1, win=3:94:4, time=121/13432
102: reward=-34.30 vs 92.05, winner=blue, r_win=3:46:1, win=3:95:4, time=130/13562
103: reward=-32.82 vs 90.00, winner=blue, r_win=3:46:1, win=3:96:4, time=144/13707
104: reward=-35.74 vs 92.50, winner=blue, r_win=3:46:1, win=3:97:4, time=110/13817
105: reward=-34.65 vs 89.77, winner=blue, r_win=3:46:1, win=3:98:4, time=151/13968
106: reward=-32.49 vs 88.43, winner=blue, r_win=2:47:1, win=3:99:4, time=153/14121
107: reward=-33.46 vs 90.84, winner=blue, r_win=2:47:1, win=3:100:4, time=117/14238
108: reward=-36.74 vs 92.60, winner=blue, r_win=2:47:1, win=3:101:4, time=110/14349
109: reward=-34.80 vs 92.55, winner=blue, r_win=2:47:1, win=3:102:4, time=108/14457
110: reward=-37.23 vs 93.84, winner=blue, r_win=2:47:1, win=3:103:4, time=93/14550
