45: reward=1.00 vs 95.45, reward_evade=1.00 vs 1.00, win=0 vs 45, recent_win=0 vs 45, draw=0, winner=blue, time=83/5596
46: reward=1.00 vs 95.63, reward_evade=1.00 vs 1.00, win=0 vs 46, recent_win=0 vs 46, draw=0, winner=blue, time=82/5678
47: reward=1.00 vs 95.07, reward_evade=1.00 vs 1.00, win=0 vs 47, recent_win=0 vs 47, draw=0, winner=blue, time=89/5767
48: reward=1.00 vs 91.78, reward_evade=1.00 vs 1.00, win=0 vs 48, recent_win=0 vs 48, draw=0, winner=blue, time=136/5903
49: reward=3.00 vs 91.39, reward_evade=3.00 vs 1.00, win=0 vs 49, recent_win=0 vs 49, draw=0, winner=blue, time=124/6027
50: reward=3.00 vs 96.03, reward_evade=3.00 vs 1.00, win=0 vs 50, recent_win=0 vs 50, draw=0, winner=blue, time=76/6103
51: reward=3.00 vs 95.39, reward_evade=3.00 vs 1.00, win=0 vs 51, recent_win=0 vs 50, draw=0, winner=blue, time=85/6188
52: reward=1.00 vs 91.49, reward_evade=1.00 vs 1.00, win=0 vs 52, recent_win=0 vs 50, draw=0, winner=blue, time=124/6312
53: reward=6.00 vs 88.08, reward_evade=6.00 vs 1.00, win=0 vs 53, recent_win=0 vs 50, draw=0, winner=blue, time=170/6481
54: reward=4.00 vs 87.90, reward_evade=4.00 vs 1.00, win=0 vs 54, recent_win=0 vs 50, draw=0, winner=blue, time=174/6656
55: reward=4.00 vs 89.94, reward_evade=4.00 vs 1.00, win=0 vs 55, recent_win=0 vs 50, draw=0, winner=blue, time=142/6798
56: reward=5.00 vs 88.35, reward_evade=5.00 vs 1.00, win=0 vs 56, recent_win=0 vs 50, draw=0, winner=blue, time=165/6963
57: reward=5.00 vs 94.34, reward_evade=5.00 vs 1.00, win=0 vs 57, recent_win=0 vs 50, draw=0, winner=blue, time=98/7062
58: reward=5.00 vs 88.80, reward_evade=5.00 vs 1.00, win=0 vs 58, recent_win=0 vs 50, draw=0, winner=blue, time=160/7222
