68: reward=-33.11 vs 91.53, winner=blue, r_win=11:35:4, win=15:47:6, time=277/19070
69: reward=-23.76 vs 0.24, winner=draw, r_win=11:34:5, win=15:47:7, time=331/19401
70: reward=-36.16 vs 93.40, winner=blue, r_win=11:34:5, win=15:48:7, time=251/19652
71: reward=-38.41 vs 95.76, winner=blue, r_win=10:35:5, win=15:49:7, time=176/19828
72: reward=-36.06 vs 93.16, winner=blue, r_win=10:35:5, win=15:50:7, time=256/20084
73: reward=-34.60 vs 91.25, winner=blue, r_win=10:35:5, win=15:51:7, time=302/20385
74: reward=82.22 vs -24.19, winner=red, r_win=11:34:5, win=16:51:7, time=185/20571
75: reward=-33.45 vs 90.61, winner=blue, r_win=10:35:5, win=16:52:7, time=285/20855
76: reward=-27.03 vs 13.47, winner=draw, r_win=10:34:6, win=16:52:8, time=476/21331
77: reward=-34.43 vs 91.06, winner=blue, r_win=10:34:6, win=16:53:8, time=286/21616
78: reward=-34.74 vs 91.85, winner=blue, r_win=9:35:6, win=16:54:8, time=271/21887
79: reward=-34.22 vs 90.55, winner=blue, r_win=8:36:6, win=16:55:8, time=296/22183
80: reward=-24.96 vs 2.04, winner=draw, r_win=8:35:7, win=16:55:9, time=311/22493
81: reward=-37.87 vs 94.42, winner=blue, r_win=7:36:7, win=16:56:9, time=198/22692
82: reward=-32.70 vs 90.50, winner=blue, r_win=7:37:6, win=16:57:9, time=297/22988
83: reward=-30.62 vs 89.06, winner=blue, r_win=7:37:6, win=16:58:9, time=326/23314
84: reward=-39.66 vs 96.66, winner=blue, r_win=7:37:6, win=16:59:9, time=324/23637
85: reward=-32.26 vs 89.40, winner=blue, r_win=7:37:6, win=16:60:9, time=319/23956
86: reward=-35.73 vs 94.08, winner=blue, r_win=7:37:6, win=16:61:9, time=248/24204
87: reward=-35.14 vs 90.85, winner=blue, r_win=6:38:6, win=16:62:9, time=300/24504
88: reward=75.16 vs -17.66, winner=red, r_win=6:38:6, win=17:62:9, time=324/24827
89: reward=-39.27 vs 95.92, winner=blue, r_win=6:38:6, win=17:63:9, time=182/25009
90: reward=-35.07 vs 92.43, winner=blue, r_win=6:39:5, win=17:64:9, time=279/25288
91: reward=-38.32 vs 94.30, winner=blue, r_win=6:39:5, win=17:65:9, time=160/25448
92: reward=-37.63 vs 92.81, winner=blue, r_win=6:39:5, win=17:66:9, time=168/25615
93: reward=-35.40 vs 91.51, winner=blue, r_win=6:39:5, win=17:67:9, time=287/25902
94: reward=-15.65 vs -2.15, winner=draw, r_win=6:38:6, win=17:67:10, time=398/26299
95: reward=-34.05 vs 91.88, winner=blue, r_win=6:38:6, win=17:68:10, time=280/26579
96: reward=-37.03 vs 92.58, winner=blue, r_win=6:38:6, win=17:69:10, time=213/26792
97: reward=-36.30 vs 91.49, winner=blue, r_win=5:39:6, win=17:70:10, time=181/26972
98: reward=-36.96 vs 93.64, winner=blue, r_win=4:40:6, win=17:71:10, time=117/27089
99: reward=-37.72 vs 93.30, winner=blue, r_win=4:41:5, win=17:72:10, time=144/27234
