67: reward=-10.44 vs -12.64, winner=draw, r_win=4:31:15, win=4:43:20, time=515/17691
68: reward=90.39 vs -34.95, winner=red, r_win=4:31:15, win=5:43:20, time=191/17881
69: reward=63.88 vs -22.43, winner=red, r_win=5:30:15, win=6:43:20, time=961/18842
70: reward=-8.75 vs -8.75, winner=draw, r_win=5:29:16, win=6:43:21, time=869/19711
71: reward=-9.13 vs -12.43, winner=draw, r_win=5:28:17, win=6:43:22, time=717/20427
72: reward=-10.01 vs -12.21, winner=draw, r_win=5:27:18, win=6:43:23, time=580/21007
73: reward=-12.05 vs -16.45, winner=draw, r_win=5:26:19, win=6:43:24, time=302/21308
74: reward=83.11 vs -32.04, winner=red, r_win=6:25:19, win=7:43:24, time=325/21633
75: reward=-8.90 vs -12.20, winner=draw, r_win=6:24:20, win=7:43:25, time=765/22398
76: reward=-36.33 vs 93.97, winner=blue, r_win=6:24:20, win=7:44:25, time=89/22487
77: reward=-12.98 vs -17.38, winner=draw, r_win=6:23:21, win=7:44:26, time=216/22703
78: reward=-13.08 vs -16.38, winner=draw, r_win=5:23:22, win=7:44:27, time=216/22919
79: reward=-36.06 vs 91.66, winner=blue, r_win=5:24:21, win=7:45:27, time=139/23058
80: reward=-36.37 vs 95.58, winner=blue, r_win=5:24:21, win=7:46:27, time=95/23153
81: reward=-38.19 vs 96.23, winner=blue, r_win=5:24:21, win=7:47:27, time=60/23213
82: reward=-12.34 vs -14.54, winner=draw, r_win=5:24:21, win=7:47:28, time=293/23506
83: reward=-11.73 vs -16.13, winner=draw, r_win=5:23:22, win=7:47:29, time=334/23839
84: reward=-13.36 vs -15.56, winner=draw, r_win=5:23:22, win=7:47:30, time=201/24040
85: reward=-35.45 vs 92.52, winner=blue, r_win=5:23:22, win=7:48:30, time=125/24165
86: reward=-12.88 vs -17.28, winner=draw, r_win=5:23:22, win=7:48:31, time=225/24390
87: reward=-7.23 vs -11.63, winner=draw, r_win=5:22:23, win=7:48:32, time=1256/25645
88: reward=90.76 vs -34.14, winner=red, r_win=6:21:23, win=8:48:32, time=183/25828
89: reward=-32.89 vs 90.93, winner=blue, r_win=6:21:23, win=8:49:32, time=146/25974
90: reward=-12.70 vs -16.00, winner=draw, r_win=6:20:24, win=8:49:33, time=249/26223
91: reward=83.95 vs -30.46, winner=red, r_win=7:20:23, win=9:49:33, time=304/26526
92: reward=-36.81 vs 93.52, winner=blue, r_win=7:20:23, win=9:50:33, time=111/26638
93: reward=-36.63 vs 93.07, winner=blue, r_win=7:20:23, win=9:51:33, time=118/26756
94: reward=-13.04 vs -17.44, winner=draw, r_win=7:19:24, win=9:51:34, time=210/26967
95: reward=-9.74 vs -10.84, winner=draw, r_win=7:19:24, win=9:51:35, time=641/27607
96: reward=-36.23 vs 91.32, winner=blue, r_win=7:20:23, win=9:52:35, time=129/27736
97: reward=-33.11 vs 90.73, winner=blue, r_win=7:20:23, win=9:53:35, time=133/27870
98: reward=-9.52 vs -11.72, winner=draw, r_win=7:19:24, win=9:53:36, time=662/28531
99: reward=-32.33 vs 89.51, winner=blue, r_win=7:19:24, win=9:54:36, time=168/28699
100: reward=-36.87 vs 93.67, winner=blue, r_win=7:19:24, win=9:55:36, time=109/28808
101: reward=92.30 vs -35.72, winner=red, r_win=7:19:24, win=10:55:36, time=160/28968
102: reward=-12.17 vs -15.47, winner=draw, r_win=7:19:24, win=10:55:37, time=300/29268
103: reward=-11.04 vs -12.14, winner=draw, r_win=7:18:25, win=10:55:38, time=448/29715
104: reward=-32.42 vs 89.00, winner=blue, r_win=7:19:24, win=10:56:38, time=160/29875
105: reward=-32.78 vs 90.64, winner=blue, r_win=7:19:24, win=10:57:38, time=150/30025
106: reward=92.80 vs -35.92, winner=red, r_win=8:19:23, win=11:57:38, time=152/30177
107: reward=-32.13 vs 89.03, winner=blue, r_win=8:20:22, win=11:58:38, time=175/30353
108: reward=-35.85 vs 94.27, winner=blue, r_win=8:20:22, win=11:59:38, time=114/30466
109: reward=-13.48 vs -16.78, winner=draw, r_win=8:19:23, win=11:59:39, time=182/30648
110: reward=-10.69 vs -13.99, winner=draw, r_win=8:19:23, win=11:59:40, time=467/31115
111: reward=-9.12 vs -10.22, winner=draw, r_win=8:19:23, win=11:59:41, time=759/31874
112: reward=-13.77 vs -18.17, winner=draw, r_win=8:18:24, win=11:59:42, time=151/32025
113: reward=92.94 vs -35.98, winner=red, r_win=9:18:23, win=12:59:42, time=150/32175
114: reward=-37.65 vs 95.63, winner=blue, r_win=8:19:23, win=12:60:42, time=82/32256
115: reward=64.36 vs -23.58, winner=red, r_win=9:18:23, win=13:60:42, time=939/33195
116: reward=88.75 vs -32.38, winner=red, r_win=10:17:23, win=14:60:42, time=215/33410
117: reward=-13.26 vs -13.26, winner=draw, r_win=10:17:23, win=14:60:43, time=226/33636
118: reward=93.08 vs -36.03, winner=red, r_win=10:17:23, win=15:60:43, time=148/33784
119: reward=-37.97 vs 96.43, winner=blue, r_win=9:18:23, win=15:61:43, time=71/33854
120: reward=91.95 vs -35.58, winner=red, r_win=10:18:22, win=16:61:43, time=165/34020
121: reward=-10.91 vs -14.21, winner=draw, r_win=10:18:22, win=16:61:44, time=440/34459
122: reward=92.66 vs -35.86, winner=red, r_win=11:18:21, win=17:61:44, time=154/34614
123: reward=-35.20 vs 91.15, winner=blue, r_win=11:19:20, win=17:62:44, time=130/34744
124: reward=-13.45 vs -14.55, winner=draw, r_win=10:19:21, win=17:62:45, time=202/34946
125: reward=-34.95 vs 92.93, winner=blue, r_win=10:20:20, win=17:63:45, time=103/35048
126: reward=-36.99 vs 93.98, winner=blue, r_win=10:20:20, win=17:64:45, time=105/35153
127: reward=-6.86 vs -11.26, winner=draw, r_win=10:20:20, win=17:64:46, time=1473/36627
128: reward=-11.29 vs -13.49, winner=draw, r_win=10:20:20, win=17:64:47, time=406/37032
129: reward=85.98 vs -30.31, winner=red, r_win=11:19:20, win=18:64:47, time=263/37295
130: reward=-33.96 vs 90.46, winner=blue, r_win=11:19:20, win=18:65:47, time=139/37434
131: reward=-9.66 vs -10.76, winner=draw, r_win=11:18:21, win=18:65:48, time=654/38088
132: reward=-12.34 vs -14.54, winner=draw, r_win=11:18:21, win=18:65:49, time=293/38380
133: reward=91.88 vs -35.55, winner=red, r_win=12:18:20, win=19:65:49, time=166/38547
134: reward=-10.47 vs -14.87, winner=draw, r_win=12:18:20, win=19:65:50, time=484/39030
135: reward=-10.31 vs -13.61, winner=draw, r_win=12:17:21, win=19:65:51, time=519/39549
136: reward=-12.38 vs -16.78, winner=draw, r_win=12:17:21, win=19:65:52, time=270/39819
137: reward=-33.53 vs 91.77, winner=blue, r_win=12:18:20, win=19:66:52, time=118/39937
138: reward=-34.55 vs 91.17, winner=blue, r_win=11:19:20, win=19:67:52, time=114/40050
139: reward=-35.80 vs 92.65, winner=blue, r_win=11:19:20, win=19:68:52, time=108/40159
140: reward=-37.20 vs 93.76, winner=blue, r_win=11:20:19, win=19:69:52, time=94/40252
141: reward=-10.70 vs -14.00, winner=draw, r_win=10:20:20, win=19:69:53, time=466/40718
142: reward=-10.62 vs -13.92, winner=draw, r_win=10:19:21, win=19:69:54, time=477/41195
143: reward=-35.30 vs 92.15, winner=blue, r_win=10:19:21, win=19:70:54, time=130/41325
144: reward=-33.37 vs 90.62, winner=blue, r_win=10:20:20, win=19:71:54, time=120/41445
145: reward=-36.92 vs 93.06, winner=blue, r_win=10:21:19, win=19:72:54, time=104/41549
146: reward=-10.25 vs -14.65, winner=draw, r_win=10:20:20, win=19:72:55, time=514/42063
147: reward=-36.66 vs 93.14, winner=blue, r_win=10:20:20, win=19:73:55, time=117/42180
148: reward=-13.86 vs -18.26, winner=draw, r_win=10:20:20, win=19:73:56, time=144/42324
149: reward=-36.48 vs 92.69, winner=blue, r_win=10:20:20, win=19:74:56, time=124/42448
150: reward=82.71 vs -29.97, winner=red, r_win=11:19:20, win=20:74:56, time=329/42776
151: reward=91.44 vs -34.42, winner=red, r_win=11:19:20, win=21:74:56, time=172/42948
152: reward=-36.56 vs 92.14, winner=blue, r_win=11:20:19, win=21:75:56, time=117/43065
153: reward=-12.77 vs -12.77, winner=draw, r_win=11:20:19, win=21:75:57, time=271/43336
154: reward=-31.87 vs 87.62, winner=blue, r_win=11:20:19, win=21:76:57, time=182/43518
155: reward=-12.64 vs -17.04, winner=draw, r_win=11:19:20, win=21:76:58, time=246/43763
156: reward=-12.78 vs -13.88, winner=draw, r_win=10:19:21, win=21:76:59, time=261/44024
157: reward=93.23 vs -36.09, winner=red, r_win=11:18:21, win=22:76:59, time=146/44170
158: reward=89.04 vs -33.46, winner=red, r_win=12:17:21, win=23:76:59, time=212/44381
159: reward=-11.46 vs -14.76, winner=draw, r_win=12:17:21, win=23:76:60, time=375/44756
160: reward=-12.50 vs -14.70, winner=draw, r_win=12:17:21, win=23:76:61, time=278/45033
161: reward=83.55 vs -30.30, winner=red, r_win=13:17:20, win=24:76:61, time=312/45345
162: reward=83.85 vs -29.46, winner=red, r_win=14:17:19, win=25:76:61, time=304/45649
163: reward=-13.14 vs -15.34, winner=draw, r_win=13:17:20, win=25:76:62, time=219/45868
164: reward=-32.12 vs 88.24, winner=blue, r_win=13:17:20, win=25:77:62, time=172/46040
165: reward=-10.65 vs -15.05, winner=draw, r_win=12:17:21, win=25:77:63, time=460/46500
166: reward=-32.58 vs 91.04, winner=blue, r_win=11:18:21, win=25:78:63, time=113/46612
167: reward=-31.83 vs 88.29, winner=blue, r_win=11:19:20, win=25:79:63, time=187/46800
168: reward=-11.61 vs -13.81, winner=draw, r_win=10:19:21, win=25:79:64, time=369/47168
169: reward=-10.60 vs -13.90, winner=draw, r_win=10:18:22, win=25:79:65, time=480/47648
170: reward=-11.94 vs -13.04, winner=draw, r_win=9:18:23, win=25:79:66, time=344/47991
171: reward=-9.26 vs -12.56, winner=draw, r_win=9:18:23, win=25:79:67, time=691/48682
172: reward=-11.89 vs -16.29, winner=draw, r_win=8:18:24, win=25:79:68, time=318/49000
173: reward=89.03 vs -31.53, winner=red, r_win=9:17:24, win=26:79:68, time=208/49208
