69: reward=1.50 vs 92.75, winner=blue, r_win=6:16:28, win=6:25:38, time=96/8202
70: reward=1.50 vs 90.77, winner=blue, r_win=6:17:27, win=6:26:38, time=125/8326
71: reward=1.00 vs 90.03, winner=blue, r_win=6:18:26, win=6:27:38, time=136/8462
72: reward=0.00 vs 0.00, winner=draw, r_win=6:18:26, win=6:27:39, time=95/8557
73: reward=1.50 vs 0.15, winner=draw, r_win=6:17:27, win=6:27:40, time=161/8718
74: reward=0.00 vs 0.00, winner=draw, r_win=6:17:27, win=6:27:41, time=84/8802
75: reward=94.34 vs 0.00, winner=red, r_win=7:17:26, win=7:27:41, time=93/8895
76: reward=1.50 vs 90.14, winner=blue, r_win=7:18:25, win=7:28:41, time=135/9029
77: reward=92.64 vs 0.00, winner=red, r_win=8:17:25, win=8:28:41, time=117/9146
78: reward=0.00 vs 0.00, winner=draw, r_win=8:16:26, win=8:28:42, time=114/9260
79: reward=0.00 vs 0.00, winner=draw, r_win=8:15:27, win=8:28:43, time=139/9399
80: reward=1.50 vs 88.49, winner=blue, r_win=8:16:26, win=8:29:43, time=160/9559
81: reward=1.50 vs 0.10, winner=draw, r_win=8:15:27, win=8:29:44, time=125/9684
82: reward=1.00 vs 0.00, winner=draw, r_win=8:15:27, win=8:29:45, time=96/9780
83: reward=1.50 vs 90.06, winner=blue, r_win=8:16:26, win=8:30:45, time=136/9916
84: reward=1.50 vs 88.56, winner=blue, r_win=8:16:26, win=8:31:45, time=159/10074
85: reward=1.00 vs 89.81, winner=blue, r_win=8:16:26, win=8:32:45, time=139/10213
86: reward=1.00 vs 89.96, winner=blue, r_win=8:16:26, win=8:33:45, time=137/10350
87: reward=1.00 vs 0.00, winner=draw, r_win=8:16:26, win=8:33:46, time=111/10462
88: reward=0.00 vs 0.00, winner=draw, r_win=7:16:27, win=8:33:47, time=102/10563
89: reward=0.00 vs 91.54, winner=blue, r_win=6:17:27, win=8:34:47, time=113/10676
90: reward=1.00 vs 91.44, winner=blue, r_win=5:18:27, win=8:35:47, time=115/10791
91: reward=1.00 vs 0.10, winner=draw, r_win=5:17:28, win=8:35:48, time=113/10903
92: reward=1.00 vs 0.10, winner=draw, r_win=5:17:28, win=8:35:49, time=87/10991
93: reward=1.00 vs 91.75, winner=blue, r_win=5:18:27, win=8:36:49, time=110/11101
94: reward=0.00 vs 0.00, winner=draw, r_win=4:18:28, win=8:36:50, time=106/11207
95: reward=1.00 vs 0.10, winner=draw, r_win=4:17:29, win=8:36:51, time=114/11321
96: reward=1.83 vs 90.65, winner=blue, r_win=4:18:28, win=8:37:51, time=127/11448
