45: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 45, recent_win=0 vs 45, draw=0, winner=blue, time=76/4027
46: reward=0.00 vs 94.44, reward_evade=0.00 vs 1.00, win=0 vs 46, recent_win=0 vs 46, draw=0, winner=blue, time=98/4126
47: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 47, recent_win=0 vs 47, draw=0, winner=blue, time=75/4201
48: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 48, recent_win=0 vs 48, draw=0, winner=blue, time=76/4277
49: reward=0.00 vs 96.07, reward_evade=0.00 vs 2.00, win=0 vs 49, recent_win=0 vs 49, draw=0, winner=blue, time=89/4367
50: reward=0.00 vs 96.95, reward_evade=0.00 vs 2.00, win=0 vs 50, recent_win=0 vs 50, draw=0, winner=blue, time=77/4444
51: reward=0.00 vs 96.95, reward_evade=0.00 vs 2.00, win=0 vs 51, recent_win=0 vs 50, draw=0, winner=blue, time=77/4522
52: reward=0.00 vs 94.83, reward_evade=0.00 vs 2.00, win=0 vs 52, recent_win=0 vs 50, draw=0, winner=blue, time=107/4629
53: reward=0.00 vs 96.47, reward_evade=0.00 vs 2.00, win=0 vs 53, recent_win=0 vs 50, draw=0, winner=blue, time=84/4713
54: reward=0.00 vs 97.52, reward_evade=0.00 vs 2.00, win=0 vs 54, recent_win=0 vs 50, draw=0, winner=blue, time=70/4782
55: reward=0.00 vs 94.29, reward_evade=0.00 vs 2.00, win=0 vs 55, recent_win=0 vs 50, draw=0, winner=blue, time=115/4897
56: reward=0.00 vs 97.27, reward_evade=0.00 vs 2.00, win=0 vs 56, recent_win=0 vs 50, draw=0, winner=blue, time=73/4970
57: reward=0.00 vs 97.27, reward_evade=0.00 vs 2.00, win=0 vs 57, recent_win=0 vs 50, draw=0, winner=blue, time=73/5043
58: reward=0.00 vs 97.27, reward_evade=0.00 vs 2.00, win=0 vs 58, recent_win=0 vs 50, draw=0, winner=blue, time=73/5116
59: reward=0.00 vs 96.79, reward_evade=0.00 vs 2.00, win=0 vs 59, recent_win=0 vs 50, draw=0, winner=blue, time=80/5196
60: reward=0.00 vs 97.60, reward_evade=0.00 vs 2.00, win=0 vs 60, recent_win=0 vs 50, draw=0, winner=blue, time=69/5264
61: reward=0.00 vs 93.92, reward_evade=0.00 vs 2.00, win=0 vs 61, recent_win=0 vs 50, draw=0, winner=blue, time=120/5385
62: reward=0.00 vs 97.19, reward_evade=0.00 vs 2.00, win=0 vs 62, recent_win=0 vs 50, draw=0, winner=blue, time=74/5459
63: reward=0.00 vs 94.22, reward_evade=0.00 vs 2.00, win=0 vs 63, recent_win=0 vs 50, draw=0, winner=blue, time=116/5575
64: reward=0.00 vs 94.52, reward_evade=0.00 vs 1.00, win=0 vs 64, recent_win=0 vs 50, draw=0, winner=blue, time=97/5672
65: reward=0.00 vs 97.43, reward_evade=0.00 vs 2.00, win=0 vs 65, recent_win=0 vs 50, draw=0, winner=blue, time=71/5743
66: reward=0.00 vs 93.69, reward_evade=0.00 vs 2.00, win=0 vs 66, recent_win=0 vs 50, draw=0, winner=blue, time=124/5866
67: reward=0.00 vs 96.47, reward_evade=0.00 vs 2.00, win=0 vs 67, recent_win=0 vs 50, draw=0, winner=blue, time=84/5950
68: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 68, recent_win=0 vs 50, draw=0, winner=blue, time=76/6027
69: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 69, recent_win=0 vs 50, draw=0, winner=blue, time=75/6102
70: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 70, recent_win=0 vs 50, draw=0, winner=blue, time=75/6177
71: reward=0.00 vs 97.19, reward_evade=0.00 vs 2.00, win=0 vs 71, recent_win=0 vs 50, draw=0, winner=blue, time=74/6251
72: reward=0.00 vs 95.44, reward_evade=0.00 vs 2.00, win=0 vs 72, recent_win=0 vs 50, draw=0, winner=blue, time=98/6349
73: reward=0.00 vs 96.79, reward_evade=0.00 vs 2.00, win=0 vs 73, recent_win=0 vs 50, draw=0, winner=blue, time=80/6429
74: reward=0.00 vs 93.92, reward_evade=0.00 vs 2.00, win=0 vs 74, recent_win=0 vs 50, draw=0, winner=blue, time=120/6549
75: reward=0.00 vs 94.90, reward_evade=0.00 vs 2.00, win=0 vs 75, recent_win=0 vs 50, draw=0, winner=blue, time=106/6655
76: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 76, recent_win=0 vs 50, draw=0, winner=blue, time=75/6730
77: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 77, recent_win=0 vs 50, draw=0, winner=blue, time=75/6806
78: reward=0.00 vs 97.35, reward_evade=0.00 vs 2.00, win=0 vs 78, recent_win=0 vs 50, draw=0, winner=blue, time=72/6878
79: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 79, recent_win=0 vs 50, draw=0, winner=blue, time=76/6954
80: reward=0.00 vs 93.92, reward_evade=0.00 vs 2.00, win=0 vs 80, recent_win=0 vs 50, draw=0, winner=blue, time=120/7074
81: reward=0.00 vs 96.39, reward_evade=0.00 vs 2.00, win=0 vs 81, recent_win=0 vs 50, draw=0, winner=blue, time=85/7159
