Wall time,Step,Value
1716069315.334319,6,0.0
1716069316.102303,7,0.0
1716069317.883214,12,0.0
1716069319.021606,15,0.0
1716069319.346667,16,0.0
1716069320.424632,19,0.0
1716069321.1051059,21,0.0
1716069324.285198,25,0.0
1716069329.598859,37,0.0
1716069331.769682,41,0.0
1716069332.706091,43,0.0
1716069333.5370939,45,0.0
1716069333.9511318,46,0.0
1716069334.751999,48,0.0
1716069336.978497,54,0.0
1716069337.3680482,55,0.0
1716069337.813531,56,0.0
1716069338.2181199,57,0.0
1716069338.5462358,58,0.0
1716069342.555231,66,0.0
1716069344.127939,69,0.0
1716069345.163442,72,0.0
1716069345.464649,73,0.0
1716069345.869823,74,0.0
1716069346.215862,75,0.0
1716069348.93775,80,0.0
1716069352.106584,88,0.0
1716069352.440546,89,0.0
1716069354.998373,95,0.0
1716069358.791992,103,0.0
1716069360.4042912,106,0.0
1716069360.814898,107,0.0
1716069364.630295,114,0.0
1716069366.474462,117,0.0
1716069367.832587,119,0.0
1716069372.101541,127,0.0
1716069374.516282,130,0.0
1716069375.135484,131,0.0
1716069380.452472,140,0.0
1716069382.0435672,142,0.0
1716069382.7439759,143,0.0
1716069383.4597619,144,0.0
1716069387.107767,151,0.0
1716069391.0128572,156,0.0
1716069392.327103,158,0.0
1716069392.849607,159,0.0
1716069395.3888772,163,0.0
1716069399.062816,168,0.0
1716069399.6693969,169,0.0
1716069401.6989791,172,0.0
1716069405.669503,178,0.0
1716069406.2685719,179,0.0
1716069408.1423612,181,0.0
1716069410.472092,184,0.019999999552965164
1716069411.964187,186,0.019999999552965164
1716069412.704166,187,0.019999999552965164
1716069413.8426838,189,0.019999999552965164
1716069416.0158179,191,0.019999999552965164
1716069416.4831219,192,0.019999999552965164
1716069421.55904,199,0.019999999552965164
1716069428.261322,207,0.03999999910593033
1716069429.0908852,208,0.03999999910593033
1716069429.497309,209,0.03999999910593033
1716069433.844193,213,0.03999999910593033
1716069443.982055,223,0.03999999910593033
1716069444.790566,224,0.03999999910593033
1716069446.39972,226,0.03999999910593033
1716069450.3007228,230,0.03999999910593033
1716069453.1170251,233,0.019999999552965164
1716069454.032206,234,0.019999999552965164
1716069454.843232,235,0.019999999552965164
1716069457.331319,238,0.019999999552965164
1716069469.86215,250,0.05999999865889549
1716069474.809723,256,0.03999999910593033
1716069478.3646321,259,0.05999999865889549
1716069480.2892969,261,0.05999999865889549
1716069481.2070808,262,0.05999999865889549
1716069482.734656,264,0.05999999865889549
1716069485.8655849,268,0.05999999865889549
1716069489.880554,272,0.05999999865889549
1716069491.492633,274,0.05999999865889549
1716069495.871453,279,0.07999999821186066
1716069510.316,293,0.10000000149011612
1716069514.664969,298,0.05999999865889549
1716069516.473902,299,0.05999999865889549
1716069520.960051,303,0.07999999821186066
1716069521.694805,304,0.07999999821186066
1716069526.035527,308,0.07999999821186066
1716069527.164051,309,0.07999999821186066
1716069529.058033,311,0.07999999821186066
1716069531.619327,314,0.07999999821186066
1716069538.476416,319,0.10000000149011612
1716069539.340318,320,0.10000000149011612
1716069540.560454,321,0.10000000149011612
1716069546.379464,326,0.11999999731779099
1716069547.148774,327,0.11999999731779099
1716069548.134311,328,0.11999999731779099
1716069551.15131,331,0.11999999731779099
1716069558.921982,340,0.10000000149011612
1716069562.792871,342,0.10000000149011612
1716069569.0178492,348,0.10000000149011612
1716069575.779458,354,0.10000000149011612
1716069577.1525261,355,0.10000000149011612
1716069582.909461,361,0.07999999821186066
1716069585.9378262,364,0.07999999821186066
1716069592.2437298,368,0.07999999821186066
1716069600.035221,372,0.05999999865889549
1716069602.590206,374,0.05999999865889549
1716069608.451185,378,0.10000000149011612
1716069611.227147,379,0.10000000149011612
1716069612.041692,380,0.10000000149011612
1716069615.524669,382,0.11999999731779099
1716069621.2472608,387,0.14000000059604645
1716069628.808896,392,0.1599999964237213
1716069629.794667,393,0.1599999964237213
1716069631.09405,394,0.1599999964237213
1716069646.744121,409,0.1599999964237213
1716069657.0195332,416,0.20000000298023224
1716069664.644187,422,0.2199999988079071
1716069665.495904,423,0.2199999988079071
1716069668.092254,425,0.20000000298023224
1716069670.2962291,427,0.18000000715255737
1716069674.736959,431,0.18000000715255737
1716069686.990613,440,0.18000000715255737
1716069689.80069,442,0.18000000715255737
1716069691.074176,443,0.20000000298023224
1716069699.254808,446,0.23999999463558197
1716069707.182264,452,0.2800000011920929
1716069721.376128,460,0.3400000035762787
1716069723.28145,461,0.36000001430511475
1716069726.289833,464,0.3400000035762787
1716069727.282241,465,0.3199999928474426
1716069737.606426,474,0.3199999928474426
1716069738.573251,475,0.3199999928474426
1716069755.4008791,486,0.3400000035762787
1716069759.034909,489,0.3199999928474426
1716069760.581588,490,0.3400000035762787
1716069766.026127,492,0.3400000035762787
1716069769.501578,494,0.3400000035762787
1716069792.461215,508,0.3799999952316284
1716069801.110486,513,0.41999998688697815
1716069803.29933,515,0.4399999976158142
1716069807.473598,518,0.41999998688697815
1716069810.612651,520,0.41999998688697815
1716069819.1067011,525,0.5
1716069820.2214432,526,0.5
1716069828.559853,532,0.5600000023841858
1716069832.368166,534,0.5799999833106995
1716069833.185956,535,0.5600000023841858
1716069835.369001,537,0.5600000023841858
1716069837.662364,538,0.5799999833106995
1716069842.481844,541,0.5600000023841858
1716069846.799851,543,0.5799999833106995
1716069856.848237,548,0.6000000238418579
1716069858.068567,549,0.6200000047683716
1716069870.328834,558,0.6600000262260437
1716069873.096001,560,0.6399999856948853
1716069879.238859,564,0.5799999833106995
1716069880.092488,565,0.5799999833106995
1716069880.8822138,566,0.5799999833106995
1716069887.650534,570,0.6200000047683716
1716069893.5456378,574,0.5799999833106995
1716069895.311253,575,0.5600000023841858
1716069898.762657,578,0.5400000214576721
1716069901.196403,580,0.5199999809265137
1716069902.811986,581,0.5400000214576721
1716069904.303993,582,0.5199999809265137
1716069905.281703,583,0.5
1716069906.756497,584,0.5199999809265137
1716069908.071799,585,0.5400000214576721
1716069910.2029,587,0.5400000214576721
1716069911.5401611,588,0.5199999809265137
1716069920.8684669,593,0.5
1716069922.023527,594,0.47999998927116394
1716069929.427138,598,0.47999998927116394
1716069933.3353531,601,0.47999998927116394
1716069937.788385,603,0.47999998927116394
1716069945.936637,609,0.4399999976158142
1716069948.123992,611,0.46000000834465027
1716069957.1432269,616,0.5400000214576721
1716069963.770991,620,0.5600000023841858
1716069964.615508,621,0.5600000023841858
1716069967.019676,623,0.5600000023841858
1716069984.714153,635,0.6600000262260437
1716069994.186538,642,0.7200000286102295
1716069995.4839182,643,0.7200000286102295
1716069997.8377972,645,0.699999988079071
1716069998.447396,646,0.6800000071525574
1716070000.015742,647,0.6800000071525574
1716070003.001184,648,0.6800000071525574
