1: reward=-38.26 vs 95.15, winner=blue, r_win=0:1:0, win=0:1:0, time=88/88
2: reward=-38.11 vs 95.03, winner=blue, r_win=0:2:0, win=0:2:0, time=76/165
3: reward=-32.19 vs 88.47, winner=blue, r_win=0:3:0, win=0:3:0, time=127/292
4: reward=-38.29 vs 95.23, winner=blue, r_win=0:4:0, win=0:4:0, time=87/379
5: reward=-37.85 vs 94.13, winner=blue, r_win=0:5:0, win=0:5:0, time=103/482
6: reward=-32.16 vs 88.39, winner=blue, r_win=0:6:0, win=0:6:0, time=128/610
7: reward=-35.60 vs 90.75, winner=blue, r_win=0:7:0, win=0:7:0, time=130/740
8: reward=-38.42 vs 95.55, winner=blue, r_win=0:8:0, win=0:8:0, time=83/823
9: reward=-37.05 vs 92.37, winner=blue, r_win=0:9:0, win=0:9:0, time=114/936
10: reward=-38.02 vs 94.79, winner=blue, r_win=0:10:0, win=0:10:0, time=80/1016
11: reward=-35.99 vs 91.72, winner=blue, r_win=0:11:0, win=0:11:0, time=116/1132
12: reward=-38.55 vs 95.87, winner=blue, r_win=0:12:0, win=0:12:0, time=78/1210
13: reward=-35.57 vs 90.67, winner=blue, r_win=0:13:0, win=0:13:0, time=131/1342
14: reward=-38.04 vs 94.60, winner=blue, r_win=0:14:0, win=0:14:0, time=96/1438
15: reward=-36.07 vs 92.18, winner=blue, r_win=0:15:0, win=0:15:0, time=95/1533
16: reward=-37.22 vs 92.54, winner=blue, r_win=0:16:0, win=0:16:0, time=126/1659
17: reward=-38.20 vs 94.99, winner=blue, r_win=0:17:0, win=0:17:0, time=91/1749
18: reward=-38.61 vs 96.03, winner=blue, r_win=0:18:0, win=0:18:0, time=76/1825
19: reward=-36.45 vs 92.87, winner=blue, r_win=0:19:0, win=0:19:0, time=99/1925
20: reward=-34.92 vs 89.31, winner=blue, r_win=0:20:0, win=0:20:0, time=137/2062
21: reward=-38.36 vs 95.39, winner=blue, r_win=0:21:0, win=0:21:0, time=85/2147
22: reward=-38.26 vs 95.15, winner=blue, r_win=0:22:0, win=0:22:0, time=88/2235
23: reward=-37.28 vs 92.69, winner=blue, r_win=0:23:0, win=0:23:0, time=124/2359
24: reward=-29.18 vs 84.95, winner=blue, r_win=0:24:0, win=0:24:0, time=165/2524
25: reward=-36.63 vs 93.34, winner=blue, r_win=0:25:0, win=0:25:0, time=93/2617
26: reward=-37.16 vs 92.39, winner=blue, r_win=0:26:0, win=0:26:0, time=128/2745
27: reward=-38.48 vs 95.71, winner=blue, r_win=0:27:0, win=0:27:0, time=81/2826
28: reward=-31.66 vs 87.15, winner=blue, r_win=0:28:0, win=0:28:0, time=147/2972
29: reward=-37.70 vs 93.99, winner=blue, r_win=0:29:0, win=0:29:0, time=91/3063
30: reward=-37.10 vs 92.25, winner=blue, r_win=0:30:0, win=0:30:0, time=130/3193
31: reward=-37.11 vs 94.02, winner=blue, r_win=0:31:0, win=0:31:0, time=111/3305
32: reward=-37.37 vs 92.92, winner=blue, r_win=0:32:0, win=0:32:0, time=120/3425
33: reward=-38.52 vs 95.79, winner=blue, r_win=0:33:0, win=0:33:0, time=80/3505
34: reward=-38.32 vs 95.31, winner=blue, r_win=0:34:0, win=0:34:0, time=86/3591
35: reward=-34.08 vs 90.94, winner=blue, r_win=0:35:0, win=0:35:0, time=113/3703
36: reward=-38.14 vs 95.11, winner=blue, r_win=0:36:0, win=0:36:0, time=75/3779
37: reward=-38.20 vs 94.99, winner=blue, r_win=0:37:0, win=0:37:0, time=91/3869
38: reward=-36.26 vs 92.40, winner=blue, r_win=0:38:0, win=0:38:0, time=106/3975
39: reward=-38.26 vs 95.15, winner=blue, r_win=0:39:0, win=0:39:0, time=88/4064
40: reward=-33.22 vs 89.04, winner=blue, r_win=0:40:0, win=0:40:0, time=126/4189
41: reward=-35.84 vs 91.34, winner=blue, r_win=0:41:0, win=0:41:0, time=121/4311
42: reward=-36.98 vs 93.94, winner=blue, r_win=0:42:0, win=0:42:0, time=98/4409
43: reward=-37.20 vs 92.75, winner=blue, r_win=0:43:0, win=0:43:0, time=108/4517
44: reward=-35.31 vs 91.77, winner=blue, r_win=0:44:0, win=0:44:0, time=122/4640
45: reward=-38.40 vs 95.76, winner=blue, r_win=0:45:0, win=0:45:0, time=66/4706
46: reward=-38.48 vs 95.71, winner=blue, r_win=0:46:0, win=0:46:0, time=81/4787
47: reward=-35.72 vs 91.04, winner=blue, r_win=0:47:0, win=0:47:0, time=126/4913
48: reward=-37.25 vs 92.62, winner=blue, r_win=0:48:0, win=0:48:0, time=125/5037
49: reward=-36.23 vs 92.33, winner=blue, r_win=0:49:0, win=0:49:0, time=107/5144
50: reward=-36.86 vs 93.89, winner=blue, r_win=0:50:0, win=0:50:0, time=85/5230
51: reward=-34.08 vs 88.45, winner=blue, r_win=0:50:0, win=0:51:0, time=190/5419
52: reward=-34.61 vs 90.52, winner=blue, r_win=0:50:0, win=0:52:0, time=111/5531
53: reward=-32.78 vs 89.69, winner=blue, r_win=0:50:0, win=0:53:0, time=124/5654
54: reward=-38.36 vs 95.39, winner=blue, r_win=0:50:0, win=0:54:0, time=85/5739
55: reward=-35.58 vs 92.44, winner=blue, r_win=0:50:0, win=0:55:0, time=113/5852
56: reward=-38.24 vs 95.35, winner=blue, r_win=0:50:0, win=0:56:0, time=72/5924
57: reward=-35.45 vs 90.38, winner=blue, r_win=0:50:0, win=0:57:0, time=136/6060
58: reward=-38.26 vs 95.15, winner=blue, r_win=0:50:0, win=0:58:0, time=88/6148
59: reward=-38.42 vs 95.55, winner=blue, r_win=0:50:0, win=0:59:0, time=83/6231
60: reward=-33.88 vs 90.71, winner=blue, r_win=0:50:0, win=0:60:0, time=102/6332
61: reward=-38.05 vs 94.87, winner=blue, r_win=0:50:0, win=0:61:0, time=78/6411
62: reward=-32.43 vs 89.07, winner=blue, r_win=0:50:0, win=0:62:0, time=118/6529
63: reward=-38.23 vs 95.07, winner=blue, r_win=0:50:0, win=0:63:0, time=89/6619
64: reward=-26.46 vs 84.16, winner=blue, r_win=0:50:0, win=0:64:0, time=154/6773
65: reward=-38.13 vs 94.84, winner=blue, r_win=0:50:0, win=0:65:0, time=93/6866
66: reward=-35.90 vs 91.49, winner=blue, r_win=0:50:0, win=0:66:0, time=119/6985
67: reward=-35.31 vs 90.27, winner=blue, r_win=0:50:0, win=0:67:0, time=122/7107
68: reward=-35.29 vs 91.98, winner=blue, r_win=0:50:0, win=0:68:0, time=105/7212
69: reward=-34.28 vs 89.69, winner=blue, r_win=0:50:0, win=0:69:0, time=124/7336
70: reward=-36.17 vs 92.41, winner=blue, r_win=0:50:0, win=0:70:0, time=92/7428
71: reward=-34.92 vs 91.29, winner=blue, r_win=0:50:0, win=0:71:0, time=100/7528
72: reward=-25.45 vs 81.62, winner=blue, r_win=0:50:0, win=0:72:0, time=195/7723
73: reward=-37.98 vs 94.44, winner=blue, r_win=0:50:0, win=0:73:0, time=98/7822
74: reward=-36.87 vs 91.92, winner=blue, r_win=0:50:0, win=0:74:0, time=120/7942
75: reward=-29.52 vs 85.80, winner=blue, r_win=0:50:0, win=0:75:0, time=152/8094
76: reward=-36.20 vs 92.25, winner=blue, r_win=0:50:0, win=0:76:0, time=108/8202
77: reward=-36.72 vs 91.54, winner=blue, r_win=0:50:0, win=0:77:0, time=126/8328
78: reward=-34.69 vs 90.47, winner=blue, r_win=0:50:0, win=0:78:0, time=127/8455
79: reward=-35.13 vs 91.84, winner=blue, r_win=0:50:0, win=0:79:0, time=93/8548
80: reward=-37.67 vs 93.91, winner=blue, r_win=0:50:0, win=0:80:0, time=92/8639
81: reward=-33.42 vs 89.31, winner=blue, r_win=0:50:0, win=0:81:0, time=137/8776
82: reward=-37.45 vs 93.37, winner=blue, r_win=0:50:0, win=0:82:0, time=99/8876
83: reward=-21.43 vs 75.56, winner=blue, r_win=0:50:0, win=0:83:0, time=286/9161
84: reward=-28.55 vs 83.39, winner=blue, r_win=0:50:0, win=0:84:0, time=191/9352
85: reward=-36.60 vs 93.26, winner=blue, r_win=0:50:0, win=0:85:0, time=94/9446
86: reward=-36.72 vs 91.30, winner=blue, r_win=0:50:0, win=0:86:0, time=144/9590
87: reward=-33.66 vs 88.15, winner=blue, r_win=0:50:0, win=0:87:0, time=147/9737
88: reward=-29.04 vs 84.61, winner=blue, r_win=0:50:0, win=0:88:0, time=171/9908
89: reward=-35.75 vs 91.12, winner=blue, r_win=0:50:0, win=0:89:0, time=125/10033
90: reward=-9.21 vs -21.21, winner=draw, r_win=0:49:1, win=0:89:1, time=196/10229
91: reward=-34.16 vs 89.15, winner=blue, r_win=0:49:1, win=0:90:1, time=147/10376
92: reward=-33.66 vs 89.89, winner=blue, r_win=0:49:1, win=0:91:1, time=128/10504
93: reward=-29.82 vs 84.56, winner=blue, r_win=0:49:1, win=0:92:1, time=180/10683
94: reward=-32.37 vs 88.92, winner=blue, r_win=0:49:1, win=0:93:1, time=120/10804
95: reward=-38.32 vs 95.31, winner=blue, r_win=0:49:1, win=0:94:1, time=86/10890
96: reward=-28.93 vs 84.33, winner=blue, r_win=0:49:1, win=0:95:1, time=175/11065
97: reward=-36.72 vs 91.54, winner=blue, r_win=0:49:1, win=0:96:1, time=126/11191
98: reward=-31.16 vs 87.89, winner=blue, r_win=0:49:1, win=0:97:1, time=128/11319
99: reward=-31.19 vs 87.97, winner=blue, r_win=0:49:1, win=0:98:1, time=127/11446
100: reward=-29.80 vs 84.49, winner=blue, r_win=0:49:1, win=0:99:1, time=181/11627
101: reward=-36.73 vs 93.57, winner=blue, r_win=0:49:1, win=0:100:1, time=89/11716
102: reward=-36.26 vs 92.40, winner=blue, r_win=0:49:1, win=0:101:1, time=106/11822
103: reward=-37.54 vs 93.60, winner=blue, r_win=0:49:1, win=0:102:1, time=96/11918
104: reward=-26.29 vs 81.73, winner=blue, r_win=0:49:1, win=0:103:1, time=202/12120
105: reward=-35.35 vs 92.13, winner=blue, r_win=0:49:1, win=0:104:1, time=103/12223
106: reward=-32.55 vs 89.37, winner=blue, r_win=0:49:1, win=0:105:1, time=114/12336
107: reward=-36.57 vs 93.18, winner=blue, r_win=0:49:1, win=0:106:1, time=95/12431
108: reward=-24.19 vs 80.46, winner=blue, r_win=0:49:1, win=0:107:1, time=206/12637
109: reward=-33.63 vs 88.08, winner=blue, r_win=0:49:1, win=0:108:1, time=148/12785
110: reward=-30.84 vs 87.09, winner=blue, r_win=0:49:1, win=0:109:1, time=140/12925
111: reward=-26.32 vs 83.80, winner=blue, r_win=0:49:1, win=0:110:1, time=160/13085
112: reward=-36.63 vs 93.34, winner=blue, r_win=0:49:1, win=0:111:1, time=93/13178
113: reward=-34.66 vs 90.39, winner=blue, r_win=0:49:1, win=0:112:1, time=128/13306
114: reward=-30.15 vs 85.38, winner=blue, r_win=0:49:1, win=0:113:1, time=166/13472
115: reward=-33.74 vs 88.09, winner=blue, r_win=0:49:1, win=0:114:1, time=163/13636
116: reward=-34.58 vs 90.44, winner=blue, r_win=0:49:1, win=0:115:1, time=113/13748
117: reward=-34.82 vs 91.06, winner=blue, r_win=0:49:1, win=0:116:1, time=104/13852
118: reward=-28.41 vs 85.01, winner=blue, r_win=0:49:1, win=0:117:1, time=157/14009
119: reward=-24.38 vs 78.94, winner=blue, r_win=0:49:1, win=0:118:1, time=241/14250
120: reward=-35.75 vs 91.12, winner=blue, r_win=0:49:1, win=0:119:1, time=125/14375
121: reward=-37.89 vs 94.47, winner=blue, r_win=0:49:1, win=0:120:1, time=84/14459
122: reward=-36.63 vs 93.34, winner=blue, r_win=0:49:1, win=0:121:1, time=93/14551
123: reward=-37.49 vs 93.22, winner=blue, r_win=0:49:1, win=0:122:1, time=116/14667
124: reward=-32.10 vs 88.25, winner=blue, r_win=0:49:1, win=0:123:1, time=130/14798
125: reward=-25.99 vs 82.97, winner=blue, r_win=0:49:1, win=0:124:1, time=173/14971
126: reward=-33.28 vs 89.19, winner=blue, r_win=0:49:1, win=0:125:1, time=124/15094
127: reward=-38.48 vs 95.71, winner=blue, r_win=0:49:1, win=0:126:1, time=81/15175
128: reward=-29.89 vs 86.73, winner=blue, r_win=0:49:1, win=0:127:1, time=138/15313
129: reward=-38.52 vs 95.79, winner=blue, r_win=0:49:1, win=0:128:1, time=80/15392
130: reward=-31.92 vs 87.81, winner=blue, r_win=0:49:1, win=0:129:1, time=137/15529
131: reward=-30.85 vs 85.13, winner=blue, r_win=0:49:1, win=0:130:1, time=179/15708
132: reward=-25.19 vs 80.96, winner=blue, r_win=0:49:1, win=0:131:1, time=206/15914
133: reward=-9.25 vs -21.25, winner=draw, r_win=0:48:2, win=0:131:2, time=193/16107
134: reward=-34.73 vs 90.83, winner=blue, r_win=0:48:2, win=0:132:2, time=107/16214
135: reward=-25.63 vs 82.09, winner=blue, r_win=0:48:2, win=0:133:2, time=187/16401
136: reward=-24.78 vs 79.94, winner=blue, r_win=0:48:2, win=0:134:2, time=224/16625
137: reward=-30.78 vs 86.94, winner=blue, r_win=0:48:2, win=0:135:2, time=142/16767
138: reward=-29.97 vs 84.69, winner=blue, r_win=0:48:2, win=0:136:2, time=194/16961
139: reward=-27.04 vs 83.61, winner=blue, r_win=0:48:2, win=0:137:2, time=171/17132
140: reward=-32.15 vs 86.38, winner=blue, r_win=0:49:1, win=0:138:2, time=166/17299
141: reward=-33.74 vs 88.09, winner=blue, r_win=0:49:1, win=0:139:2, time=163/17462
142: reward=-9.69 vs -21.69, winner=draw, r_win=0:48:2, win=0:139:3, time=158/17620
143: reward=-32.72 vs 89.54, winner=blue, r_win=0:48:2, win=0:140:3, time=126/17745
144: reward=-28.50 vs 83.25, winner=blue, r_win=0:48:2, win=0:141:3, time=193/17938
145: reward=-27.61 vs 83.02, winner=blue, r_win=0:48:2, win=0:142:3, time=188/18127
146: reward=-34.08 vs 88.94, winner=blue, r_win=0:48:2, win=0:143:3, time=150/18277
147: reward=-28.78 vs 85.94, winner=blue, r_win=0:48:2, win=0:144:3, time=142/18419
148: reward=-24.95 vs 80.38, winner=blue, r_win=0:48:2, win=0:145:3, time=216/18635
149: reward=-23.11 vs 77.78, winner=blue, r_win=0:48:2, win=0:146:3, time=253/18889
150: reward=-29.82 vs 84.56, winner=blue, r_win=0:48:2, win=0:147:3, time=180/19068
151: reward=-32.27 vs 86.66, winner=blue, r_win=0:48:2, win=0:148:3, time=162/19230
152: reward=-32.74 vs 87.59, winner=blue, r_win=0:48:2, win=0:149:3, time=163/19394
153: reward=-9.59 vs -21.59, winner=draw, r_win=0:47:3, win=0:149:4, time=165/19559
154: reward=-24.48 vs 79.19, winner=blue, r_win=0:47:3, win=0:150:4, time=237/19796
155: reward=-6.59 vs -21.59, winner=draw, r_win=0:46:4, win=0:150:5, time=250/20046
156: reward=-30.78 vs 86.94, winner=blue, r_win=0:46:4, win=0:151:5, time=142/20188
157: reward=-29.32 vs 85.30, winner=blue, r_win=0:46:4, win=0:152:5, time=160/20348
158: reward=-26.08 vs 81.21, winner=blue, r_win=0:46:4, win=0:153:5, time=210/20559
159: reward=-27.32 vs 82.29, winner=blue, r_win=0:46:4, win=0:154:5, time=201/20759
160: reward=-24.75 vs 79.88, winner=blue, r_win=0:46:4, win=0:155:5, time=225/20984
161: reward=-25.76 vs 80.14, winner=blue, r_win=0:46:4, win=0:156:5, time=247/21231
162: reward=-32.96 vs 88.16, winner=blue, r_win=0:46:4, win=0:157:5, time=154/21385
163: reward=-8.22 vs -21.72, winner=draw, r_win=0:45:5, win=0:157:6, time=195/21580
164: reward=-9.62 vs -21.62, winner=draw, r_win=0:44:6, win=0:157:7, time=163/21744
165: reward=-30.69 vs 86.73, winner=blue, r_win=0:44:6, win=0:158:7, time=146/21889
166: reward=-32.63 vs 87.58, winner=blue, r_win=0:44:6, win=0:159:7, time=148/22037
167: reward=-24.06 vs 80.14, winner=blue, r_win=0:44:6, win=0:160:7, time=212/22249
168: reward=-25.20 vs 80.75, winner=blue, r_win=0:44:6, win=0:161:7, time=227/22476
169: reward=-9.02 vs -21.02, winner=draw, r_win=0:43:7, win=0:161:8, time=213/22688
170: reward=-28.80 vs 83.99, winner=blue, r_win=0:43:7, win=0:162:8, time=181/22869
171: reward=-6.82 vs -21.82, winner=draw, r_win=0:42:8, win=0:162:9, time=229/23098
172: reward=-9.48 vs -21.48, winner=draw, r_win=0:41:9, win=0:162:10, time=174/23272
173: reward=-25.88 vs 82.70, winner=blue, r_win=0:41:9, win=0:163:10, time=177/23450
174: reward=-30.46 vs 85.90, winner=blue, r_win=0:41:9, win=0:164:10, time=174/23624
175: reward=-8.85 vs -20.85, winner=draw, r_win=0:40:10, win=0:164:11, time=227/23851
176: reward=-31.13 vs 87.58, winner=blue, r_win=0:40:10, win=0:165:11, time=148/23999
177: reward=-9.63 vs -21.63, winner=draw, r_win=0:39:11, win=0:165:12, time=162/24161
178: reward=-33.40 vs 89.49, winner=blue, r_win=0:39:11, win=0:166:12, time=119/24280
179: reward=-25.29 vs 81.23, winner=blue, r_win=0:39:11, win=0:167:12, time=202/24482
180: reward=-36.99 vs 92.22, winner=blue, r_win=0:39:11, win=0:168:12, time=116/24598
181: reward=-9.58 vs -21.58, winner=draw, r_win=0:38:12, win=0:168:13, time=166/24764
182: reward=-34.98 vs 91.44, winner=blue, r_win=0:38:12, win=0:169:13, time=98/24863
183: reward=-21.18 vs 74.95, winner=blue, r_win=0:39:11, win=0:170:13, time=298/25160
184: reward=-29.35 vs 85.37, winner=blue, r_win=0:39:11, win=0:171:13, time=159/25319
185: reward=-28.55 vs 85.37, winner=blue, r_win=0:39:11, win=0:172:13, time=151/25470
186: reward=-28.72 vs 85.80, winner=blue, r_win=0:39:11, win=0:173:13, time=144/25615
187: reward=-26.46 vs 84.16, winner=blue, r_win=0:39:11, win=0:174:13, time=154/25769
188: reward=-22.08 vs 75.20, winner=blue, r_win=0:39:11, win=0:175:13, time=303/26072
189: reward=-29.72 vs 86.30, winner=blue, r_win=0:39:11, win=0:176:13, time=144/26216
190: reward=-25.21 vs 81.03, winner=blue, r_win=0:39:11, win=0:177:13, time=205/26421
191: reward=-27.93 vs 83.83, winner=blue, r_win=0:39:11, win=0:178:13, time=175/26596
192: reward=-23.23 vs 78.08, winner=blue, r_win=0:40:10, win=0:179:13, time=248/26844
193: reward=-26.21 vs 83.52, winner=blue, r_win=0:40:10, win=0:180:13, time=164/27009
194: reward=-25.72 vs 82.29, winner=blue, r_win=0:40:10, win=0:181:13, time=184/27193
195: reward=-24.93 vs 80.32, winner=blue, r_win=0:40:10, win=0:182:13, time=217/27410
196: reward=-25.16 vs 80.90, winner=blue, r_win=0:40:10, win=0:183:13, time=207/27617
197: reward=-28.43 vs 85.08, winner=blue, r_win=0:40:10, win=0:184:13, time=155/27773
198: reward=-32.18 vs 86.45, winner=blue, r_win=0:40:10, win=0:185:13, time=165/27938
