1: reward=-36.89 vs 93.97, winner=blue, r_win=0:1:0, win=0:1:0, time=84/84
2: reward=-37.04 vs 92.10, winner=blue, r_win=0:2:0, win=0:2:0, time=132/216
3: reward=-37.35 vs 93.13, winner=blue, r_win=0:3:0, win=0:3:0, time=103/319
4: reward=-38.04 vs 94.60, winner=blue, r_win=0:4:0, win=0:4:0, time=96/415
5: reward=-35.73 vs 93.07, winner=blue, r_win=0:5:0, win=0:5:0, time=89/505
6: reward=-36.90 vs 91.99, winner=blue, r_win=0:6:0, win=0:6:0, time=119/624
7: reward=-35.99 vs 91.72, winner=blue, r_win=0:7:0, win=0:7:0, time=116/740
8: reward=-37.31 vs 92.77, winner=blue, r_win=0:8:0, win=0:8:0, time=122/862
9: reward=-32.82 vs 87.80, winner=blue, r_win=0:9:0, win=0:9:0, time=160/1022
10: reward=-35.60 vs 90.75, winner=blue, r_win=0:10:0, win=0:10:0, time=130/1152
11: reward=-38.21 vs 95.27, winner=blue, r_win=0:11:0, win=0:11:0, time=73/1225
12: reward=-37.31 vs 92.77, winner=blue, r_win=0:12:0, win=0:12:0, time=122/1348
13: reward=-37.18 vs 94.69, winner=blue, r_win=0:13:0, win=0:13:0, time=74/1422
14: reward=-37.92 vs 94.55, winner=blue, r_win=0:14:0, win=0:14:0, time=83/1505
15: reward=-34.79 vs 90.98, winner=blue, r_win=0:15:0, win=0:15:0, time=105/1610
16: reward=-36.45 vs 92.87, winner=blue, r_win=0:16:0, win=0:16:0, time=99/1709
17: reward=-37.76 vs 94.15, winner=blue, r_win=0:17:0, win=0:17:0, time=88/1798
18: reward=-36.57 vs 93.18, winner=blue, r_win=0:18:0, win=0:18:0, time=95/1893
19: reward=-37.14 vs 92.60, winner=blue, r_win=0:19:0, win=0:19:0, time=110/2003
20: reward=-35.75 vs 91.12, winner=blue, r_win=0:20:0, win=0:20:0, time=125/2128
21: reward=-37.49 vs 93.22, winner=blue, r_win=0:21:0, win=0:21:0, time=116/2244
22: reward=-36.92 vs 94.05, winner=blue, r_win=0:22:0, win=0:22:0, time=83/2326
23: reward=-38.26 vs 95.15, winner=blue, r_win=0:23:0, win=0:23:0, time=88/2415
24: reward=-37.49 vs 93.22, winner=blue, r_win=0:24:0, win=0:24:0, time=116/2531
25: reward=-36.79 vs 93.73, winner=blue, r_win=0:25:0, win=0:25:0, time=87/2618
26: reward=-38.56 vs 96.15, winner=blue, r_win=0:26:0, win=0:26:0, time=61/2679
27: reward=-36.72 vs 91.54, winner=blue, r_win=0:27:0, win=0:27:0, time=126/2805
28: reward=-36.63 vs 93.34, winner=blue, r_win=0:28:0, win=0:28:0, time=93/2898
29: reward=-35.81 vs 91.27, winner=blue, r_win=0:29:0, win=0:29:0, time=122/3020
30: reward=-37.31 vs 92.77, winner=blue, r_win=0:30:0, win=0:30:0, time=122/3143
31: reward=-38.52 vs 95.79, winner=blue, r_win=0:31:0, win=0:31:0, time=80/3222
32: reward=-38.01 vs 94.52, winner=blue, r_win=0:32:0, win=0:32:0, time=97/3320
33: reward=-36.51 vs 93.02, winner=blue, r_win=0:33:0, win=0:33:0, time=97/3417
34: reward=-36.84 vs 91.59, winner=blue, r_win=0:34:0, win=0:34:0, time=140/3557
35: reward=-38.52 vs 95.79, winner=blue, r_win=0:35:0, win=0:35:0, time=80/3637
36: reward=-36.19 vs 91.73, winner=blue, r_win=0:36:0, win=0:36:0, time=146/3782
37: reward=-35.29 vs 92.23, winner=blue, r_win=0:37:0, win=0:37:0, time=87/3869
38: reward=-38.61 vs 96.03, winner=blue, r_win=0:38:0, win=0:38:0, time=76/3946
39: reward=-38.05 vs 94.87, winner=blue, r_win=0:39:0, win=0:39:0, time=78/4024
40: reward=-38.13 vs 94.84, winner=blue, r_win=0:40:0, win=0:40:0, time=93/4117
41: reward=-37.86 vs 94.39, winner=blue, r_win=0:41:0, win=0:41:0, time=85/4202
42: reward=-37.60 vs 93.76, winner=blue, r_win=0:42:0, win=0:42:0, time=94/4296
43: reward=-37.58 vs 93.44, winner=blue, r_win=0:43:0, win=0:43:0, time=113/4409
44: reward=-35.04 vs 89.60, winner=blue, r_win=0:44:0, win=0:44:0, time=132/4541
45: reward=-37.13 vs 92.32, winner=blue, r_win=0:45:0, win=0:45:0, time=129/4670
46: reward=-36.42 vs 93.05, winner=blue, r_win=0:46:0, win=0:46:0, time=83/4753
47: reward=-36.79 vs 93.73, winner=blue, r_win=0:47:0, win=0:47:0, time=87/4840
48: reward=-36.89 vs 91.73, winner=blue, r_win=0:48:0, win=0:48:0, time=138/4978
49: reward=-38.20 vs 94.99, winner=blue, r_win=0:49:0, win=0:49:0, time=91/5069
50: reward=-38.31 vs 95.52, winner=blue, r_win=0:50:0, win=0:50:0, time=70/5139
51: reward=-33.58 vs 89.94, winner=blue, r_win=0:50:0, win=0:51:0, time=113/5251
52: reward=-30.32 vs 85.80, winner=blue, r_win=0:50:0, win=0:52:0, time=160/5411
53: reward=-38.13 vs 94.84, winner=blue, r_win=0:50:0, win=0:53:0, time=93/5504
54: reward=-38.24 vs 95.35, winner=blue, r_win=0:50:0, win=0:54:0, time=72/5576
55: reward=-33.82 vs 90.56, winner=blue, r_win=0:50:0, win=0:55:0, time=104/5680
56: reward=-35.42 vs 92.29, winner=blue, r_win=0:50:0, win=0:56:0, time=100/5780
57: reward=-36.60 vs 93.26, winner=blue, r_win=0:50:0, win=0:57:0, time=94/5874
58: reward=-38.17 vs 94.91, winner=blue, r_win=0:50:0, win=0:58:0, time=92/5966
59: reward=-38.45 vs 95.63, winner=blue, r_win=0:50:0, win=0:59:0, time=82/6047
60: reward=-31.25 vs 87.87, winner=blue, r_win=0:50:0, win=0:60:0, time=143/6191
61: reward=-35.45 vs 92.37, winner=blue, r_win=0:50:0, win=0:61:0, time=99/6290
62: reward=-33.19 vs 88.97, winner=blue, r_win=0:50:0, win=0:62:0, time=127/6417
63: reward=-37.89 vs 94.47, winner=blue, r_win=0:50:0, win=0:63:0, time=84/6501
64: reward=-30.37 vs 87.92, winner=blue, r_win=0:50:0, win=0:64:0, time=120/6621
65: reward=-32.51 vs 89.03, winner=blue, r_win=0:50:0, win=0:65:0, time=133/6755
66: reward=-29.11 vs 84.52, winner=blue, r_win=0:50:0, win=0:66:0, time=188/6943
67: reward=-33.14 vs 90.60, winner=blue, r_win=0:50:0, win=0:67:0, time=110/7054
68: reward=-36.70 vs 93.49, winner=blue, r_win=0:50:0, win=0:68:0, time=91/7144
69: reward=-37.55 vs 93.37, winner=blue, r_win=0:50:0, win=0:69:0, time=114/7258
70: reward=-33.31 vs 89.27, winner=blue, r_win=0:50:0, win=0:70:0, time=122/7381
71: reward=-32.57 vs 89.17, winner=blue, r_win=0:50:0, win=0:71:0, time=131/7512
72: reward=-35.57 vs 90.67, winner=blue, r_win=0:50:0, win=0:72:0, time=131/7643
