67: reward=-34.50 vs 91.65, winner=blue, r_win=1:43:6, win=2:58:7, time=169/16303
68: reward=-32.22 vs 90.76, winner=blue, r_win=1:43:6, win=2:59:7, time=180/16482
69: reward=-31.87 vs 89.89, winner=blue, r_win=1:43:6, win=2:60:7, time=194/16676
70: reward=-34.44 vs 91.51, winner=blue, r_win=1:43:6, win=2:61:7, time=171/16847
71: reward=-32.36 vs 91.10, winner=blue, r_win=1:43:6, win=2:62:7, time=174/17021
72: reward=-30.33 vs 89.02, winner=blue, r_win=1:43:6, win=2:63:7, time=281/17302
73: reward=-32.67 vs 91.86, winner=blue, r_win=1:43:6, win=2:64:7, time=162/17464
74: reward=-34.98 vs 92.84, winner=blue, r_win=1:43:6, win=2:65:7, time=150/17614
75: reward=79.25 vs -19.88, winner=red, r_win=2:42:6, win=3:65:7, time=318/17932
76: reward=77.47 vs -16.29, winner=red, r_win=3:42:5, win=4:65:7, time=349/18280
77: reward=-34.12 vs 90.69, winner=blue, r_win=3:42:5, win=4:66:7, time=184/18464
78: reward=-33.66 vs 89.56, winner=blue, r_win=3:42:5, win=4:67:7, time=203/18667
79: reward=-29.93 vs 85.63, winner=blue, r_win=3:43:4, win=4:68:7, time=352/19019
80: reward=-30.74 vs 92.14, winner=blue, r_win=3:43:4, win=4:69:7, time=341/19359
81: reward=-32.93 vs 90.12, winner=blue, r_win=3:44:3, win=4:70:7, time=192/19551
82: reward=-34.89 vs 92.63, winner=blue, r_win=3:44:3, win=4:71:7, time=153/19704
83: reward=-32.95 vs 92.57, winner=blue, r_win=3:45:2, win=4:72:7, time=151/19856
84: reward=-31.90 vs 89.95, winner=blue, r_win=3:45:2, win=4:73:7, time=193/20048
85: reward=-32.42 vs 91.24, winner=blue, r_win=3:45:2, win=4:74:7, time=172/20220
86: reward=-34.22 vs 90.96, winner=blue, r_win=3:45:2, win=4:75:7, time=180/20400
87: reward=-35.41 vs 93.93, winner=blue, r_win=3:45:2, win=4:76:7, time=133/20534
88: reward=-34.03 vs 90.49, winner=blue, r_win=3:45:2, win=4:77:7, time=187/20721
89: reward=-9.40 vs -9.40, winner=draw, r_win=3:44:3, win=4:77:8, time=723/21444
90: reward=-29.93 vs 92.52, winner=blue, r_win=3:44:3, win=4:78:8, time=331/21774
91: reward=-33.81 vs 92.31, winner=blue, r_win=3:44:3, win=4:79:8, time=157/21931
92: reward=-33.83 vs 92.38, winner=blue, r_win=3:44:3, win=4:80:8, time=155/22086
93: reward=-32.98 vs 92.64, winner=blue, r_win=3:45:2, win=4:81:8, time=150/22236
94: reward=-29.95 vs 82.67, winner=blue, r_win=2:46:2, win=4:82:8, time=330/22566
95: reward=-31.95 vs 90.09, winner=blue, r_win=2:46:2, win=4:83:8, time=191/22757
96: reward=-34.09 vs 90.62, winner=blue, r_win=2:46:2, win=4:84:8, time=185/22942
97: reward=-11.72 vs -11.72, winner=draw, r_win=2:45:3, win=4:84:9, time=379/23320
98: reward=-33.72 vs 92.10, winner=blue, r_win=2:45:3, win=4:85:9, time=160/23480
99: reward=-32.82 vs 90.45, winner=blue, r_win=2:45:3, win=4:86:9, time=258/23738
100: reward=-30.78 vs 90.14, winner=blue, r_win=2:45:3, win=4:87:9, time=260/23998
101: reward=-31.80 vs 89.69, winner=blue, r_win=2:45:3, win=4:88:9, time=197/24195
102: reward=-31.82 vs 92.60, winner=blue, r_win=2:45:3, win=4:89:9, time=272/24466
103: reward=-30.79 vs 89.42, winner=blue, r_win=2:45:3, win=4:90:9, time=254/24721
