59: reward=0.00 vs 71.46, recent_win=4 vs 46, winner=blue, win=5 vs 54, draw=0, time=508/25755
60: reward=0.00 vs 72.15, recent_win=4 vs 46, winner=blue, win=5 vs 55, draw=0, time=489/26244
61: reward=73.40 vs 0.00, recent_win=5 vs 45, winner=red, win=6 vs 55, draw=0, time=456/26700
62: reward=0.00 vs 77.69, recent_win=5 vs 45, winner=blue, win=6 vs 56, draw=0, time=355/27054
63: reward=0.00 vs 72.29, recent_win=5 vs 45, winner=blue, win=6 vs 57, draw=0, time=485/27539
64: reward=0.00 vs 68.72, recent_win=5 vs 45, winner=blue, win=6 vs 58, draw=0, time=590/28128
65: reward=0.00 vs 77.28, recent_win=5 vs 45, winner=blue, win=6 vs 59, draw=0, time=364/28492
66: reward=0.00 vs 58.95, recent_win=5 vs 45, winner=blue, win=6 vs 60, draw=0, time=1032/29524
67: reward=80.09 vs 0.00, recent_win=6 vs 44, winner=red, win=7 vs 60, draw=0, time=305/29829
68: reward=0.00 vs 0.00, recent_win=6 vs 43, winner=draw, win=7 vs 60, draw=1, time=299/30128
69: reward=0.00 vs 79.60, recent_win=6 vs 43, winner=blue, win=7 vs 61, draw=1, time=315/30442
70: reward=0.00 vs 79.35, recent_win=6 vs 43, winner=blue, win=7 vs 62, draw=1, time=320/30762
71: reward=0.00 vs 83.44, recent_win=5 vs 44, winner=blue, win=7 vs 63, draw=1, time=241/31003
72: reward=0.00 vs 0.00, recent_win=4 vs 44, winner=draw, win=7 vs 63, draw=2, time=384/31387
73: reward=0.00 vs 79.11, recent_win=4 vs 44, winner=blue, win=7 vs 64, draw=2, time=325/31711
74: reward=0.00 vs 73.71, recent_win=4 vs 44, winner=blue, win=7 vs 65, draw=2, time=448/32159
75: reward=0.00 vs 71.56, recent_win=4 vs 44, winner=blue, win=7 vs 66, draw=2, time=505/32663
76: reward=0.00 vs 72.29, recent_win=4 vs 44, winner=blue, win=7 vs 67, draw=2, time=485/33148
77: reward=0.00 vs 60.65, recent_win=4 vs 44, winner=blue, win=7 vs 68, draw=2, time=928/34076
78: reward=0.00 vs 77.69, recent_win=4 vs 44, winner=blue, win=7 vs 69, draw=2, time=355/34430
79: reward=0.00 vs 71.93, recent_win=4 vs 44, winner=blue, win=7 vs 70, draw=2, time=495/34925
80: reward=0.00 vs 63.32, recent_win=4 vs 44, winner=blue, win=7 vs 71, draw=2, time=794/35718
81: reward=0.00 vs 79.99, recent_win=4 vs 44, winner=blue, win=7 vs 72, draw=2, time=307/36025
82: reward=0.00 vs 73.63, recent_win=4 vs 44, winner=blue, win=7 vs 73, draw=2, time=450/36475
83: reward=0.00 vs 75.05, recent_win=4 vs 44, winner=blue, win=7 vs 74, draw=2, time=415/36889
84: reward=0.00 vs 68.19, recent_win=4 vs 44, winner=blue, win=7 vs 75, draw=2, time=607/37496
85: reward=0.00 vs 73.95, recent_win=4 vs 44, winner=blue, win=7 vs 76, draw=2, time=442/37937
86: reward=0.00 vs 77.37, recent_win=4 vs 44, winner=blue, win=7 vs 77, draw=2, time=362/38299
87: reward=0.00 vs 73.05, recent_win=4 vs 44, winner=blue, win=7 vs 78, draw=2, time=465/38764
88: reward=0.00 vs 82.28, recent_win=4 vs 44, winner=blue, win=7 vs 79, draw=2, time=263/39026
89: reward=0.00 vs 79.16, recent_win=4 vs 44, winner=blue, win=7 vs 80, draw=2, time=324/39350
90: reward=0.00 vs 73.83, recent_win=3 vs 45, winner=blue, win=7 vs 81, draw=2, time=445/39794
91: reward=0.00 vs 60.71, recent_win=3 vs 45, winner=blue, win=7 vs 82, draw=2, time=925/40719
92: reward=0.00 vs 68.10, recent_win=3 vs 45, winner=blue, win=7 vs 83, draw=2, time=610/41329
93: reward=0.00 vs 82.55, recent_win=3 vs 45, winner=blue, win=7 vs 84, draw=2, time=258/41586
