59: reward=1.00 vs 0.00, win=1 vs 33, recent_win=1 vs 29, draw=25, winner=draw, time=107/7571
60: reward=1.00 vs 0.00, win=1 vs 34, recent_win=1 vs 29, draw=25, winner=blue, time=110/7681
61: reward=1.00 vs 0.00, win=1 vs 34, recent_win=1 vs 28, draw=26, winner=draw, time=72/7753
62: reward=1.00 vs 0.00, win=1 vs 35, recent_win=1 vs 28, draw=26, winner=blue, time=114/7867
63: reward=1.00 vs 0.00, win=1 vs 35, recent_win=1 vs 27, draw=27, winner=draw, time=141/8008
64: reward=1.00 vs 0.00, win=1 vs 36, recent_win=1 vs 27, draw=27, winner=blue, time=128/8136
65: reward=1.00 vs 0.00, win=1 vs 36, recent_win=1 vs 27, draw=28, winner=draw, time=77/8213
66: reward=1.00 vs 0.00, win=1 vs 36, recent_win=1 vs 26, draw=29, winner=draw, time=139/8352
67: reward=2.00 vs 0.00, win=1 vs 37, recent_win=1 vs 26, draw=29, winner=blue, time=132/8485
68: reward=2.00 vs 0.00, win=1 vs 37, recent_win=1 vs 25, draw=30, winner=draw, time=88/8573
69: reward=2.00 vs 0.00, win=1 vs 37, recent_win=1 vs 24, draw=31, winner=draw, time=143/8716
70: reward=2.00 vs 0.00, win=1 vs 38, recent_win=0 vs 25, draw=31, winner=blue, time=94/8810
71: reward=2.00 vs 0.00, win=1 vs 38, recent_win=0 vs 25, draw=32, winner=draw, time=78/8889
72: reward=1.00 vs 0.00, win=1 vs 39, recent_win=0 vs 25, draw=32, winner=blue, time=141/9030
73: reward=1.00 vs 0.00, win=1 vs 39, recent_win=0 vs 24, draw=33, winner=draw, time=98/9128
74: reward=1.00 vs 0.00, win=1 vs 39, recent_win=0 vs 23, draw=34, winner=draw, time=108/9237
75: reward=2.00 vs 0.00, win=1 vs 39, recent_win=0 vs 22, draw=35, winner=draw, time=152/9389
76: reward=1.00 vs 0.00, win=1 vs 40, recent_win=0 vs 22, draw=35, winner=blue, time=155/9544
77: reward=6.00 vs 0.00, win=1 vs 41, recent_win=0 vs 23, draw=35, winner=blue, time=180/9724
78: reward=2.00 vs 0.00, win=1 vs 41, recent_win=0 vs 23, draw=36, winner=draw, time=160/9884
79: reward=3.00 vs 0.00, win=1 vs 42, recent_win=0 vs 24, draw=36, winner=blue, time=131/10015
80: reward=5.00 vs 0.00, win=1 vs 43, recent_win=0 vs 25, draw=36, winner=blue, time=162/10177
81: reward=3.00 vs 0.00, win=1 vs 44, recent_win=0 vs 25, draw=36, winner=blue, time=128/10305
82: reward=1.00 vs 0.00, win=1 vs 44, recent_win=0 vs 25, draw=37, winner=draw, time=142/10448
83: reward=1.00 vs 0.00, win=1 vs 45, recent_win=0 vs 26, draw=37, winner=blue, time=126/10573
84: reward=1.00 vs 0.00, win=1 vs 46, recent_win=0 vs 27, draw=37, winner=blue, time=107/10680
85: reward=1.00 vs 0.00, win=1 vs 46, recent_win=0 vs 27, draw=38, winner=draw, time=86/10767
86: reward=1.00 vs 0.00, win=1 vs 47, recent_win=0 vs 28, draw=38, winner=blue, time=116/10883
