1: reward=94.64 vs 1.70, reward_evade=3.00 vs 2.00, win=1 vs 0, recent_win=1 vs 0, draw=0, winner=red, time=121/121
2: reward=94.87 vs 1.80, reward_evade=3.00 vs 2.00, win=2 vs 0, recent_win=2 vs 0, draw=0, winner=red, time=118/239
3: reward=93.57 vs 2.70, reward_evade=4.00 vs 3.00, win=3 vs 0, recent_win=3 vs 0, draw=0, winner=red, time=151/391
4: reward=3.90 vs 92.33, reward_evade=4.00 vs 2.00, win=3 vs 1, recent_win=3 vs 1, draw=0, winner=blue, time=138/528
5: reward=1.80 vs 94.94, reward_evade=2.00 vs 3.00, win=3 vs 2, recent_win=3 vs 2, draw=0, winner=blue, time=117/645
6: reward=1.80 vs 95.19, reward_evade=2.00 vs 4.00, win=3 vs 3, recent_win=3 vs 3, draw=0, winner=blue, time=128/773
7: reward=4.70 vs 89.00, reward_evade=5.00 vs 4.00, win=3 vs 4, recent_win=3 vs 4, draw=0, winner=blue, time=223/996
8: reward=97.83 vs 89.00, reward_evade=1.00 vs 4.00, win=4 vs 4, recent_win=4 vs 4, draw=0, winner=red, time=52/1048
9: reward=3.90 vs 92.07, reward_evade=4.00 vs 1.00, win=4 vs 5, recent_win=4 vs 5, draw=0, winner=blue, time=127/1175
10: reward=96.13 vs 0.90, reward_evade=2.00 vs 1.00, win=5 vs 5, recent_win=5 vs 5, draw=0, winner=red, time=87/1262
11: reward=3.80 vs 2.50, reward_evade=4.00 vs 2.00, win=5 vs 5, recent_win=5 vs 5, draw=1, winner=draw, time=147/1409
12: reward=1.80 vs 94.79, reward_evade=2.00 vs 3.00, win=5 vs 6, recent_win=5 vs 6, draw=1, winner=blue, time=119/1528
13: reward=91.22 vs 2.70, reward_evade=4.00 vs 3.00, win=6 vs 6, recent_win=6 vs 6, draw=1, winner=red, time=188/1717
14: reward=3.80 vs 92.47, reward_evade=4.00 vs 3.00, win=6 vs 7, recent_win=6 vs 7, draw=1, winner=blue, time=151/1868
15: reward=91.83 vs 3.90, reward_evade=2.00 vs 4.00, win=7 vs 7, recent_win=7 vs 7, draw=1, winner=red, time=146/2014
16: reward=1.80 vs 91.66, reward_evade=2.00 vs 4.00, win=7 vs 8, recent_win=7 vs 8, draw=1, winner=blue, time=183/2197
17: reward=3.80 vs 91.38, reward_evade=4.00 vs 3.00, win=7 vs 9, recent_win=7 vs 9, draw=1, winner=blue, time=166/2363
18: reward=91.97 vs 3.80, reward_evade=3.00 vs 4.00, win=8 vs 9, recent_win=8 vs 9, draw=1, winner=red, time=159/2522
19: reward=4.70 vs 91.97, reward_evade=5.00 vs 4.00, win=8 vs 10, recent_win=8 vs 10, draw=1, winner=blue, time=173/2695
20: reward=4.70 vs 94.29, reward_evade=5.00 vs 2.00, win=8 vs 11, recent_win=8 vs 11, draw=1, winner=blue, time=115/2810
21: reward=95.80 vs 0.90, reward_evade=3.00 vs 1.00, win=9 vs 11, recent_win=9 vs 11, draw=1, winner=red, time=106/2916
22: reward=0.90 vs 94.89, reward_evade=1.00 vs 3.00, win=9 vs 12, recent_win=9 vs 12, draw=1, winner=blue, time=119/3035
23: reward=3.90 vs 89.46, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=9 vs 13, draw=1, winner=blue, time=183/3218
24: reward=4.80 vs 91.65, reward_evade=5.00 vs 2.00, win=9 vs 14, recent_win=9 vs 14, draw=1, winner=blue, time=147/3365
25: reward=0.90 vs 95.88, reward_evade=1.00 vs 3.00, win=9 vs 15, recent_win=9 vs 15, draw=1, winner=blue, time=105/3470
26: reward=91.69 vs 3.80, reward_evade=3.00 vs 4.00, win=10 vs 15, recent_win=10 vs 15, draw=1, winner=red, time=163/3633
27: reward=3.90 vs 93.04, reward_evade=4.00 vs 1.00, win=10 vs 16, recent_win=10 vs 16, draw=1, winner=blue, time=113/3745
28: reward=3.90 vs 90.25, reward_evade=4.00 vs 2.00, win=10 vs 17, recent_win=10 vs 17, draw=1, winner=blue, time=169/3914
29: reward=3.90 vs 93.19, reward_evade=4.00 vs 1.00, win=10 vs 18, recent_win=10 vs 18, draw=1, winner=blue, time=115/4029
30: reward=90.68 vs 3.60, reward_evade=5.00 vs 4.00, win=11 vs 18, recent_win=11 vs 18, draw=1, winner=red, time=213/4242
31: reward=90.68 vs 91.23, reward_evade=5.00 vs 1.00, win=11 vs 19, recent_win=11 vs 19, draw=1, winner=blue, time=146/4387
32: reward=3.90 vs 1.50, reward_evade=4.00 vs 1.00, win=11 vs 19, recent_win=11 vs 19, draw=2, winner=draw, time=152/4539
33: reward=92.19 vs 3.90, reward_evade=2.00 vs 4.00, win=12 vs 19, recent_win=12 vs 19, draw=2, winner=red, time=140/4679
34: reward=96.05 vs 0.90, reward_evade=2.00 vs 1.00, win=13 vs 19, recent_win=13 vs 19, draw=2, winner=red, time=88/4768
35: reward=3.90 vs 90.00, reward_evade=4.00 vs 2.00, win=13 vs 20, recent_win=13 vs 20, draw=2, winner=blue, time=174/4942
36: reward=91.65 vs 4.80, reward_evade=2.00 vs 5.00, win=14 vs 20, recent_win=14 vs 20, draw=2, winner=red, time=147/5089
37: reward=2.80 vs 1.80, reward_evade=2.00 vs 2.00, win=14 vs 20, recent_win=14 vs 20, draw=3, winner=draw, time=117/5206
38: reward=92.26 vs 3.90, reward_evade=2.00 vs 4.00, win=15 vs 20, recent_win=15 vs 20, draw=3, winner=red, time=139/5345
39: reward=94.21 vs 2.70, reward_evade=5.00 vs 3.00, win=16 vs 20, recent_win=16 vs 20, draw=3, winner=red, time=157/5501
40: reward=3.90 vs 92.82, reward_evade=4.00 vs 1.00, win=16 vs 21, recent_win=16 vs 21, draw=3, winner=blue, time=116/5617
41: reward=3.90 vs 90.44, reward_evade=4.00 vs 1.00, win=16 vs 22, recent_win=16 vs 22, draw=3, winner=blue, time=150/5767
42: reward=3.90 vs 89.41, reward_evade=4.00 vs 1.00, win=16 vs 23, recent_win=16 vs 23, draw=3, winner=blue, time=168/5935
43: reward=93.57 vs 89.41, reward_evade=1.00 vs 1.00, win=17 vs 23, recent_win=17 vs 23, draw=3, winner=red, time=109/6044
44: reward=90.69 vs 3.90, reward_evade=2.00 vs 4.00, win=18 vs 23, recent_win=18 vs 23, draw=3, winner=red, time=163/6207
45: reward=94.60 vs 3.90, reward_evade=1.00 vs 4.00, win=19 vs 23, recent_win=19 vs 23, draw=3, winner=red, time=96/6303
46: reward=3.90 vs 1.60, reward_evade=4.00 vs 1.00, win=19 vs 23, recent_win=19 vs 23, draw=4, winner=draw, time=159/6462
47: reward=3.90 vs 1.00, reward_evade=4.00 vs 1.00, win=19 vs 23, recent_win=19 vs 23, draw=5, winner=draw, time=116/6578
48: reward=3.90 vs 97.43, reward_evade=4.00 vs 2.00, win=19 vs 24, recent_win=19 vs 24, draw=5, winner=blue, time=71/6649
49: reward=92.70 vs 0.90, reward_evade=3.00 vs 1.00, win=20 vs 24, recent_win=20 vs 24, draw=5, winner=red, time=152/6801
50: reward=90.12 vs 3.80, reward_evade=3.00 vs 4.00, win=21 vs 24, recent_win=21 vs 24, draw=5, winner=red, time=188/6990
51: reward=90.12 vs 94.68, reward_evade=3.00 vs 1.00, win=21 vs 25, recent_win=20 vs 25, draw=5, winner=blue, time=95/7085
52: reward=95.05 vs 1.80, reward_evade=4.00 vs 2.00, win=22 vs 25, recent_win=20 vs 25, draw=5, winner=red, time=130/7215
53: reward=96.27 vs 1.80, reward_evade=1.00 vs 2.00, win=23 vs 25, recent_win=20 vs 25, draw=5, winner=red, time=73/7288
54: reward=93.52 vs 0.90, reward_evade=2.00 vs 1.00, win=24 vs 25, recent_win=21 vs 24, draw=5, winner=red, time=125/7413
55: reward=3.90 vs 92.63, reward_evade=4.00 vs 2.00, win=24 vs 26, recent_win=21 vs 24, draw=5, winner=blue, time=133/7546
56: reward=92.33 vs 3.80, reward_evade=3.00 vs 4.00, win=25 vs 26, recent_win=22 vs 23, draw=5, winner=red, time=153/7699
57: reward=1.80 vs 91.93, reward_evade=2.00 vs 4.00, win=25 vs 27, recent_win=22 vs 23, draw=5, winner=blue, time=179/7878
58: reward=92.70 vs 3.90, reward_evade=2.00 vs 4.00, win=26 vs 27, recent_win=22 vs 23, draw=5, winner=red, time=132/8010
59: reward=90.36 vs 4.70, reward_evade=3.00 vs 5.00, win=27 vs 27, recent_win=23 vs 22, draw=5, winner=red, time=183/8193
60: reward=89.39 vs 3.90, reward_evade=2.00 vs 4.00, win=28 vs 27, recent_win=23 vs 22, draw=5, winner=red, time=184/8377
61: reward=0.90 vs 96.13, reward_evade=1.00 vs 2.00, win=28 vs 28, recent_win=23 vs 23, draw=5, winner=blue, time=87/8465
62: reward=3.80 vs 91.52, reward_evade=4.00 vs 3.00, win=28 vs 29, recent_win=23 vs 23, draw=5, winner=blue, time=164/8629
63: reward=93.74 vs 0.90, reward_evade=2.00 vs 1.00, win=29 vs 29, recent_win=23 vs 23, draw=5, winner=red, time=121/8750
64: reward=93.74 vs 97.30, reward_evade=2.00 vs 1.00, win=29 vs 30, recent_win=23 vs 23, draw=5, winner=blue, time=59/8810
65: reward=94.13 vs 97.30, reward_evade=1.00 vs 1.00, win=30 vs 30, recent_win=23 vs 23, draw=5, winner=red, time=103/8912
66: reward=94.97 vs 1.80, reward_evade=4.00 vs 2.00, win=31 vs 30, recent_win=24 vs 22, draw=5, winner=red, time=131/9044
67: reward=89.55 vs 3.90, reward_evade=1.00 vs 4.00, win=32 vs 30, recent_win=25 vs 21, draw=5, winner=red, time=165/9209
68: reward=3.50 vs 3.70, reward_evade=3.00 vs 4.00, win=32 vs 30, recent_win=24 vs 21, draw=6, winner=draw, time=208/9417
69: reward=0.90 vs 94.88, reward_evade=1.00 vs 2.00, win=32 vs 31, recent_win=24 vs 21, draw=6, winner=blue, time=105/9522
70: reward=91.76 vs 3.80, reward_evade=3.00 vs 4.00, win=33 vs 31, recent_win=25 vs 20, draw=6, winner=red, time=162/9684
71: reward=96.21 vs 0.90, reward_evade=2.00 vs 1.00, win=34 vs 31, recent_win=25 vs 20, draw=6, winner=red, time=86/9771
72: reward=1.80 vs 95.17, reward_evade=2.00 vs 3.00, win=34 vs 32, recent_win=25 vs 20, draw=6, winner=blue, time=114/9884
73: reward=96.84 vs 95.17, reward_evade=1.00 vs 3.00, win=35 vs 32, recent_win=26 vs 19, draw=6, winner=red, time=65/9950
74: reward=96.84 vs 91.15, reward_evade=1.00 vs 1.00, win=35 vs 33, recent_win=26 vs 19, draw=6, winner=blue, time=147/10096
75: reward=96.84 vs 94.13, reward_evade=1.00 vs 1.00, win=35 vs 34, recent_win=26 vs 19, draw=6, winner=blue, time=103/10199
76: reward=92.77 vs 3.90, reward_evade=2.00 vs 4.00, win=36 vs 34, recent_win=26 vs 19, draw=6, winner=red, time=131/10330
77: reward=3.70 vs 2.70, reward_evade=3.00 vs 3.00, win=36 vs 34, recent_win=26 vs 18, draw=7, winner=draw, time=142/10473
78: reward=93.58 vs 2.70, reward_evade=5.00 vs 3.00, win=37 vs 34, recent_win=27 vs 17, draw=7, winner=red, time=166/10639
