70: reward=0.00 vs 0.00, winner=draw, r_win=25:3:22, win=33:3:34, time=51/6030
71: reward=94.02 vs 0.00, winner=red, r_win=25:3:22, win=34:3:34, time=97/6127
72: reward=0.00 vs 0.00, winner=draw, r_win=24:3:23, win=34:3:35, time=95/6222
73: reward=0.00 vs 0.00, winner=draw, r_win=23:3:24, win=34:3:36, time=60/6283
74: reward=95.77 vs 0.00, winner=red, r_win=24:3:23, win=35:3:36, time=73/6356
75: reward=0.00 vs 0.00, winner=draw, r_win=24:3:23, win=35:3:37, time=72/6427
76: reward=95.27 vs 0.00, winner=red, r_win=24:3:23, win=36:3:37, time=73/6500
77: reward=0.00 vs 0.00, winner=draw, r_win=23:3:24, win=36:3:38, time=58/6559
78: reward=92.67 vs 0.00, winner=red, r_win=24:3:23, win=37:3:38, time=109/6668
79: reward=93.84 vs 0.00, winner=red, r_win=24:3:23, win=38:3:38, time=93/6761
80: reward=0.00 vs 0.00, winner=draw, r_win=24:3:23, win=38:3:39, time=71/6832
81: reward=93.13 vs 0.00, winner=red, r_win=24:3:23, win=39:3:39, time=103/6934
82: reward=95.69 vs 0.00, winner=red, r_win=25:3:22, win=40:3:39, time=74/7008
83: reward=0.00 vs 0.00, winner=draw, r_win=24:3:23, win=40:3:40, time=70/7078
84: reward=93.79 vs 0.00, winner=red, r_win=25:2:23, win=41:3:40, time=100/7179
85: reward=94.95 vs 0.00, winner=red, r_win=25:2:23, win=42:3:40, time=77/7256
86: reward=0.00 vs 0.00, winner=draw, r_win=24:2:24, win=42:3:41, time=94/7350
87: reward=96.76 vs 0.00, winner=red, r_win=25:2:23, win=43:3:41, time=53/7403
88: reward=0.00 vs 0.00, winner=draw, r_win=24:2:24, win=43:3:42, time=47/7450
89: reward=0.00 vs 0.00, winner=draw, r_win=23:2:25, win=43:3:43, time=59/7509
90: reward=1.50 vs 0.15, winner=draw, r_win=22:2:26, win=43:3:44, time=97/7607
91: reward=0.00 vs 0.00, winner=draw, r_win=22:2:26, win=43:3:45, time=92/7698
92: reward=0.00 vs 0.00, winner=draw, r_win=21:2:27, win=43:3:46, time=54/7753
93: reward=0.00 vs 0.00, winner=draw, r_win=20:2:28, win=43:3:47, time=61/7814
94: reward=95.77 vs 0.00, winner=red, r_win=20:2:28, win=44:3:47, time=73/7887
95: reward=95.53 vs 0.00, winner=red, r_win=21:2:27, win=45:3:47, time=76/7963
96: reward=94.81 vs 0.10, winner=red, r_win=22:2:26, win=46:3:47, time=86/8049
97: reward=0.00 vs 0.00, winner=draw, r_win=22:2:26, win=46:3:48, time=84/8133
98: reward=0.00 vs 0.00, winner=draw, r_win=21:2:27, win=46:3:49, time=59/8192
99: reward=0.00 vs 0.00, winner=draw, r_win=21:2:27, win=46:3:50, time=51/8244
100: reward=95.84 vs 0.00, winner=red, r_win=21:2:27, win=47:3:50, time=65/8309
101: reward=96.45 vs 0.00, winner=red, r_win=22:1:27, win=48:3:50, time=57/8366
102: reward=95.93 vs 0.00, winner=red, r_win=22:1:27, win=49:3:50, time=71/8437
103: reward=0.00 vs 0.00, winner=draw, r_win=22:1:27, win=49:3:51, time=97/8534
104: reward=92.27 vs 0.10, winner=red, r_win=23:1:26, win=50:3:51, time=122/8657
105: reward=92.04 vs 0.00, winner=red, r_win=24:0:26, win=51:3:51, time=126/8782
106: reward=96.18 vs 0.00, winner=red, r_win=25:0:25, win=52:3:51, time=68/8850
107: reward=0.00 vs 0.00, winner=draw, r_win=25:0:25, win=52:3:52, time=88/8938
108: reward=0.00 vs 0.00, winner=draw, r_win=24:0:26, win=52:3:53, time=70/9008
109: reward=0.00 vs 0.00, winner=draw, r_win=23:0:27, win=52:3:54, time=68/9076
110: reward=0.00 vs 0.00, winner=draw, r_win=23:0:27, win=52:3:55, time=49/9125
111: reward=0.00 vs 0.00, winner=draw, r_win=22:0:28, win=52:3:56, time=89/9214
112: reward=0.00 vs 0.00, winner=draw, r_win=22:0:28, win=52:3:57, time=55/9269
113: reward=2.08 vs 91.83, winner=blue, r_win=22:1:27, win=52:4:57, time=125/9394
114: reward=93.21 vs 0.00, winner=red, r_win=23:1:26, win=53:4:57, time=102/9496
115: reward=0.00 vs 0.00, winner=draw, r_win=22:1:27, win=53:4:58, time=71/9567
116: reward=96.00 vs 0.00, winner=red, r_win=22:1:27, win=54:4:58, time=63/9630
117: reward=0.00 vs 0.00, winner=draw, r_win=22:1:27, win=54:4:59, time=100/9730
118: reward=93.29 vs 0.00, winner=red, r_win=23:1:26, win=55:4:59, time=100/9831
119: reward=95.69 vs 0.00, winner=red, r_win=23:1:26, win=56:4:59, time=74/9905
120: reward=92.27 vs 0.00, winner=red, r_win=24:1:25, win=57:4:59, time=122/10027
121: reward=1.00 vs 0.10, winner=draw, r_win=23:1:26, win=57:4:60, time=74/10101
122: reward=0.00 vs 0.00, winner=draw, r_win=23:1:26, win=57:4:61, time=97/10199
123: reward=0.00 vs 0.00, winner=draw, r_win=23:1:26, win=57:4:62, time=66/10265
124: reward=0.00 vs 0.00, winner=draw, r_win=22:1:27, win=57:4:63, time=108/10373
125: reward=93.06 vs 0.00, winner=red, r_win=23:1:26, win=58:4:63, time=104/10477
126: reward=93.37 vs 0.00, winner=red, r_win=23:1:26, win=59:4:63, time=99/10576
127: reward=0.00 vs 0.00, winner=draw, r_win=23:1:26, win=59:4:64, time=102/10678
128: reward=0.00 vs 0.00, winner=draw, r_win=22:1:27, win=59:4:65, time=53/10731
129: reward=2.08 vs 91.75, winner=blue, r_win=21:2:27, win=59:5:65, time=126/10857
130: reward=95.53 vs 0.00, winner=red, r_win=22:2:26, win=60:5:65, time=76/10933
131: reward=0.00 vs 0.00, winner=draw, r_win=21:2:27, win=60:5:66, time=60/10994
