68: reward=-39.62 vs 96.06, winner=blue, r_win=9:38:3, win=11:49:8, time=380/19743
69: reward=-37.80 vs 93.00, winner=blue, r_win=9:38:3, win=11:50:8, time=317/20060
70: reward=-32.84 vs 88.84, winner=blue, r_win=9:38:3, win=11:51:8, time=341/20400
71: reward=-38.63 vs 95.84, winner=blue, r_win=8:39:3, win=11:52:8, time=93/20493
72: reward=-35.95 vs 90.62, winner=blue, r_win=7:40:3, win=11:53:8, time=195/20688
73: reward=-36.87 vs 93.42, winner=blue, r_win=6:41:3, win=11:54:8, time=120/20809
74: reward=-19.84 vs -6.34, winner=draw, r_win=5:41:4, win=11:54:9, time=274/21082
75: reward=-37.85 vs 93.62, winner=blue, r_win=5:41:4, win=11:55:9, time=266/21348
76: reward=-32.07 vs 86.93, winner=blue, r_win=5:41:4, win=11:56:9, time=383/21730
77: reward=-36.16 vs 91.90, winner=blue, r_win=5:41:4, win=11:57:9, time=251/21982
78: reward=-30.59 vs 87.46, winner=blue, r_win=5:41:4, win=11:58:9, time=328/22309
79: reward=82.77 vs -27.61, winner=red, r_win=6:40:4, win=12:58:9, time=209/22519
80: reward=-37.75 vs 93.37, winner=blue, r_win=6:40:4, win=12:59:9, time=143/22662
81: reward=-35.85 vs 93.13, winner=blue, r_win=6:40:4, win=12:60:9, time=103/22765
82: reward=-19.23 vs -8.73, winner=draw, r_win=5:40:5, win=12:60:10, time=238/23003
83: reward=-32.51 vs 89.77, winner=blue, r_win=5:40:5, win=12:61:10, time=332/23334
84: reward=-35.93 vs 91.57, winner=blue, r_win=5:40:5, win=12:62:10, time=118/23452
85: reward=-38.67 vs 95.91, winner=blue, r_win=5:40:5, win=12:63:10, time=92/23544
86: reward=-36.22 vs 92.04, winner=blue, r_win=5:41:4, win=12:64:10, time=126/23670
87: reward=-34.46 vs 91.64, winner=blue, r_win=5:41:4, win=12:65:10, time=117/23787
88: reward=-35.71 vs 92.02, winner=blue, r_win=5:41:4, win=12:66:10, time=164/23951
89: reward=-34.85 vs 91.63, winner=blue, r_win=5:41:4, win=12:67:10, time=179/24130
90: reward=-35.69 vs 90.97, winner=blue, r_win=5:41:4, win=12:68:10, time=127/24257
91: reward=-34.32 vs 90.29, winner=blue, r_win=4:42:4, win=12:69:10, time=201/24457
92: reward=-27.98 vs 84.96, winner=blue, r_win=4:42:4, win=12:70:10, time=360/24817
93: reward=-38.20 vs 94.99, winner=blue, r_win=4:42:4, win=12:71:10, time=91/24908
94: reward=-38.07 vs 94.17, winner=blue, r_win=4:42:4, win=12:72:10, time=131/25039
95: reward=-36.70 vs 93.49, winner=blue, r_win=4:42:4, win=12:73:10, time=91/25129
96: reward=-37.35 vs 93.13, winner=blue, r_win=3:43:4, win=12:74:10, time=103/25232
97: reward=-34.43 vs 91.06, winner=blue, r_win=3:43:4, win=12:75:10, time=286/25518
98: reward=-33.36 vs 90.41, winner=blue, r_win=3:43:4, win=12:76:10, time=289/25806
99: reward=76.56 vs -22.12, winner=red, r_win=4:42:4, win=13:76:10, time=326/26132
