67: reward=-33.91 vs 83.28, winner=blue, r_win=2:47:1, win=3:62:2, time=263/26122
68: reward=-33.86 vs 82.84, winner=blue, r_win=2:47:1, win=3:63:2, time=275/26396
69: reward=-30.95 vs 73.64, winner=blue, r_win=2:47:1, win=3:64:2, time=517/26913
70: reward=-30.84 vs 73.36, winner=blue, r_win=2:47:1, win=3:65:2, time=525/27437
71: reward=-33.22 vs 81.10, winner=blue, r_win=2:47:1, win=3:66:2, time=311/27748
72: reward=-31.90 vs 76.91, winner=blue, r_win=2:47:1, win=3:67:2, time=416/28164
73: reward=-31.94 vs 76.55, winner=blue, r_win=2:47:1, win=3:68:2, time=432/28595
74: reward=-33.72 vs 82.80, winner=blue, r_win=2:47:1, win=3:69:2, time=272/28867
75: reward=-32.55 vs 77.49, winner=blue, r_win=2:47:1, win=3:70:2, time=419/29285
76: reward=-31.73 vs 75.42, winner=blue, r_win=2:47:1, win=3:71:2, time=471/29756
77: reward=-31.09 vs 76.22, winner=blue, r_win=2:47:1, win=3:72:2, time=411/30167
78: reward=-17.90 vs -14.10, winner=draw, r_win=2:46:2, win=3:72:3, time=307/30473
79: reward=-32.59 vs 78.64, winner=blue, r_win=2:46:2, win=3:73:3, time=376/30849
80: reward=-32.24 vs 75.96, winner=blue, r_win=2:46:2, win=3:74:3, time=470/31318
81: reward=-17.44 vs -14.64, winner=draw, r_win=2:45:3, win=3:74:4, time=303/31621
82: reward=-30.88 vs 72.39, winner=blue, r_win=2:45:3, win=3:75:4, time=575/32196
83: reward=-34.16 vs 83.90, winner=blue, r_win=2:45:3, win=3:76:4, time=251/32447
84: reward=-29.35 vs 69.48, winner=blue, r_win=2:45:3, win=3:77:4, time=652/33098
85: reward=-30.95 vs 73.94, winner=blue, r_win=2:45:3, win=3:78:4, time=503/33601
86: reward=-32.22 vs 77.56, winner=blue, r_win=2:45:3, win=3:79:4, time=403/34004
87: reward=-31.14 vs 74.41, winner=blue, r_win=2:45:3, win=3:80:4, time=490/34493
88: reward=-31.14 vs 74.41, winner=blue, r_win=2:45:3, win=3:81:4, time=490/34983
89: reward=-31.53 vs 74.62, winner=blue, r_win=2:45:3, win=3:82:4, time=498/35480
90: reward=-16.24 vs -13.64, winner=draw, r_win=2:44:4, win=3:82:5, time=423/35903
91: reward=-31.73 vs 77.38, winner=blue, r_win=2:44:4, win=3:83:5, time=391/36294
92: reward=-31.93 vs 75.62, winner=blue, r_win=2:44:4, win=3:84:5, time=471/36764
93: reward=-33.00 vs 81.15, winner=blue, r_win=2:44:4, win=3:85:5, time=302/37066
94: reward=-31.21 vs 75.63, winner=blue, r_win=1:45:4, win=3:86:5, time=440/37505
95: reward=-31.97 vs 76.78, winner=blue, r_win=1:45:4, win=3:87:5, time=424/37929
96: reward=-16.14 vs -12.14, winner=draw, r_win=1:44:5, win=3:87:6, time=530/38459
97: reward=-33.49 vs 82.22, winner=blue, r_win=1:44:5, win=3:88:6, time=283/38741
98: reward=-30.58 vs 71.35, winner=blue, r_win=1:44:5, win=3:89:6, time=615/39356
99: reward=-31.61 vs 78.28, winner=blue, r_win=1:44:5, win=3:90:6, time=353/39708
100: reward=-34.53 vs 84.24, winner=blue, r_win=1:45:4, win=3:91:6, time=252/39961
101: reward=-31.94 vs 76.55, winner=blue, r_win=1:45:4, win=3:92:6, time=432/40392
102: reward=-30.95 vs 73.18, winner=blue, r_win=1:45:4, win=3:93:6, time=539/40931
103: reward=-31.41 vs 75.52, winner=blue, r_win=1:45:4, win=3:94:6, time=453/41383
104: reward=-32.68 vs 78.41, winner=blue, r_win=1:45:4, win=3:95:6, time=388/41771
105: reward=-31.87 vs 76.98, winner=blue, r_win=1:45:4, win=3:96:6, time=412/42183
106: reward=-32.75 vs 79.17, winner=blue, r_win=1:45:4, win=3:97:6, time=362/42544
107: reward=-31.29 vs 74.46, winner=blue, r_win=1:45:4, win=3:98:6, time=494/43038
108: reward=-32.97 vs 79.12, winner=blue, r_win=0:46:4, win=3:99:6, time=372/43409
109: reward=-31.10 vs 74.46, winner=blue, r_win=0:46:4, win=3:100:6, time=486/43895
110: reward=-32.17 vs 77.28, winner=blue, r_win=0:46:4, win=3:101:6, time=412/44307
111: reward=-29.37 vs 69.98, winner=blue, r_win=0:46:4, win=3:102:6, time=624/44930
112: reward=-31.61 vs 75.58, winner=blue, r_win=0:46:4, win=3:103:6, time=459/45389
113: reward=-16.39 vs -11.59, winner=draw, r_win=0:45:5, win=3:103:7, time=551/45939
114: reward=-30.53 vs 72.12, winner=blue, r_win=0:45:5, win=3:104:7, time=571/46510
115: reward=-32.68 vs 78.09, winner=blue, r_win=0:45:5, win=3:105:7, time=400/46910
116: reward=-33.55 vs 82.38, winner=blue, r_win=0:45:5, win=3:106:7, time=280/47189
117: reward=-31.70 vs 74.90, winner=blue, r_win=0:45:5, win=3:107:7, time=493/47682
118: reward=-33.82 vs 82.90, winner=blue, r_win=0:45:5, win=3:108:7, time=272/47953
119: reward=-32.56 vs 77.95, winner=blue, r_win=0:45:5, win=3:109:7, time=401/48354
120: reward=-16.52 vs -11.72, winner=draw, r_win=0:44:6, win=3:109:8, time=533/48887
121: reward=-34.70 vs 84.66, winner=blue, r_win=0:44:6, win=3:110:8, time=245/49131
122: reward=-32.05 vs 77.14, winner=blue, r_win=0:44:6, win=3:111:8, time=413/49544
123: reward=-17.40 vs -11.80, winner=draw, r_win=0:43:7, win=3:111:9, time=466/50009
124: reward=-31.17 vs 75.07, winner=blue, r_win=0:43:7, win=3:112:9, time=462/50471
125: reward=-32.09 vs 76.63, winner=blue, r_win=0:43:7, win=3:113:9, time=435/50906
126: reward=-33.98 vs 83.44, winner=blue, r_win=0:43:7, win=3:114:9, time=260/51165
127: reward=-30.75 vs 73.44, winner=blue, r_win=0:43:7, win=3:115:9, time=517/51682
128: reward=67.80 vs -25.20, winner=red, r_win=1:43:6, win=4:115:9, time=521/52202
129: reward=-33.93 vs 82.72, winner=blue, r_win=1:43:6, win=4:116:9, time=281/52483
130: reward=-31.64 vs 75.49, winner=blue, r_win=1:43:6, win=4:117:9, time=464/52947
131: reward=-30.17 vs 70.33, winner=blue, r_win=1:44:5, win=4:118:9, time=650/53596
132: reward=-31.49 vs 76.03, winner=blue, r_win=1:44:5, win=4:119:9, time=435/54031
133: reward=-30.71 vs 73.63, winner=blue, r_win=1:44:5, win=4:120:9, time=506/54536
134: reward=-32.64 vs 78.44, winner=blue, r_win=1:44:5, win=4:121:9, time=385/54921
135: reward=-16.64 vs -12.84, winner=draw, r_win=1:43:6, win=4:121:10, time=448/55369
136: reward=-29.84 vs 70.10, winner=blue, r_win=1:43:6, win=4:122:10, time=644/56012
137: reward=-17.39 vs -12.19, winner=draw, r_win=1:42:7, win=4:122:11, time=442/56454
138: reward=-31.10 vs 74.91, winner=blue, r_win=1:42:7, win=4:123:11, time=466/56919
139: reward=-31.11 vs 75.08, winner=blue, r_win=1:42:7, win=4:124:11, time=459/57378
140: reward=-32.77 vs 79.09, winner=blue, r_win=1:43:6, win=4:125:11, time=366/57744
141: reward=75.96 vs -29.48, winner=red, r_win=2:42:6, win=5:125:11, time=360/58103
142: reward=-33.67 vs 82.53, winner=blue, r_win=2:42:6, win=5:126:11, time=279/58382
143: reward=-31.94 vs 76.85, winner=blue, r_win=2:42:6, win=5:127:11, time=420/58801
144: reward=-17.23 vs -11.43, winner=draw, r_win=2:41:7, win=5:127:12, time=503/59304
145: reward=-35.36 vs 86.76, winner=blue, r_win=2:41:7, win=5:128:12, time=203/59507
146: reward=-30.63 vs 73.56, winner=blue, r_win=2:42:6, win=5:129:12, time=505/60011
147: reward=76.93 vs -29.75, winner=red, r_win=3:41:6, win=6:129:12, time=335/60346
148: reward=-34.23 vs 83.94, winner=blue, r_win=3:41:6, win=6:130:12, time=252/60598
149: reward=-16.79 vs -11.59, winner=draw, r_win=3:40:7, win=6:130:13, time=522/61120
150: reward=-34.03 vs 83.26, winner=blue, r_win=3:40:7, win=6:131:13, time=267/61387
151: reward=-30.79 vs 72.17, winner=blue, r_win=3:40:7, win=6:132:13, time=582/61968
152: reward=-33.06 vs 81.45, winner=blue, r_win=3:40:7, win=6:133:13, time=294/62262
153: reward=-30.93 vs 73.42, winner=blue, r_win=3:40:7, win=6:134:13, time=526/62787
154: reward=-29.21 vs 68.66, winner=blue, r_win=3:40:7, win=6:135:13, time=693/63480
155: reward=63.66 vs -23.36, winner=red, r_win=4:39:7, win=7:135:13, time=642/64122
156: reward=-33.29 vs 80.07, winner=blue, r_win=4:39:7, win=7:136:13, time=349/64470
157: reward=-31.02 vs 73.21, winner=blue, r_win=4:39:7, win=7:137:13, time=541/65011
158: reward=-31.64 vs 76.11, winner=blue, r_win=4:39:7, win=7:138:13, time=438/65448
159: reward=-31.88 vs 75.80, winner=blue, r_win=4:39:7, win=7:139:13, time=461/65909
160: reward=-30.80 vs 73.25, winner=blue, r_win=4:39:7, win=7:140:13, time=528/66437
161: reward=-34.06 vs 83.80, winner=blue, r_win=4:39:7, win=7:141:13, time=251/66688
162: reward=-32.66 vs 77.89, winner=blue, r_win=4:39:7, win=7:142:13, time=407/67094
163: reward=-31.79 vs 76.01, winner=blue, r_win=4:40:6, win=7:143:13, time=448/67542
164: reward=-32.72 vs 78.95, winner=blue, r_win=4:40:6, win=7:144:13, time=369/67911
165: reward=-17.33 vs -10.33, winner=draw, r_win=4:39:7, win=7:144:14, time=576/68486
166: reward=-33.18 vs 79.66, winner=blue, r_win=4:39:7, win=7:145:14, time=360/68846
167: reward=-31.34 vs 73.86, winner=blue, r_win=4:39:7, win=7:146:14, time=525/69370
168: reward=-31.57 vs 73.98, winner=blue, r_win=4:39:7, win=7:147:14, time=530/69900
169: reward=-17.55 vs -13.95, winner=draw, r_win=4:38:8, win=7:147:15, time=332/70232
170: reward=-30.84 vs 73.04, winner=blue, r_win=4:39:7, win=7:148:15, time=540/70771
171: reward=-29.98 vs 72.24, winner=blue, r_win=4:39:7, win=7:149:15, time=537/71308
172: reward=-28.96 vs 68.81, winner=blue, r_win=4:39:7, win=7:150:15, time=669/71976
173: reward=-32.49 vs 77.93, winner=blue, r_win=4:40:6, win=7:151:15, time=399/72375
174: reward=-30.74 vs 72.04, winner=blue, r_win=4:40:6, win=7:152:15, time=586/72961
175: reward=74.26 vs -28.57, winner=red, r_win=5:39:6, win=8:152:15, time=389/73349
176: reward=-32.71 vs 78.78, winner=blue, r_win=5:39:6, win=8:153:15, time=375/73724
177: reward=-34.65 vs 85.28, winner=blue, r_win=5:39:6, win=8:154:15, time=225/73949
178: reward=-32.19 vs 76.41, winner=blue, r_win=4:40:6, win=8:155:15, time=448/74396
179: reward=-32.17 vs 76.37, winner=blue, r_win=4:40:6, win=8:156:15, time=449/74845
180: reward=-31.74 vs 75.46, winner=blue, r_win=4:40:6, win=8:157:15, time=470/75314
181: reward=-30.49 vs 72.78, winner=blue, r_win=4:40:6, win=8:158:15, time=536/75850
182: reward=-32.49 vs 78.54, winner=blue, r_win=4:40:6, win=8:159:15, time=376/76226
183: reward=-31.86 vs 75.60, winner=blue, r_win=4:40:6, win=8:160:15, time=469/76694
184: reward=-31.86 vs 76.49, winner=blue, r_win=4:40:6, win=8:161:15, time=431/77125
185: reward=-29.72 vs 69.36, winner=blue, r_win=4:41:5, win=8:162:15, time=682/77806
186: reward=-32.16 vs 76.94, winner=blue, r_win=4:41:5, win=8:163:15, time=425/78231
187: reward=-33.84 vs 82.95, winner=blue, r_win=4:42:4, win=8:164:15, time=271/78502
188: reward=-33.49 vs 82.22, winner=blue, r_win=4:42:4, win=8:165:15, time=283/78784
189: reward=70.77 vs -27.17, winner=red, r_win=5:41:4, win=9:165:15, time=475/79259
190: reward=-30.48 vs 73.06, winner=blue, r_win=5:41:4, win=9:166:15, time=522/79780
191: reward=-32.19 vs 76.28, winner=blue, r_win=4:42:4, win=9:167:15, time=454/80234
192: reward=-31.77 vs 74.18, winner=blue, r_win=4:42:4, win=9:168:15, time=530/80764
193: reward=-34.03 vs 83.43, winner=blue, r_win=4:42:4, win=9:169:15, time=262/81025
194: reward=-31.74 vs 75.89, winner=blue, r_win=4:43:3, win=9:170:15, time=451/81476
195: reward=-32.54 vs 77.90, winner=blue, r_win=4:43:3, win=9:171:15, time=402/81877
196: reward=-32.23 vs 77.72, winner=blue, r_win=4:43:3, win=9:172:15, time=397/82274
197: reward=-16.78 vs -11.78, winner=draw, r_win=3:43:4, win=9:172:16, time=510/82784
198: reward=-31.35 vs 75.67, winner=blue, r_win=3:43:4, win=9:173:16, time=444/83227
199: reward=-31.42 vs 75.69, winner=blue, r_win=3:44:3, win=9:174:16, time=446/83673
200: reward=-32.21 vs 78.88, winner=blue, r_win=3:44:3, win=9:175:16, time=353/84025
201: reward=-32.24 vs 78.20, winner=blue, r_win=3:44:3, win=9:176:16, time=379/84404
202: reward=-30.20 vs 70.71, winner=blue, r_win=3:44:3, win=9:177:16, time=630/85034
203: reward=-30.54 vs 72.15, winner=blue, r_win=3:44:3, win=9:178:16, time=570/85603
204: reward=-31.28 vs 72.95, winner=blue, r_win=3:44:3, win=9:179:16, time=567/86170
205: reward=-31.10 vs 74.91, winner=blue, r_win=2:45:3, win=9:180:16, time=466/86635
206: reward=-16.83 vs -10.63, winner=draw, r_win=2:44:4, win=9:180:17, time=592/87227
207: reward=-34.25 vs 83.52, winner=blue, r_win=2:44:4, win=9:181:17, time=266/87493
208: reward=-30.46 vs 72.99, winner=blue, r_win=2:44:4, win=9:182:17, time=524/88016
209: reward=-31.81 vs 76.96, winner=blue, r_win=2:44:4, win=9:183:17, time=410/88426
210: reward=-30.30 vs 72.90, winner=blue, r_win=2:44:4, win=9:184:17, time=521/88946
211: reward=-32.26 vs 77.65, winner=blue, r_win=2:44:4, win=9:185:17, time=401/89347
212: reward=-32.21 vs 76.32, winner=blue, r_win=2:44:4, win=9:186:17, time=453/89800
213: reward=-32.05 vs 76.37, winner=blue, r_win=2:44:4, win=9:187:17, time=444/90243
214: reward=-16.72 vs -11.52, winner=draw, r_win=2:43:5, win=9:187:18, time=532/90775
215: reward=77.32 vs -30.03, winner=red, r_win=3:43:4, win=10:187:18, time=331/91105
216: reward=-31.18 vs 74.64, winner=blue, r_win=3:43:4, win=10:188:18, time=481/91586
217: reward=-31.71 vs 76.13, winner=blue, r_win=3:43:4, win=10:189:18, time=440/92026
218: reward=-32.14 vs 76.75, winner=blue, r_win=3:43:4, win=10:190:18, time=432/92457
219: reward=-31.93 vs 76.23, winner=blue, r_win=3:44:3, win=10:191:18, time=445/92902
220: reward=-29.97 vs 71.04, winner=blue, r_win=3:44:3, win=10:192:18, time=599/93500
221: reward=-30.51 vs 71.63, winner=blue, r_win=3:44:3, win=10:193:18, time=596/94096
222: reward=-32.15 vs 76.03, winner=blue, r_win=3:44:3, win=10:194:18, time=463/94559
223: reward=-30.89 vs 72.12, winner=blue, r_win=3:44:3, win=10:195:18, time=590/95148
224: reward=-32.35 vs 78.77, winner=blue, r_win=3:44:3, win=10:196:18, time=362/95510
225: reward=81.82 vs -32.01, winner=red, r_win=3:44:3, win=11:196:18, time=249/95759
226: reward=-31.03 vs 73.52, winner=blue, r_win=3:44:3, win=11:197:18, time=526/96284
227: reward=-30.18 vs 72.91, winner=blue, r_win=3:44:3, win=11:198:18, time=515/96799
228: reward=-33.08 vs 81.20, winner=blue, r_win=3:44:3, win=11:199:18, time=303/97102
229: reward=-31.83 vs 76.27, winner=blue, r_win=3:44:3, win=11:200:18, time=439/97540
230: reward=-17.27 vs -10.47, winner=draw, r_win=3:43:4, win=11:200:19, time=570/98110
231: reward=-31.45 vs 75.63, winner=blue, r_win=3:43:4, win=11:201:19, time=450/98559
232: reward=-32.48 vs 80.01, winner=blue, r_win=3:43:4, win=11:202:19, time=323/98882
233: reward=72.75 vs -27.84, winner=red, r_win=4:42:4, win=12:202:19, time=420/99302
234: reward=-30.61 vs 73.84, winner=blue, r_win=4:42:4, win=12:203:19, time=492/99793
235: reward=-31.38 vs 74.26, winner=blue, r_win=4:42:4, win=12:204:19, time=508/100301
236: reward=-33.24 vs 80.11, winner=blue, r_win=4:42:4, win=12:205:19, time=346/100646
237: reward=77.67 vs -30.47, winner=red, r_win=5:41:4, win=13:205:19, time=334/100980
238: reward=-31.68 vs 75.31, winner=blue, r_win=5:41:4, win=13:206:19, time=474/101454
