70: reward=78.58 vs -31.91, winner=red, r_win=49:1:0, win=69:1:0, time=353/24796
71: reward=73.96 vs -29.94, winner=red, r_win=49:1:0, win=70:1:0, time=457/25253
72: reward=79.34 vs -32.34, winner=red, r_win=49:1:0, win=71:1:0, time=341/25593
73: reward=78.47 vs -32.05, winner=red, r_win=49:1:0, win=72:1:0, time=362/25955
74: reward=79.48 vs -32.39, winner=red, r_win=49:1:0, win=73:1:0, time=338/26292
75: reward=80.01 vs -32.60, winner=red, r_win=49:1:0, win=74:1:0, time=327/26619
76: reward=80.65 vs -32.92, winner=red, r_win=49:1:0, win=75:1:0, time=316/26935
77: reward=77.84 vs -31.79, winner=red, r_win=49:1:0, win=76:1:0, time=376/27310
78: reward=78.88 vs -32.21, winner=red, r_win=49:1:0, win=77:1:0, time=353/27663
79: reward=-31.46 vs 79.85, winner=blue, r_win=48:2:0, win=77:2:0, time=294/27956
80: reward=78.47 vs -32.05, winner=red, r_win=49:1:0, win=78:2:0, time=362/28318
81: reward=-32.46 vs 82.34, winner=blue, r_win=48:2:0, win=78:3:0, time=247/28565
82: reward=75.93 vs -30.67, winner=red, r_win=48:2:0, win=79:3:0, time=406/28970
83: reward=76.98 vs -31.33, winner=red, r_win=48:2:0, win=80:3:0, time=391/29361
84: reward=77.70 vs -31.74, winner=red, r_win=48:2:0, win=81:3:0, time=379/29740
85: reward=80.65 vs -32.92, winner=red, r_win=48:2:0, win=82:3:0, time=316/30055
86: reward=80.40 vs -32.82, winner=red, r_win=48:2:0, win=83:3:0, time=321/30376
87: reward=79.35 vs -32.40, winner=red, r_win=48:2:0, win=84:3:0, time=343/30718
88: reward=81.45 vs -33.24, winner=red, r_win=48:2:0, win=85:3:0, time=300/31018
89: reward=80.45 vs -32.84, winner=red, r_win=48:2:0, win=86:3:0, time=320/31338
90: reward=79.49 vs -32.46, winner=red, r_win=48:2:0, win=87:3:0, time=340/31677
91: reward=73.82 vs -29.83, winner=red, r_win=48:2:0, win=88:3:0, time=458/32135
92: reward=79.44 vs -32.44, winner=red, r_win=48:2:0, win=89:3:0, time=341/32475
93: reward=80.06 vs -32.62, winner=red, r_win=48:2:0, win=90:3:0, time=326/32801
94: reward=80.20 vs -32.50, winner=red, r_win=48:2:0, win=91:3:0, time=317/33118
95: reward=73.06 vs -29.52, winner=red, r_win=48:2:0, win=92:3:0, time=478/33595
96: reward=-32.18 vs 81.64, winner=blue, r_win=47:3:0, win=92:4:0, time=260/33855
97: reward=78.83 vs -32.13, winner=red, r_win=47:3:0, win=93:4:0, time=352/34206
98: reward=75.25 vs -30.34, winner=red, r_win=47:3:0, win=94:4:0, time=420/34626
99: reward=79.91 vs -32.57, winner=red, r_win=47:3:0, win=95:4:0, time=329/34955
100: reward=80.06 vs -32.62, winner=red, r_win=47:3:0, win=96:4:0, time=326/35280
101: reward=77.29 vs -31.52, winner=red, r_win=47:3:0, win=97:4:0, time=386/35666
102: reward=77.79 vs -31.78, winner=red, r_win=47:3:0, win=98:4:0, time=377/36042
103: reward=77.79 vs -31.78, winner=red, r_win=47:3:0, win=99:4:0, time=377/36419
104: reward=79.09 vs -32.06, winner=red, r_win=47:3:0, win=100:4:0, time=340/36759
105: reward=79.16 vs -32.32, winner=red, r_win=47:3:0, win=101:4:0, time=347/37105
106: reward=80.45 vs -32.84, winner=red, r_win=47:3:0, win=102:4:0, time=320/37425
107: reward=78.10 vs -31.84, winner=red, r_win=47:3:0, win=103:4:0, time=368/37792
108: reward=80.70 vs -32.94, winner=red, r_win=47:3:0, win=104:4:0, time=315/38107
109: reward=79.87 vs -32.61, winner=red, r_win=47:3:0, win=105:4:0, time=332/38439
110: reward=79.91 vs -32.57, winner=red, r_win=47:3:0, win=106:4:0, time=329/38767
111: reward=77.37 vs -31.49, winner=red, r_win=47:3:0, win=107:4:0, time=382/39149
112: reward=72.47 vs -29.23, winner=red, r_win=47:3:0, win=108:4:0, time=491/39639
113: reward=75.35 vs -30.44, winner=red, r_win=47:3:0, win=109:4:0, time=420/40059
114: reward=80.85 vs -33.00, winner=red, r_win=47:3:0, win=110:4:0, time=312/40371
115: reward=72.08 vs -29.01, winner=red, r_win=47:3:0, win=111:4:0, time=499/40869
116: reward=78.83 vs -32.13, winner=red, r_win=47:3:0, win=112:4:0, time=352/41221
117: reward=79.20 vs -32.28, winner=red, r_win=47:3:0, win=113:4:0, time=344/41564
118: reward=77.06 vs -31.37, winner=red, r_win=47:3:0, win=114:4:0, time=389/41953
119: reward=78.83 vs -32.19, winner=red, r_win=47:3:0, win=115:4:0, time=354/42307
120: reward=-34.16 vs 86.60, winner=blue, r_win=46:4:0, win=115:5:0, time=174/42481
121: reward=-26.51 vs 66.27, winner=blue, r_win=45:5:0, win=115:6:0, time=674/43154
122: reward=76.07 vs -30.79, winner=red, r_win=45:5:0, win=116:6:0, time=405/43559
123: reward=79.44 vs -32.44, winner=red, r_win=45:5:0, win=117:6:0, time=341/43900
124: reward=77.40 vs -31.44, winner=red, r_win=45:5:0, win=118:6:0, time=379/44278
125: reward=80.80 vs -32.98, winner=red, r_win=45:5:0, win=119:6:0, time=313/44591
126: reward=80.06 vs -32.69, winner=red, r_win=45:5:0, win=120:6:0, time=328/44918
