67: reward=-31.01 vs 75.57, winner=blue, r_win=1:44:5, win=1:61:5, time=434/28742
68: reward=-32.12 vs 75.95, winner=blue, r_win=1:44:5, win=1:62:5, time=465/29207
69: reward=-32.55 vs 77.64, winner=blue, r_win=1:44:5, win=1:63:5, time=413/29619
70: reward=70.70 vs -26.66, winner=red, r_win=2:43:5, win=2:63:5, time=456/30075
71: reward=-33.63 vs 82.86, winner=blue, r_win=2:43:5, win=2:64:5, time=267/30342
72: reward=-33.17 vs 78.43, winner=blue, r_win=2:43:5, win=2:65:5, time=406/30747
73: reward=78.35 vs -30.26, winner=red, r_win=3:42:5, win=3:65:5, time=304/31051
74: reward=-31.63 vs 75.03, winner=blue, r_win=3:42:5, win=3:66:5, time=484/31534
75: reward=-32.58 vs 78.31, winner=blue, r_win=3:42:5, win=3:67:5, time=388/31922
76: reward=-31.83 vs 74.32, winner=blue, r_win=3:42:5, win=3:68:5, time=526/32448
77: reward=-30.98 vs 73.24, winner=blue, r_win=3:42:5, win=3:69:5, time=537/32984
78: reward=-32.46 vs 76.95, winner=blue, r_win=3:42:5, win=3:70:5, time=437/33421
79: reward=-31.66 vs 76.29, winner=blue, r_win=3:42:5, win=3:71:5, time=431/33851
80: reward=-33.39 vs 80.48, winner=blue, r_win=3:43:4, win=3:72:5, time=338/34189
81: reward=-30.49 vs 71.28, winner=blue, r_win=2:44:4, win=3:73:5, time=614/34803
82: reward=-31.65 vs 75.07, winner=blue, r_win=2:45:3, win=3:74:5, time=483/35285
83: reward=-32.56 vs 77.34, winner=blue, r_win=2:45:3, win=3:75:5, time=425/35710
84: reward=69.29 vs -26.16, winner=red, r_win=3:44:3, win=4:75:5, time=496/36205
85: reward=-32.63 vs 78.28, winner=blue, r_win=3:44:3, win=4:76:5, time=391/36596
86: reward=-17.48 vs -11.08, winner=draw, r_win=3:43:4, win=4:76:6, time=510/37106
87: reward=78.10 vs -30.22, winner=red, r_win=4:42:4, win=5:76:6, time=311/37416
88: reward=-17.25 vs -12.85, winner=draw, r_win=4:41:5, win=5:76:7, time=410/37826
89: reward=-33.92 vs 81.80, winner=blue, r_win=4:41:5, win=5:77:7, time=311/38136
90: reward=-33.12 vs 79.96, winner=blue, r_win=4:41:5, win=5:78:7, time=347/38483
91: reward=-17.81 vs -12.01, winner=draw, r_win=4:40:6, win=5:78:8, time=427/38910
92: reward=-17.97 vs -13.77, winner=draw, r_win=4:39:7, win=5:78:9, time=320/39229
93: reward=-17.25 vs -12.25, winner=draw, r_win=4:38:8, win=5:78:10, time=447/39676
94: reward=-33.76 vs 81.40, winner=blue, r_win=4:38:8, win=5:79:10, time=319/39994
95: reward=-16.85 vs -12.05, winner=draw, r_win=4:38:8, win=5:79:11, time=486/40480
96: reward=-34.18 vs 83.64, winner=blue, r_win=4:39:7, win=5:80:11, time=260/40740
97: reward=-17.70 vs -13.50, winner=draw, r_win=4:38:8, win=5:80:12, time=348/41087
98: reward=-31.93 vs 73.97, winner=blue, r_win=4:38:8, win=5:81:12, time=548/41635
99: reward=-17.60 vs -12.20, winner=draw, r_win=4:37:9, win=5:81:13, time=428/42062
100: reward=-32.69 vs 79.47, winner=blue, r_win=4:37:9, win=5:82:13, time=349/42411
101: reward=-32.91 vs 78.37, winner=blue, r_win=4:37:9, win=5:83:13, time=398/42809
102: reward=-34.00 vs 83.49, winner=blue, r_win=4:37:9, win=5:84:13, time=259/43067
103: reward=-34.16 vs 82.55, winner=blue, r_win=4:37:9, win=5:85:13, time=294/43361
104: reward=-17.65 vs -12.65, winner=draw, r_win=4:36:10, win=5:85:14, time=399/43759
105: reward=-32.95 vs 79.07, winner=blue, r_win=4:36:10, win=5:86:14, time=373/44132
