59: reward=1.00 vs 0.90, win=5 vs 36, recent_win=4 vs 30, draw=18, winner=blue, time=100/5533
60: reward=1.00 vs 0.90, win=5 vs 37, recent_win=4 vs 31, draw=18, winner=blue, time=91/5623
61: reward=-0.05 vs 1.00, win=5 vs 38, recent_win=4 vs 32, draw=18, winner=blue, time=78/5702
62: reward=0.95 vs 0.90, win=5 vs 39, recent_win=4 vs 32, draw=18, winner=blue, time=77/5779
63: reward=2.00 vs -0.20, win=5 vs 40, recent_win=4 vs 32, draw=18, winner=blue, time=71/5850
64: reward=-0.05 vs 1.00, win=5 vs 41, recent_win=4 vs 32, draw=18, winner=blue, time=61/5911
65: reward=1.00 vs 2.90, win=5 vs 42, recent_win=3 vs 33, draw=18, winner=blue, time=76/5988
66: reward=-0.05 vs 1.00, win=5 vs 43, recent_win=3 vs 33, draw=18, winner=blue, time=62/6050
67: reward=0.95 vs 0.90, win=5 vs 44, recent_win=3 vs 34, draw=18, winner=blue, time=77/6127
68: reward=0.95 vs 1.00, win=5 vs 45, recent_win=3 vs 34, draw=18, winner=blue, time=63/6190
69: reward=0.85 vs 0.90, win=5 vs 46, recent_win=3 vs 34, draw=18, winner=blue, time=102/6292
70: reward=0.85 vs 1.00, win=5 vs 47, recent_win=3 vs 35, draw=18, winner=blue, time=62/6354
71: reward=2.80 vs 1.70, win=5 vs 48, recent_win=3 vs 35, draw=18, winner=blue, time=171/6525
72: reward=0.95 vs 0.90, win=5 vs 49, recent_win=3 vs 35, draw=18, winner=blue, time=82/6607
73: reward=1.00 vs 0.90, win=5 vs 50, recent_win=3 vs 35, draw=18, winner=blue, time=76/6683
74: reward=1.00 vs 0.90, win=5 vs 51, recent_win=3 vs 36, draw=18, winner=blue, time=76/6760
75: reward=-0.15 vs 1.00, win=5 vs 52, recent_win=3 vs 36, draw=18, winner=blue, time=88/6848
76: reward=0.80 vs 1.90, win=5 vs 53, recent_win=3 vs 36, draw=18, winner=blue, time=82/6930
