45: reward=4.00 vs 91.37, reward_evade=0.00 vs 0.00, win=15 vs 16, recent_win=15 vs 16, draw=14, winner=blue, time=122/5180
46: reward=93.77 vs 91.37, reward_evade=0.00 vs 0.00, win=16 vs 16, recent_win=16 vs 16, draw=14, winner=red, time=122/5303
47: reward=93.77 vs 1.00, reward_evade=0.00 vs 0.00, win=16 vs 16, recent_win=16 vs 16, draw=15, winner=draw, time=95/5398
48: reward=4.00 vs 92.20, reward_evade=0.00 vs 0.00, win=16 vs 17, recent_win=16 vs 17, draw=15, winner=blue, time=110/5508
49: reward=97.01 vs -0.10, reward_evade=0.00 vs 0.00, win=17 vs 17, recent_win=17 vs 17, draw=15, winner=red, time=75/5584
50: reward=93.15 vs -0.10, reward_evade=0.00 vs 0.00, win=18 vs 17, recent_win=18 vs 17, draw=15, winner=red, time=130/5714
51: reward=93.15 vs 1.00, reward_evade=0.00 vs 0.00, win=18 vs 17, recent_win=18 vs 17, draw=16, winner=draw, time=93/5807
52: reward=96.13 vs -0.10, reward_evade=0.00 vs 0.00, win=19 vs 17, recent_win=19 vs 16, draw=16, winner=red, time=87/5894
53: reward=96.13 vs 1.00, reward_evade=0.00 vs 0.00, win=19 vs 17, recent_win=18 vs 16, draw=17, winner=draw, time=97/5991
54: reward=96.13 vs 1.00, reward_evade=0.00 vs 0.00, win=19 vs 17, recent_win=18 vs 16, draw=18, winner=draw, time=51/6042
55: reward=93.52 vs -0.10, reward_evade=0.00 vs 0.00, win=20 vs 17, recent_win=19 vs 16, draw=18, winner=red, time=125/6167
56: reward=92.56 vs -0.10, reward_evade=0.00 vs 0.00, win=21 vs 17, recent_win=20 vs 16, draw=18, winner=red, time=139/6306
57: reward=3.00 vs 0.70, reward_evade=0.00 vs 0.00, win=21 vs 17, recent_win=20 vs 16, draw=19, winner=draw, time=140/6446
58: reward=3.00 vs 1.00, reward_evade=0.00 vs 0.00, win=21 vs 17, recent_win=20 vs 15, draw=20, winner=draw, time=113/6559
59: reward=4.00 vs 90.16, reward_evade=0.00 vs 0.00, win=21 vs 18, recent_win=19 vs 16, draw=20, winner=blue, time=139/6698
60: reward=92.63 vs -0.10, reward_evade=0.00 vs 0.00, win=22 vs 18, recent_win=19 vs 16, draw=20, winner=red, time=138/6836
61: reward=4.00 vs 90.09, reward_evade=0.00 vs 0.00, win=22 vs 19, recent_win=19 vs 16, draw=20, winner=blue, time=140/6976
62: reward=92.42 vs -0.10, reward_evade=0.00 vs 0.00, win=23 vs 19, recent_win=20 vs 16, draw=20, winner=red, time=141/7117
63: reward=4.00 vs 89.65, reward_evade=0.00 vs 0.00, win=23 vs 20, recent_win=20 vs 16, draw=20, winner=blue, time=147/7264
64: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=23 vs 20, recent_win=20 vs 16, draw=21, winner=draw, time=93/7356
65: reward=93.67 vs -0.10, reward_evade=0.00 vs 0.00, win=24 vs 20, recent_win=20 vs 16, draw=21, winner=red, time=122/7479
66: reward=92.88 vs -0.10, reward_evade=0.00 vs 0.00, win=25 vs 20, recent_win=20 vs 16, draw=21, winner=red, time=136/7615
67: reward=93.99 vs -0.10, reward_evade=0.00 vs 0.00, win=26 vs 20, recent_win=21 vs 15, draw=21, winner=red, time=119/7734
68: reward=93.99 vs 1.00, reward_evade=0.00 vs 0.00, win=26 vs 20, recent_win=20 vs 15, draw=22, winner=draw, time=99/7833
