59: reward=1.50 vs 89.08, recent_win=1 vs 31, winner=blue, win=1 vs 32, draw=26, time=148/7187
60: reward=-0.20 vs 0.00, recent_win=1 vs 30, winner=draw, win=1 vs 32, draw=27, time=75/7262
61: reward=0.50 vs 90.54, recent_win=1 vs 30, winner=blue, win=1 vs 33, draw=27, time=126/7388
62: reward=-0.50 vs 0.00, recent_win=1 vs 29, winner=draw, win=1 vs 33, draw=28, time=138/7526
63: reward=0.40 vs 0.00, recent_win=1 vs 29, winner=draw, win=1 vs 33, draw=29, time=133/7659
64: reward=-0.30 vs 0.00, recent_win=1 vs 28, winner=draw, win=1 vs 33, draw=30, time=81/7740
65: reward=0.50 vs 90.03, recent_win=1 vs 28, winner=blue, win=1 vs 34, draw=30, time=133/7873
66: reward=-0.20 vs 0.00, recent_win=1 vs 28, winner=draw, win=1 vs 34, draw=31, time=70/7943
67: reward=4.20 vs 87.47, recent_win=1 vs 28, winner=blue, win=1 vs 35, draw=31, time=173/8116
68: reward=-0.50 vs 90.47, recent_win=1 vs 28, winner=blue, win=1 vs 36, draw=31, time=127/8243
69: reward=0.60 vs 91.29, recent_win=1 vs 28, winner=blue, win=1 vs 37, draw=31, time=115/8358
70: reward=0.60 vs 0.00, recent_win=1 vs 27, winner=draw, win=1 vs 37, draw=32, time=88/8446
71: reward=0.50 vs 91.07, recent_win=1 vs 28, winner=blue, win=1 vs 38, draw=32, time=118/8564
72: reward=-0.50 vs 90.92, recent_win=1 vs 28, winner=blue, win=1 vs 39, draw=32, time=120/8685
73: reward=1.50 vs 91.22, recent_win=1 vs 29, winner=blue, win=1 vs 40, draw=32, time=116/8801
74: reward=2.30 vs 88.16, recent_win=1 vs 30, winner=blue, win=1 vs 41, draw=32, time=162/8963
75: reward=0.40 vs 0.00, recent_win=1 vs 30, winner=draw, win=1 vs 41, draw=33, time=137/9099
76: reward=4.10 vs 86.99, recent_win=1 vs 30, winner=blue, win=1 vs 42, draw=33, time=181/9280
77: reward=3.30 vs 89.30, recent_win=1 vs 30, winner=blue, win=1 vs 43, draw=33, time=144/9425
78: reward=0.60 vs 0.00, recent_win=1 vs 29, winner=draw, win=1 vs 43, draw=34, time=106/9531
79: reward=0.40 vs 88.73, recent_win=1 vs 29, winner=blue, win=1 vs 44, draw=34, time=153/9684
80: reward=3.30 vs 88.16, recent_win=1 vs 30, winner=blue, win=1 vs 45, draw=34, time=162/9846
81: reward=0.50 vs 90.39, recent_win=1 vs 30, winner=blue, win=1 vs 46, draw=34, time=128/9974
82: reward=5.10 vs 0.00, recent_win=1 vs 30, winner=draw, win=1 vs 46, draw=35, time=170/10144
83: reward=1.50 vs 90.17, recent_win=1 vs 31, winner=blue, win=1 vs 47, draw=35, time=131/10275
84: reward=7.30 vs 78.20, recent_win=1 vs 32, winner=blue, win=1 vs 48, draw=35, time=344/10619
85: reward=4.10 vs 85.92, recent_win=1 vs 33, winner=blue, win=1 vs 49, draw=35, time=198/10817
86: reward=-0.30 vs 93.23, recent_win=1 vs 33, winner=blue, win=1 vs 50, draw=35, time=87/10905
87: reward=2.50 vs 91.07, recent_win=1 vs 33, winner=blue, win=1 vs 51, draw=35, time=118/11023
88: reward=-0.40 vs 91.52, recent_win=1 vs 34, winner=blue, win=1 vs 52, draw=35, time=111/11134
89: reward=-0.50 vs 0.00, recent_win=1 vs 34, winner=draw, win=1 vs 52, draw=36, time=147/11281
90: reward=-0.20 vs 0.00, recent_win=1 vs 33, winner=draw, win=1 vs 52, draw=37, time=78/11359
91: reward=5.20 vs 0.00, recent_win=1 vs 32, winner=draw, win=1 vs 52, draw=38, time=166/11526
92: reward=4.30 vs 0.00, recent_win=1 vs 31, winner=draw, win=1 vs 52, draw=39, time=144/11670
93: reward=2.50 vs 89.30, recent_win=1 vs 32, winner=blue, win=1 vs 53, draw=39, time=144/11815
94: reward=0.70 vs 92.06, recent_win=0 vs 33, winner=blue, win=1 vs 54, draw=39, time=104/11919
95: reward=1.50 vs 90.47, recent_win=0 vs 33, winner=blue, win=1 vs 55, draw=39, time=127/12046
96: reward=4.30 vs 88.16, recent_win=0 vs 33, winner=blue, win=1 vs 56, draw=39, time=162/12208
97: reward=-0.60 vs 0.00, recent_win=0 vs 33, winner=draw, win=1 vs 56, draw=40, time=135/12342
98: reward=0.50 vs 88.87, recent_win=0 vs 33, winner=blue, win=1 vs 57, draw=40, time=151/12493
