45: reward=93.15 vs -0.10, reward_evade=0.00 vs 0.00, win=15 vs 14, recent_win=15 vs 14, draw=16, winner=red, time=130/5267
46: reward=93.15 vs 1.00, reward_evade=0.00 vs 0.00, win=15 vs 14, recent_win=15 vs 14, draw=17, winner=draw, time=113/5380
47: reward=93.15 vs -0.10, reward_evade=0.00 vs 0.00, win=16 vs 14, recent_win=16 vs 14, draw=17, winner=red, time=130/5510
48: reward=93.15 vs -0.10, reward_evade=0.00 vs 0.00, win=16 vs 14, recent_win=16 vs 14, draw=18, winner=draw, time=89/5600
49: reward=92.85 vs -0.10, reward_evade=0.00 vs 0.00, win=17 vs 14, recent_win=17 vs 14, draw=18, winner=red, time=135/5734
50: reward=4.00 vs 0.60, reward_evade=0.00 vs 0.00, win=17 vs 14, recent_win=17 vs 14, draw=19, winner=draw, time=140/5874
51: reward=4.00 vs 92.12, reward_evade=0.00 vs 0.00, win=17 vs 15, recent_win=17 vs 14, draw=19, winner=blue, time=111/5986
52: reward=93.69 vs 92.12, reward_evade=0.00 vs 0.00, win=18 vs 15, recent_win=18 vs 13, draw=19, winner=red, time=124/6109
53: reward=93.54 vs 92.12, reward_evade=0.00 vs 0.00, win=19 vs 15, recent_win=19 vs 13, draw=19, winner=red, time=126/6235
54: reward=93.54 vs 1.00, reward_evade=0.00 vs 0.00, win=19 vs 15, recent_win=19 vs 12, draw=20, winner=draw, time=104/6339
55: reward=4.00 vs 90.61, reward_evade=0.00 vs 0.00, win=19 vs 16, recent_win=19 vs 13, draw=20, winner=blue, time=149/6488
56: reward=4.00 vs 92.20, reward_evade=0.00 vs 0.00, win=19 vs 17, recent_win=19 vs 14, draw=20, winner=blue, time=110/6598
57: reward=5.00 vs 88.35, reward_evade=0.00 vs 0.00, win=19 vs 18, recent_win=19 vs 15, draw=20, winner=blue, time=165/6764
58: reward=93.00 vs -0.10, reward_evade=0.00 vs 0.00, win=20 vs 18, recent_win=20 vs 14, draw=20, winner=red, time=132/6896
59: reward=93.89 vs -0.10, reward_evade=0.00 vs 0.00, win=21 vs 18, recent_win=20 vs 14, draw=20, winner=red, time=119/7015
60: reward=93.29 vs -0.10, reward_evade=0.00 vs 0.00, win=22 vs 18, recent_win=21 vs 14, draw=20, winner=red, time=128/7143
61: reward=93.29 vs -0.10, reward_evade=0.00 vs 0.00, win=22 vs 18, recent_win=21 vs 13, draw=21, winner=draw, time=98/7242
62: reward=4.00 vs 92.12, reward_evade=0.00 vs 0.00, win=22 vs 19, recent_win=20 vs 14, draw=21, winner=blue, time=111/7353
63: reward=4.00 vs 89.94, reward_evade=0.00 vs 0.00, win=22 vs 20, recent_win=19 vs 15, draw=21, winner=blue, time=142/7495
64: reward=3.00 vs 0.70, reward_evade=0.00 vs 0.00, win=22 vs 20, recent_win=18 vs 15, draw=22, winner=draw, time=138/7633
65: reward=96.85 vs -0.10, reward_evade=0.00 vs 0.00, win=23 vs 20, recent_win=18 vs 15, draw=22, winner=red, time=77/7711
66: reward=96.85 vs 1.00, reward_evade=0.00 vs 0.00, win=23 vs 20, recent_win=17 vs 15, draw=23, winner=draw, time=110/7821
67: reward=92.42 vs -0.10, reward_evade=0.00 vs 0.00, win=24 vs 20, recent_win=18 vs 14, draw=23, winner=red, time=141/7962
68: reward=3.00 vs 0.70, reward_evade=0.00 vs 0.00, win=24 vs 20, recent_win=17 vs 14, draw=24, winner=draw, time=135/8097
69: reward=3.00 vs 1.00, reward_evade=0.00 vs 0.00, win=24 vs 20, recent_win=17 vs 13, draw=25, winner=draw, time=105/8202
70: reward=3.00 vs 1.00, reward_evade=0.00 vs 0.00, win=24 vs 20, recent_win=17 vs 13, draw=26, winner=draw, time=102/8303
71: reward=4.00 vs 91.97, reward_evade=0.00 vs 0.00, win=24 vs 21, recent_win=17 vs 13, draw=26, winner=blue, time=114/8417
72: reward=93.22 vs -0.10, reward_evade=0.00 vs 0.00, win=25 vs 21, recent_win=17 vs 13, draw=26, winner=red, time=129/8546
73: reward=93.00 vs -0.10, reward_evade=0.00 vs 0.00, win=26 vs 21, recent_win=18 vs 12, draw=26, winner=red, time=132/8679
74: reward=93.00 vs -0.10, reward_evade=0.00 vs 0.00, win=26 vs 21, recent_win=18 vs 12, draw=27, winner=draw, time=102/8780
75: reward=4.00 vs 89.87, reward_evade=0.00 vs 0.00, win=26 vs 22, recent_win=18 vs 13, draw=27, winner=blue, time=143/8924
76: reward=4.00 vs 90.53, reward_evade=0.00 vs 0.00, win=26 vs 23, recent_win=18 vs 14, draw=27, winner=blue, time=133/9057
77: reward=4.00 vs 92.12, reward_evade=0.00 vs 0.00, win=26 vs 24, recent_win=17 vs 15, draw=27, winner=blue, time=111/9169
78: reward=4.00 vs 0.60, reward_evade=0.00 vs 0.00, win=26 vs 24, recent_win=17 vs 14, draw=28, winner=draw, time=146/9314
79: reward=93.82 vs -0.10, reward_evade=0.00 vs 0.00, win=27 vs 24, recent_win=18 vs 13, draw=28, winner=red, time=120/9434
80: reward=4.00 vs 89.30, reward_evade=0.00 vs 0.00, win=27 vs 25, recent_win=17 vs 14, draw=28, winner=blue, time=152/9587
81: reward=4.00 vs 92.58, reward_evade=0.00 vs 0.00, win=27 vs 26, recent_win=17 vs 15, draw=28, winner=blue, time=105/9692
82: reward=93.44 vs -0.10, reward_evade=0.00 vs 0.00, win=28 vs 26, recent_win=18 vs 15, draw=28, winner=red, time=126/9817
83: reward=4.00 vs 90.31, reward_evade=0.00 vs 0.00, win=28 vs 27, recent_win=17 vs 16, draw=28, winner=blue, time=137/9954
84: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=28 vs 27, recent_win=17 vs 16, draw=29, winner=draw, time=105/10059
85: reward=93.97 vs -0.10, reward_evade=0.00 vs 0.00, win=29 vs 27, recent_win=17 vs 16, draw=29, winner=red, time=118/10177
86: reward=93.74 vs -0.10, reward_evade=0.00 vs 0.00, win=30 vs 27, recent_win=18 vs 16, draw=29, winner=red, time=121/10299
87: reward=93.74 vs 1.00, reward_evade=0.00 vs 0.00, win=30 vs 27, recent_win=18 vs 16, draw=30, winner=draw, time=93/10391
88: reward=4.00 vs 90.23, reward_evade=0.00 vs 0.00, win=30 vs 28, recent_win=18 vs 16, draw=30, winner=blue, time=138/10529
89: reward=92.78 vs -0.10, reward_evade=0.00 vs 0.00, win=31 vs 28, recent_win=19 vs 15, draw=30, winner=red, time=136/10665
90: reward=93.67 vs -0.10, reward_evade=0.00 vs 0.00, win=32 vs 28, recent_win=19 vs 15, draw=30, winner=red, time=122/10787
91: reward=93.67 vs -0.10, reward_evade=0.00 vs 0.00, win=33 vs 28, recent_win=19 vs 15, draw=30, winner=red, time=122/10910
92: reward=5.00 vs 90.16, reward_evade=0.00 vs 0.00, win=33 vs 29, recent_win=19 vs 16, draw=30, winner=blue, time=139/11049
93: reward=93.62 vs 90.16, reward_evade=0.00 vs 0.00, win=34 vs 29, recent_win=20 vs 16, draw=30, winner=red, time=125/11174
94: reward=94.37 vs 90.16, reward_evade=0.00 vs 0.00, win=35 vs 29, recent_win=21 vs 15, draw=30, winner=red, time=114/11287
95: reward=94.37 vs 1.00, reward_evade=0.00 vs 0.00, win=35 vs 29, recent_win=20 vs 15, draw=31, winner=draw, time=95/11382
96: reward=92.42 vs -0.10, reward_evade=0.00 vs 0.00, win=36 vs 29, recent_win=21 vs 15, draw=31, winner=red, time=141/11524
97: reward=92.42 vs 1.00, reward_evade=0.00 vs 0.00, win=36 vs 29, recent_win=20 vs 15, draw=32, winner=draw, time=107/11631
98: reward=92.42 vs 1.00, reward_evade=0.00 vs 0.00, win=36 vs 29, recent_win=20 vs 15, draw=33, winner=draw, time=89/11720
99: reward=92.85 vs -0.10, reward_evade=0.00 vs 0.00, win=37 vs 29, recent_win=20 vs 15, draw=33, winner=red, time=135/11855
100: reward=3.00 vs 0.70, reward_evade=0.00 vs 0.00, win=37 vs 29, recent_win=20 vs 15, draw=34, winner=draw, time=143/11998
101: reward=93.15 vs -0.10, reward_evade=0.00 vs 0.00, win=38 vs 29, recent_win=21 vs 14, draw=34, winner=red, time=130/12128
102: reward=92.71 vs -0.10, reward_evade=0.00 vs 0.00, win=39 vs 29, recent_win=21 vs 14, draw=34, winner=red, time=137/12265
103: reward=93.92 vs -0.10, reward_evade=0.00 vs 0.00, win=40 vs 29, recent_win=21 vs 14, draw=34, winner=red, time=120/12385
104: reward=96.69 vs -0.10, reward_evade=0.00 vs 0.00, win=41 vs 29, recent_win=22 vs 14, draw=34, winner=red, time=80/12465
105: reward=96.69 vs 1.00, reward_evade=0.00 vs 0.00, win=41 vs 29, recent_win=22 vs 13, draw=35, winner=draw, time=97/12562
106: reward=92.42 vs -0.10, reward_evade=0.00 vs 0.00, win=42 vs 29, recent_win=23 vs 12, draw=35, winner=red, time=141/12703
107: reward=92.34 vs -0.10, reward_evade=0.00 vs 0.00, win=43 vs 29, recent_win=24 vs 11, draw=35, winner=red, time=142/12846
108: reward=92.05 vs -0.10, reward_evade=0.00 vs 0.00, win=44 vs 29, recent_win=24 vs 11, draw=35, winner=red, time=147/12992
109: reward=92.05 vs 1.00, reward_evade=0.00 vs 0.00, win=44 vs 29, recent_win=23 vs 11, draw=36, winner=draw, time=97/13090
110: reward=96.05 vs -0.10, reward_evade=0.00 vs 0.00, win=45 vs 29, recent_win=23 vs 11, draw=36, winner=red, time=88/13178
111: reward=6.00 vs 89.01, reward_evade=0.00 vs 0.00, win=45 vs 30, recent_win=23 vs 12, draw=36, winner=blue, time=171/13349
112: reward=93.92 vs -0.10, reward_evade=0.00 vs 0.00, win=46 vs 30, recent_win=24 vs 11, draw=36, winner=red, time=120/13469
113: reward=93.92 vs -0.10, reward_evade=0.00 vs 0.00, win=47 vs 30, recent_win=25 vs 10, draw=36, winner=red, time=120/13590
114: reward=93.92 vs 1.00, reward_evade=0.00 vs 0.00, win=47 vs 30, recent_win=25 vs 10, draw=37, winner=draw, time=96/13686
115: reward=97.55 vs -0.10, reward_evade=0.00 vs 0.00, win=48 vs 30, recent_win=25 vs 10, draw=37, winner=red, time=83/13769
116: reward=93.52 vs -0.10, reward_evade=0.00 vs 0.00, win=49 vs 30, recent_win=26 vs 10, draw=37, winner=red, time=125/13893
117: reward=96.85 vs -0.10, reward_evade=0.00 vs 0.00, win=50 vs 30, recent_win=26 vs 10, draw=37, winner=red, time=77/13971
118: reward=94.03 vs -0.10, reward_evade=0.00 vs 0.00, win=51 vs 30, recent_win=27 vs 10, draw=37, winner=red, time=133/14104
119: reward=4.00 vs 89.37, reward_evade=0.00 vs 0.00, win=51 vs 31, recent_win=27 vs 11, draw=37, winner=blue, time=151/14255
