59: reward=0.33 vs 79.65, recent_win=3 vs 32, winner=blue, win=3 vs 41, draw=15, time=314/34429
60: reward=2.25 vs 66.91, recent_win=3 vs 32, winner=blue, win=3 vs 42, draw=15, time=651/35080
61: reward=2.22 vs 0.00, recent_win=3 vs 32, winner=draw, win=3 vs 42, draw=16, time=471/35551
62: reward=0.35 vs 77.55, recent_win=3 vs 32, winner=blue, win=3 vs 43, draw=16, time=358/35908
63: reward=1.35 vs 78.39, recent_win=2 vs 33, winner=blue, win=3 vs 44, draw=16, time=340/36248
64: reward=0.40 vs 72.04, recent_win=2 vs 34, winner=blue, win=3 vs 45, draw=16, time=492/36739
65: reward=0.37 vs 0.00, recent_win=2 vs 33, winner=draw, win=3 vs 45, draw=17, time=396/37135
66: reward=1.97 vs 59.37, recent_win=2 vs 33, winner=blue, win=3 vs 46, draw=17, time=1005/38140
67: reward=0.39 vs 72.56, recent_win=2 vs 33, winner=blue, win=3 vs 47, draw=17, time=478/38617
68: reward=81.25 vs 0.00, recent_win=3 vs 32, winner=red, win=4 vs 47, draw=17, time=289/38906
69: reward=2.59 vs 54.86, recent_win=3 vs 32, winner=blue, win=4 vs 48, draw=17, time=1399/40305
70: reward=0.37 vs 75.31, recent_win=3 vs 33, winner=blue, win=4 vs 49, draw=17, time=409/40713
71: reward=74.96 vs 0.00, recent_win=4 vs 32, winner=red, win=5 vs 49, draw=17, time=464/41177
72: reward=0.42 vs 67.39, recent_win=4 vs 32, winner=blue, win=5 vs 50, draw=17, time=634/41810
73: reward=2.96 vs 53.63, recent_win=3 vs 33, winner=blue, win=5 vs 51, draw=17, time=1574/43384
74: reward=0.53 vs 0.00, recent_win=3 vs 33, winner=draw, win=5 vs 51, draw=18, time=1800/45184
75: reward=0.41 vs 69.09, recent_win=3 vs 33, winner=blue, win=5 vs 52, draw=18, time=578/45762
76: reward=2.24 vs 69.64, recent_win=3 vs 33, winner=blue, win=5 vs 53, draw=18, time=561/46322
77: reward=2.32 vs 56.81, recent_win=3 vs 34, winner=blue, win=5 vs 54, draw=18, time=1196/47519
78: reward=2.30 vs 60.73, recent_win=3 vs 34, winner=blue, win=5 vs 55, draw=18, time=924/48442
79: reward=1.85 vs 78.48, recent_win=3 vs 35, winner=blue, win=5 vs 56, draw=18, time=338/48780
80: reward=63.37 vs 0.00, recent_win=4 vs 34, winner=red, win=6 vs 56, draw=18, time=861/49640
81: reward=0.35 vs 76.69, recent_win=4 vs 34, winner=blue, win=6 vs 57, draw=18, time=377/50017
82: reward=1.93 vs 0.00, recent_win=4 vs 33, winner=draw, win=6 vs 57, draw=19, time=672/50689
83: reward=1.45 vs 62.17, recent_win=4 vs 33, winner=blue, win=6 vs 58, draw=19, time=848/51536
84: reward=1.43 vs 0.00, recent_win=4 vs 32, winner=draw, win=6 vs 58, draw=20, time=706/52242
85: reward=1.37 vs 74.23, recent_win=4 vs 32, winner=blue, win=6 vs 59, draw=20, time=435/52676
86: reward=0.33 vs 81.85, recent_win=4 vs 32, winner=blue, win=6 vs 60, draw=20, time=271/52947
