276: reward=95.61 vs 0.00, winner=red, r_win=26:0:24, win=133:7:136, time=75/23688
277: reward=94.97 vs 0.00, winner=red, r_win=26:0:24, win=134:7:136, time=84/23772
278: reward=93.84 vs 0.00, winner=red, r_win=27:0:23, win=135:7:136, time=93/23865
279: reward=95.76 vs 0.00, winner=red, r_win=27:0:23, win=136:7:136, time=66/23931
280: reward=96.02 vs 0.00, winner=red, r_win=27:0:23, win=137:7:136, time=70/24001
281: reward=0.00 vs 0.00, winner=draw, r_win=26:0:24, win=137:7:137, time=93/24094
282: reward=95.77 vs 0.00, winner=red, r_win=27:0:23, win=138:7:137, time=73/24167
283: reward=0.00 vs 0.00, winner=draw, r_win=26:0:24, win=138:7:138, time=60/24227
284: reward=92.19 vs 0.00, winner=red, r_win=26:0:24, win=139:7:138, time=124/24351
285: reward=93.02 vs 0.00, winner=red, r_win=26:0:24, win=140:7:138, time=111/24462
286: reward=93.44 vs 0.00, winner=red, r_win=27:0:23, win=141:7:138, time=98/24561
287: reward=0.00 vs 0.00, winner=draw, r_win=27:0:23, win=141:7:139, time=89/24650
288: reward=94.89 vs 0.00, winner=red, r_win=27:0:23, win=142:7:139, time=85/24735
289: reward=92.52 vs 0.00, winner=red, r_win=28:0:22, win=143:7:139, time=111/24847
290: reward=0.00 vs 0.00, winner=draw, r_win=28:0:22, win=143:7:140, time=48/24895
291: reward=94.79 vs 0.00, winner=red, r_win=29:0:21, win=144:7:140, time=80/24974
292: reward=0.00 vs 0.00, winner=draw, r_win=29:0:21, win=144:7:141, time=75/25050
293: reward=0.00 vs 0.00, winner=draw, r_win=29:0:21, win=144:7:142, time=91/25140
294: reward=0.00 vs 0.00, winner=draw, r_win=28:0:22, win=144:7:143, time=96/25236
295: reward=93.21 vs 0.00, winner=red, r_win=29:0:21, win=145:7:143, time=102/25338
296: reward=94.97 vs 0.00, winner=red, r_win=29:0:21, win=146:7:143, time=84/25422
297: reward=0.00 vs 0.00, winner=draw, r_win=29:0:21, win=146:7:144, time=66/25488
298: reward=93.76 vs 0.00, winner=red, r_win=29:0:21, win=147:7:144, time=94/25582
299: reward=1.50 vs 90.09, winner=blue, r_win=29:1:20, win=147:8:144, time=150/25732
300: reward=94.23 vs 0.00, winner=red, r_win=29:1:20, win=148:8:144, time=87/25820
301: reward=2.72 vs 86.19, winner=blue, r_win=29:2:19, win=148:9:144, time=198/26018
302: reward=0.00 vs 0.00, winner=draw, r_win=28:2:20, win=148:9:145, time=99/26117
303: reward=92.90 vs 0.00, winner=red, r_win=28:2:20, win=149:9:145, time=106/26223
304: reward=96.02 vs 0.00, winner=red, r_win=29:2:19, win=150:9:145, time=70/26293
305: reward=1.83 vs 90.84, winner=blue, r_win=28:3:19, win=150:10:145, time=139/26432
306: reward=94.97 vs 0.00, winner=red, r_win=28:3:19, win=151:10:145, time=84/26516
307: reward=1.50 vs 89.88, winner=blue, r_win=28:4:18, win=151:11:145, time=153/26669
308: reward=92.60 vs 0.00, winner=red, r_win=28:4:18, win=152:11:145, time=110/26780
309: reward=94.81 vs 0.00, winner=red, r_win=28:4:18, win=153:11:145, time=86/26866
310: reward=92.90 vs 0.00, winner=red, r_win=28:4:18, win=154:11:145, time=106/26972
311: reward=92.90 vs 0.00, winner=red, r_win=29:4:17, win=155:11:145, time=106/27078
312: reward=96.02 vs 0.00, winner=red, r_win=30:4:16, win=156:11:145, time=70/27148
313: reward=96.26 vs 0.00, winner=red, r_win=31:4:15, win=157:11:145, time=66/27214
314: reward=1.50 vs 0.15, winner=draw, r_win=31:4:15, win=157:11:146, time=100/27315
315: reward=0.00 vs 0.00, winner=draw, r_win=30:4:16, win=157:11:147, time=105/27419
316: reward=0.00 vs 0.00, winner=draw, r_win=30:4:16, win=157:11:148, time=76/27496
317: reward=93.60 vs 0.00, winner=red, r_win=30:4:16, win=158:11:148, time=96/27592
318: reward=96.30 vs 0.00, winner=red, r_win=31:4:15, win=159:11:148, time=59/27651
319: reward=95.85 vs 0.00, winner=red, r_win=32:4:14, win=160:11:148, time=72/27723
320: reward=96.02 vs 0.00, winner=red, r_win=32:4:14, win=161:11:148, time=70/27793
321: reward=94.73 vs 0.00, winner=red, r_win=33:4:13, win=162:11:148, time=87/27880
322: reward=93.13 vs 0.00, winner=red, r_win=34:4:12, win=163:11:148, time=103/27983
323: reward=95.68 vs 0.00, winner=red, r_win=34:4:12, win=164:11:148, time=68/28050
324: reward=95.05 vs 0.00, winner=red, r_win=34:4:12, win=165:11:148, time=83/28133
325: reward=95.61 vs 0.00, winner=red, r_win=34:4:12, win=166:11:148, time=75/28208
326: reward=0.00 vs 0.00, winner=draw, r_win=33:4:13, win=166:11:149, time=103/28311
327: reward=95.76 vs 0.00, winner=red, r_win=33:4:13, win=167:11:149, time=66/28377
328: reward=1.00 vs 0.10, winner=draw, r_win=32:4:14, win=167:11:150, time=122/28500
329: reward=94.34 vs 0.10, winner=red, r_win=32:4:14, win=168:11:150, time=93/28593
330: reward=0.00 vs 0.00, winner=draw, r_win=31:4:15, win=168:11:151, time=63/28656
331: reward=0.00 vs 0.00, winner=draw, r_win=31:4:15, win=168:11:152, time=104/28760
332: reward=0.00 vs 0.00, winner=draw, r_win=30:4:16, win=168:11:153, time=54/28814
333: reward=94.81 vs 0.00, winner=red, r_win=31:4:15, win=169:11:153, time=86/28900
334: reward=95.77 vs 0.00, winner=red, r_win=31:4:15, win=170:11:153, time=73/28973
335: reward=0.00 vs 0.00, winner=draw, r_win=30:4:16, win=170:11:154, time=104/29077
336: reward=92.90 vs 0.00, winner=red, r_win=30:4:16, win=171:11:154, time=106/29183
337: reward=95.11 vs 0.00, winner=red, r_win=31:4:15, win=172:11:154, time=75/29258
338: reward=0.00 vs 94.70, winner=blue, r_win=30:5:15, win=172:12:154, time=69/29327
339: reward=95.53 vs 0.00, winner=red, r_win=30:5:15, win=173:12:154, time=76/29403
340: reward=93.37 vs 0.00, winner=red, r_win=31:5:14, win=174:12:154, time=99/29502
341: reward=93.44 vs 0.00, winner=red, r_win=31:5:14, win=175:12:154, time=98/29601
342: reward=1.00 vs 0.00, winner=draw, r_win=31:5:14, win=175:12:155, time=71/29671
343: reward=95.05 vs 0.00, winner=red, r_win=32:5:13, win=176:12:155, time=83/29754
344: reward=96.18 vs 0.00, winner=red, r_win=33:5:12, win=177:12:155, time=68/29822
345: reward=0.00 vs 0.00, winner=draw, r_win=32:5:13, win=177:12:156, time=92/29914
346: reward=95.45 vs 0.00, winner=red, r_win=32:5:13, win=178:12:156, time=77/29991
347: reward=0.00 vs 0.00, winner=draw, r_win=32:5:13, win=178:12:157, time=71/30062
348: reward=95.29 vs 0.00, winner=red, r_win=32:5:13, win=179:12:157, time=80/30141
349: reward=95.53 vs 0.00, winner=red, r_win=33:4:13, win=180:12:157, time=76/30218
350: reward=0.00 vs 0.00, winner=draw, r_win=32:4:14, win=180:12:158, time=60/30278
351: reward=94.55 vs 0.00, winner=red, r_win=33:3:14, win=181:12:158, time=83/30361
352: reward=92.34 vs 0.10, winner=red, r_win=34:3:13, win=182:12:158, time=121/30482
353: reward=93.13 vs 0.00, winner=red, r_win=34:3:13, win=183:12:158, time=103/30585
354: reward=93.29 vs 0.00, winner=red, r_win=34:3:13, win=184:12:158, time=100/30685
355: reward=92.60 vs 0.00, winner=red, r_win=35:2:13, win=185:12:158, time=110/30796
356: reward=0.00 vs 0.00, winner=draw, r_win=34:2:14, win=185:12:159, time=102/30897
357: reward=94.55 vs 0.00, winner=red, r_win=35:1:14, win=186:12:159, time=83/30980
358: reward=95.61 vs 0.00, winner=red, r_win=35:1:14, win=187:12:159, time=75/31055
359: reward=95.77 vs 0.00, winner=red, r_win=35:1:14, win=188:12:159, time=73/31128
360: reward=93.37 vs 0.00, winner=red, r_win=35:1:14, win=189:12:159, time=99/31228
361: reward=93.37 vs 0.00, winner=red, r_win=35:1:14, win=190:12:159, time=99/31327
362: reward=0.00 vs 0.00, winner=draw, r_win=34:1:15, win=190:12:160, time=55/31382
363: reward=92.57 vs 0.10, winner=red, r_win=34:1:15, win=191:12:160, time=118/31501
364: reward=93.21 vs 0.00, winner=red, r_win=35:1:14, win=192:12:160, time=102/31602
365: reward=95.61 vs 0.00, winner=red, r_win=36:1:13, win=193:12:160, time=75/31677
366: reward=0.00 vs 0.00, winner=draw, r_win=36:1:13, win=193:12:161, time=64/31742
367: reward=96.10 vs 0.00, winner=red, r_win=36:1:13, win=194:12:161, time=69/31810
368: reward=93.79 vs 0.00, winner=red, r_win=36:1:13, win=195:12:161, time=100/31911
369: reward=0.00 vs 0.00, winner=draw, r_win=35:1:14, win=195:12:162, time=64/31975
370: reward=93.29 vs 0.00, winner=red, r_win=35:1:14, win=196:12:162, time=100/32075
371: reward=95.27 vs 0.00, winner=red, r_win=35:1:14, win=197:12:162, time=73/32148
372: reward=0.00 vs 0.00, winner=draw, r_win=34:1:15, win=197:12:163, time=100/32249
373: reward=93.06 vs 0.00, winner=red, r_win=34:1:15, win=198:12:163, time=104/32353
374: reward=1.00 vs 0.10, winner=draw, r_win=33:1:16, win=198:12:164, time=80/32432
375: reward=92.90 vs 0.00, winner=red, r_win=33:1:16, win=199:12:164, time=106/32538
376: reward=0.00 vs 0.00, winner=draw, r_win=33:1:16, win=199:12:165, time=110/32649
377: reward=93.84 vs 0.00, winner=red, r_win=33:1:16, win=200:12:165, time=93/32741
378: reward=95.43 vs 0.00, winner=red, r_win=34:1:15, win=201:12:165, time=71/32812
379: reward=0.00 vs 0.00, winner=draw, r_win=33:1:16, win=201:12:166, time=64/32876
380: reward=93.63 vs 0.00, winner=red, r_win=34:1:15, win=202:12:166, time=103/32979
381: reward=95.45 vs 0.00, winner=red, r_win=35:1:14, win=203:12:166, time=77/33057
382: reward=0.00 vs 0.00, winner=draw, r_win=35:1:14, win=203:12:167, time=55/33112
383: reward=1.00 vs 0.00, winner=draw, r_win=34:1:15, win=203:12:168, time=97/33209
384: reward=95.03 vs 0.00, winner=red, r_win=34:1:15, win=204:12:168, time=76/33285
385: reward=0.00 vs 0.00, winner=draw, r_win=34:1:15, win=204:12:169, time=92/33377
386: reward=0.00 vs 0.00, winner=draw, r_win=33:1:16, win=204:12:170, time=54/33431
387: reward=95.21 vs 0.00, winner=red, r_win=33:1:16, win=205:12:170, time=81/33512
388: reward=0.00 vs 0.00, winner=draw, r_win=33:0:17, win=205:12:171, time=62/33574
389: reward=0.00 vs 0.00, winner=draw, r_win=32:0:18, win=205:12:172, time=111/33686
390: reward=1.83 vs 88.45, winner=blue, r_win=31:1:18, win=205:13:172, time=176/33862
391: reward=94.89 vs 0.00, winner=red, r_win=31:1:18, win=206:13:172, time=85/33947
392: reward=95.53 vs 0.00, winner=red, r_win=32:1:17, win=207:13:172, time=76/34023
393: reward=93.28 vs 0.10, winner=red, r_win=32:1:17, win=208:13:172, time=113/34136
394: reward=0.00 vs 0.00, winner=draw, r_win=31:1:18, win=208:13:173, time=99/34235
395: reward=92.49 vs 0.00, winner=red, r_win=32:1:17, win=209:13:173, time=119/34355
396: reward=94.89 vs 0.00, winner=red, r_win=32:1:17, win=210:13:173, time=85/34440
397: reward=96.38 vs 0.00, winner=red, r_win=33:1:16, win=211:13:173, time=58/34498
398: reward=0.00 vs 0.00, winner=draw, r_win=32:1:17, win=211:13:174, time=73/34571
399: reward=93.60 vs 0.00, winner=red, r_win=32:1:17, win=212:13:174, time=96/34667
400: reward=95.05 vs 0.00, winner=red, r_win=33:1:16, win=213:13:174, time=83/34750
401: reward=96.30 vs 0.00, winner=red, r_win=33:1:16, win=214:13:174, time=59/34809
402: reward=0.00 vs 0.00, winner=draw, r_win=32:1:17, win=214:13:175, time=57/34866
403: reward=95.03 vs 0.00, winner=red, r_win=32:1:17, win=215:13:175, time=76/34943
404: reward=93.02 vs 0.10, winner=red, r_win=32:1:17, win=216:13:175, time=111/35054
405: reward=0.00 vs 0.00, winner=draw, r_win=31:1:18, win=216:13:176, time=59/35113
406: reward=94.10 vs 0.00, winner=red, r_win=32:1:17, win=217:13:176, time=96/35209
407: reward=92.34 vs 0.00, winner=red, r_win=32:1:17, win=218:13:176, time=121/35331
408: reward=93.52 vs 0.00, winner=red, r_win=32:1:17, win=219:13:176, time=97/35428
409: reward=92.83 vs 0.00, winner=red, r_win=32:1:17, win=220:13:176, time=107/35535
410: reward=95.37 vs 0.00, winner=red, r_win=32:1:17, win=221:13:176, time=78/35614
411: reward=92.90 vs 0.00, winner=red, r_win=32:1:17, win=222:13:176, time=106/35720
412: reward=92.75 vs 0.00, winner=red, r_win=33:1:16, win=223:13:176, time=108/35828
413: reward=0.00 vs 0.00, winner=draw, r_win=32:1:17, win=223:13:177, time=62/35890
414: reward=95.13 vs 0.00, winner=red, r_win=32:1:17, win=224:13:177, time=82/35972
415: reward=93.52 vs 0.00, winner=red, r_win=32:1:17, win=225:13:177, time=97/36069
416: reward=92.98 vs 0.00, winner=red, r_win=33:1:16, win=226:13:177, time=105/36174
417: reward=0.00 vs 0.00, winner=draw, r_win=32:1:17, win=226:13:178, time=51/36225
418: reward=92.04 vs 0.00, winner=red, r_win=32:1:17, win=227:13:178, time=126/36351
419: reward=0.00 vs 0.00, winner=draw, r_win=32:1:17, win=227:13:179, time=98/36449
420: reward=0.00 vs 0.00, winner=draw, r_win=31:1:18, win=227:13:180, time=61/36510
421: reward=0.00 vs 0.00, winner=draw, r_win=30:1:19, win=227:13:181, time=51/36562
422: reward=93.10 vs 0.00, winner=red, r_win=31:1:18, win=228:13:181, time=110/36672
423: reward=93.52 vs 0.00, winner=red, r_win=31:1:18, win=229:13:181, time=97/36769
424: reward=93.06 vs 0.00, winner=red, r_win=32:1:17, win=230:13:181, time=104/36873
425: reward=95.37 vs 0.00, winner=red, r_win=32:1:17, win=231:13:181, time=78/36951
426: reward=93.94 vs 0.00, winner=red, r_win=33:1:16, win=232:13:181, time=98/37050
427: reward=96.38 vs 0.00, winner=red, r_win=33:1:16, win=233:13:181, time=58/37108
428: reward=95.11 vs 0.00, winner=red, r_win=33:1:16, win=234:13:181, time=75/37183
429: reward=92.87 vs 0.00, winner=red, r_win=34:1:15, win=235:13:181, time=114/37297
430: reward=95.53 vs 0.00, winner=red, r_win=34:1:15, win=236:13:181, time=76/37373
431: reward=95.37 vs 0.00, winner=red, r_win=34:1:15, win=237:13:181, time=78/37452
432: reward=0.00 vs 0.00, winner=draw, r_win=34:1:15, win=237:13:182, time=80/37531
433: reward=94.63 vs 0.00, winner=red, r_win=35:1:14, win=238:13:182, time=82/37613
434: reward=95.53 vs 0.00, winner=red, r_win=35:1:14, win=239:13:182, time=76/37689
435: reward=92.60 vs 0.00, winner=red, r_win=36:1:13, win=240:13:182, time=110/37800
436: reward=95.85 vs 0.00, winner=red, r_win=37:1:12, win=241:13:182, time=72/37872
437: reward=92.90 vs 0.00, winner=red, r_win=37:1:12, win=242:13:182, time=106/37978
438: reward=95.77 vs 0.00, winner=red, r_win=38:1:11, win=243:13:182, time=73/38051
439: reward=92.90 vs 0.00, winner=red, r_win=39:1:10, win=244:13:182, time=106/38157
440: reward=0.00 vs 0.00, winner=draw, r_win=39:0:11, win=244:13:183, time=53/38210
441: reward=0.00 vs 0.00, winner=draw, r_win=38:0:12, win=244:13:184, time=99/38309
442: reward=93.60 vs 0.00, winner=red, r_win=38:0:12, win=245:13:184, time=96/38405
443: reward=0.00 vs 0.00, winner=draw, r_win=37:0:13, win=245:13:185, time=105/38510
444: reward=95.53 vs 0.00, winner=red, r_win=38:0:12, win=246:13:185, time=76/38587
445: reward=2.08 vs 90.29, winner=blue, r_win=37:1:12, win=246:14:185, time=148/38734
446: reward=93.68 vs 0.00, winner=red, r_win=37:1:12, win=247:14:185, time=95/38829
447: reward=96.68 vs 0.00, winner=red, r_win=37:1:12, win=248:14:185, time=54/38884
448: reward=92.19 vs 0.00, winner=red, r_win=38:1:11, win=249:14:185, time=124/39007
449: reward=94.02 vs 0.00, winner=red, r_win=38:1:11, win=250:14:185, time=97/39104
450: reward=95.45 vs 0.00, winner=red, r_win=38:1:11, win=251:14:185, time=77/39182
451: reward=96.61 vs 0.00, winner=red, r_win=38:1:11, win=252:14:185, time=55/39237
452: reward=93.37 vs 0.00, winner=red, r_win=39:1:10, win=253:14:185, time=99/39336
