1: reward=0.00 vs 1.00, reward_evade=0.00 vs 0.00, win=0 vs 0, recent_win=0 vs 0, draw=1, winner=draw, time=93/93
2: reward=91.84 vs -0.10, reward_evade=0.00 vs 0.00, win=1 vs 0, recent_win=1 vs 0, draw=1, winner=red, time=150/243
3: reward=4.00 vs 92.04, reward_evade=0.00 vs 0.00, win=1 vs 1, recent_win=1 vs 1, draw=1, winner=blue, time=113/355
4: reward=93.32 vs -0.10, reward_evade=0.00 vs 0.00, win=2 vs 1, recent_win=2 vs 1, draw=1, winner=red, time=129/484
5: reward=93.39 vs -0.10, reward_evade=0.00 vs 0.00, win=3 vs 1, recent_win=3 vs 1, draw=1, winner=red, time=128/612
6: reward=4.00 vs 92.66, reward_evade=0.00 vs 0.00, win=3 vs 2, recent_win=3 vs 2, draw=1, winner=blue, time=104/716
7: reward=4.00 vs 89.87, reward_evade=0.00 vs 0.00, win=3 vs 3, recent_win=3 vs 3, draw=1, winner=blue, time=143/860
8: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=3 vs 3, recent_win=3 vs 3, draw=2, winner=draw, time=57/917
9: reward=3.00 vs 0.70, reward_evade=0.00 vs 0.00, win=3 vs 3, recent_win=3 vs 3, draw=3, winner=draw, time=139/1056
10: reward=96.77 vs -0.10, reward_evade=0.00 vs 0.00, win=4 vs 3, recent_win=4 vs 3, draw=3, winner=red, time=78/1134
11: reward=96.77 vs 1.00, reward_evade=0.00 vs 0.00, win=4 vs 3, recent_win=4 vs 3, draw=4, winner=draw, time=91/1225
12: reward=91.91 vs -0.10, reward_evade=0.00 vs 0.00, win=5 vs 3, recent_win=5 vs 3, draw=4, winner=red, time=149/1374
13: reward=4.00 vs 89.94, reward_evade=0.00 vs 0.00, win=5 vs 4, recent_win=5 vs 4, draw=4, winner=blue, time=142/1516
14: reward=96.61 vs -0.10, reward_evade=0.00 vs 0.00, win=6 vs 4, recent_win=6 vs 4, draw=4, winner=red, time=81/1597
15: reward=4.00 vs 90.60, reward_evade=0.00 vs 0.00, win=6 vs 5, recent_win=6 vs 5, draw=4, winner=blue, time=132/1729
16: reward=4.00 vs 92.35, reward_evade=0.00 vs 0.00, win=6 vs 6, recent_win=6 vs 6, draw=4, winner=blue, time=108/1837
17: reward=92.56 vs -0.10, reward_evade=0.00 vs 0.00, win=7 vs 6, recent_win=7 vs 6, draw=4, winner=red, time=139/1976
18: reward=92.56 vs 1.00, reward_evade=0.00 vs 0.00, win=7 vs 6, recent_win=7 vs 6, draw=5, winner=draw, time=98/2075
19: reward=92.88 vs -0.10, reward_evade=0.00 vs 0.00, win=8 vs 6, recent_win=8 vs 6, draw=5, winner=red, time=136/2210
20: reward=96.91 vs -0.10, reward_evade=0.00 vs 0.00, win=9 vs 6, recent_win=9 vs 6, draw=5, winner=red, time=92/2302
21: reward=4.00 vs 89.58, reward_evade=0.00 vs 0.00, win=9 vs 7, recent_win=9 vs 7, draw=5, winner=blue, time=148/2450
22: reward=4.00 vs 90.38, reward_evade=0.00 vs 0.00, win=9 vs 8, recent_win=9 vs 8, draw=5, winner=blue, time=136/2586
23: reward=4.00 vs 89.87, reward_evade=0.00 vs 0.00, win=9 vs 9, recent_win=9 vs 9, draw=5, winner=blue, time=143/2729
24: reward=4.00 vs 92.50, reward_evade=0.00 vs 0.00, win=9 vs 10, recent_win=9 vs 10, draw=5, winner=blue, time=106/2835
25: reward=93.22 vs -0.10, reward_evade=0.00 vs 0.00, win=10 vs 10, recent_win=10 vs 10, draw=5, winner=red, time=129/2964
26: reward=93.22 vs -0.10, reward_evade=0.00 vs 0.00, win=10 vs 10, recent_win=10 vs 10, draw=6, winner=draw, time=99/3064
27: reward=93.15 vs -0.10, reward_evade=0.00 vs 0.00, win=11 vs 10, recent_win=11 vs 10, draw=6, winner=red, time=130/3194
28: reward=4.00 vs 89.80, reward_evade=0.00 vs 0.00, win=11 vs 11, recent_win=11 vs 11, draw=6, winner=blue, time=144/3338
29: reward=5.00 vs 90.38, reward_evade=0.00 vs 0.00, win=11 vs 12, recent_win=11 vs 12, draw=6, winner=blue, time=136/3474
30: reward=4.00 vs 0.60, reward_evade=0.00 vs 0.00, win=11 vs 12, recent_win=11 vs 12, draw=7, winner=draw, time=149/3623
31: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=11 vs 12, recent_win=11 vs 12, draw=8, winner=draw, time=94/3717
32: reward=92.42 vs -0.10, reward_evade=0.00 vs 0.00, win=12 vs 12, recent_win=12 vs 12, draw=8, winner=red, time=141/3858
33: reward=5.00 vs 89.59, reward_evade=0.00 vs 0.00, win=12 vs 13, recent_win=12 vs 13, draw=8, winner=blue, time=163/4021
34: reward=94.14 vs -0.10, reward_evade=0.00 vs 0.00, win=13 vs 13, recent_win=13 vs 13, draw=8, winner=red, time=117/4138
35: reward=94.14 vs -0.10, reward_evade=0.00 vs 0.00, win=13 vs 13, recent_win=13 vs 13, draw=9, winner=draw, time=89/4228
36: reward=92.71 vs -0.10, reward_evade=0.00 vs 0.00, win=14 vs 13, recent_win=14 vs 13, draw=9, winner=red, time=137/4364
37: reward=96.29 vs -0.10, reward_evade=0.00 vs 0.00, win=15 vs 13, recent_win=15 vs 13, draw=9, winner=red, time=85/4450
38: reward=2.00 vs 0.80, reward_evade=0.00 vs 0.00, win=15 vs 13, recent_win=15 vs 13, draw=10, winner=draw, time=132/4582
39: reward=96.45 vs -0.10, reward_evade=0.00 vs 0.00, win=16 vs 13, recent_win=16 vs 13, draw=10, winner=red, time=83/4665
