59: reward=0.00 vs 94.76, recent_win=2 vs 48, winner=blue, win=3 vs 56, draw=0, time=66/5335
60: reward=0.00 vs 94.19, recent_win=2 vs 48, winner=blue, win=3 vs 57, draw=0, time=74/5409
61: reward=0.00 vs 94.35, recent_win=2 vs 48, winner=blue, win=3 vs 58, draw=0, time=72/5481
62: reward=0.00 vs 95.15, recent_win=2 vs 48, winner=blue, win=3 vs 59, draw=0, time=61/5543
63: reward=0.00 vs 94.35, recent_win=2 vs 48, winner=blue, win=3 vs 60, draw=0, time=72/5614
64: reward=0.00 vs 95.15, recent_win=2 vs 48, winner=blue, win=3 vs 61, draw=0, time=61/5676
65: reward=0.00 vs 92.52, recent_win=2 vs 48, winner=blue, win=3 vs 62, draw=0, time=97/5773
66: reward=0.00 vs 92.44, recent_win=2 vs 48, winner=blue, win=3 vs 63, draw=0, time=98/5871
67: reward=0.00 vs 91.75, recent_win=2 vs 48, winner=blue, win=3 vs 64, draw=0, time=108/5979
68: reward=0.00 vs 91.29, recent_win=2 vs 48, winner=blue, win=3 vs 65, draw=0, time=115/6094
69: reward=0.00 vs 93.79, recent_win=2 vs 48, winner=blue, win=3 vs 66, draw=0, time=80/6174
70: reward=0.00 vs 94.19, recent_win=2 vs 48, winner=blue, win=3 vs 67, draw=0, time=74/6248
71: reward=0.00 vs 95.61, recent_win=2 vs 48, winner=blue, win=3 vs 68, draw=0, time=55/6303
72: reward=0.00 vs 93.95, recent_win=1 vs 49, winner=blue, win=3 vs 69, draw=0, time=77/6380
73: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=3 vs 70, draw=0, time=76/6457
74: reward=0.00 vs 94.76, recent_win=1 vs 49, winner=blue, win=3 vs 71, draw=0, time=66/6523
75: reward=0.00 vs 92.76, recent_win=1 vs 49, winner=blue, win=3 vs 72, draw=0, time=94/6617
76: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=3 vs 73, draw=0, time=76/6693
77: reward=88.30 vs 0.00, recent_win=2 vs 48, winner=red, win=4 vs 73, draw=0, time=160/6853
78: reward=0.00 vs 93.95, recent_win=2 vs 48, winner=blue, win=4 vs 74, draw=0, time=77/6931
79: reward=0.00 vs 93.71, recent_win=2 vs 48, winner=blue, win=4 vs 75, draw=0, time=81/7011
80: reward=0.00 vs 94.27, recent_win=2 vs 48, winner=blue, win=4 vs 76, draw=0, time=73/7084
81: reward=0.00 vs 93.79, recent_win=2 vs 48, winner=blue, win=4 vs 77, draw=0, time=80/7164
82: reward=0.00 vs 93.95, recent_win=2 vs 48, winner=blue, win=4 vs 78, draw=0, time=77/7241
83: reward=0.00 vs 91.98, recent_win=2 vs 48, winner=blue, win=4 vs 79, draw=0, time=105/7346
84: reward=0.00 vs 94.76, recent_win=2 vs 48, winner=blue, win=4 vs 80, draw=0, time=66/7413
85: reward=0.00 vs 92.13, recent_win=2 vs 48, winner=blue, win=4 vs 81, draw=0, time=103/7515
86: reward=0.00 vs 94.03, recent_win=2 vs 48, winner=blue, win=4 vs 82, draw=0, time=76/7592
87: reward=0.00 vs 93.95, recent_win=2 vs 48, winner=blue, win=4 vs 83, draw=0, time=77/7669
88: reward=0.00 vs 91.60, recent_win=2 vs 48, winner=blue, win=4 vs 84, draw=0, time=110/7779
89: reward=0.00 vs 94.76, recent_win=2 vs 48, winner=blue, win=4 vs 85, draw=0, time=66/7846
90: reward=0.00 vs 94.03, recent_win=2 vs 48, winner=blue, win=4 vs 86, draw=0, time=76/7922
91: reward=0.00 vs 94.84, recent_win=2 vs 48, winner=blue, win=4 vs 87, draw=0, time=65/7987
92: reward=0.00 vs 94.03, recent_win=2 vs 48, winner=blue, win=4 vs 88, draw=0, time=76/8064
93: reward=0.00 vs 94.27, recent_win=2 vs 48, winner=blue, win=4 vs 89, draw=0, time=73/8137
94: reward=0.00 vs 92.99, recent_win=2 vs 48, winner=blue, win=4 vs 90, draw=0, time=91/8227
95: reward=0.00 vs 95.23, recent_win=2 vs 48, winner=blue, win=4 vs 91, draw=0, time=60/8288
96: reward=0.00 vs 93.87, recent_win=2 vs 48, winner=blue, win=4 vs 92, draw=0, time=78/8366
97: reward=0.00 vs 92.37, recent_win=2 vs 48, winner=blue, win=4 vs 93, draw=0, time=99/8465
98: reward=0.00 vs 90.62, recent_win=2 vs 48, winner=blue, win=4 vs 94, draw=0, time=125/8590
99: reward=0.00 vs 92.44, recent_win=2 vs 48, winner=blue, win=4 vs 95, draw=0, time=98/8688
100: reward=0.00 vs 93.87, recent_win=2 vs 48, winner=blue, win=4 vs 96, draw=0, time=78/8767
