67: reward=-28.75 vs 85.87, winner=blue, r_win=0:31:19, win=1:43:23, time=143/46236
68: reward=-1.50 vs -15.00, winner=draw, r_win=0:30:20, win=1:43:24, time=1800/48036
69: reward=0.50 vs -16.00, winner=draw, r_win=0:29:21, win=1:43:25, time=1800/49836
70: reward=-1.50 vs -15.00, winner=draw, r_win=0:28:22, win=1:43:26, time=1800/51636
71: reward=-1.50 vs -15.00, winner=draw, r_win=0:27:23, win=1:43:27, time=1800/53436
72: reward=-1.50 vs -15.00, winner=draw, r_win=0:26:24, win=1:43:28, time=1800/55237
73: reward=-0.50 vs -15.50, winner=draw, r_win=0:26:24, win=1:43:29, time=1800/57037
74: reward=-1.50 vs -15.00, winner=draw, r_win=0:25:25, win=1:43:30, time=1800/58837
75: reward=-1.50 vs -15.00, winner=draw, r_win=0:24:26, win=1:43:31, time=1800/60637
76: reward=-1.50 vs -15.00, winner=draw, r_win=0:23:27, win=1:43:32, time=1800/62437
77: reward=-1.50 vs -15.00, winner=draw, r_win=0:22:28, win=1:43:33, time=1800/64238
78: reward=-0.50 vs -15.50, winner=draw, r_win=0:21:29, win=1:43:34, time=1800/66038
79: reward=-0.50 vs -15.50, winner=draw, r_win=0:20:30, win=1:43:35, time=1800/67838
80: reward=-1.50 vs -15.00, winner=draw, r_win=0:20:30, win=1:43:36, time=1800/69638
81: reward=-1.50 vs -15.00, winner=draw, r_win=0:19:31, win=1:43:37, time=1800/71438
82: reward=-1.50 vs -15.00, winner=draw, r_win=0:19:31, win=1:43:38, time=1800/73239
83: reward=-1.50 vs -15.00, winner=draw, r_win=0:18:32, win=1:43:39, time=1800/75039
84: reward=-30.69 vs 86.73, winner=blue, r_win=0:18:32, win=1:44:39, time=146/75184
85: reward=0.50 vs -16.00, winner=draw, r_win=0:17:33, win=1:44:40, time=1800/76985
86: reward=-0.50 vs -15.50, winner=draw, r_win=0:16:34, win=1:44:41, time=1800/78785
87: reward=-0.50 vs -15.50, winner=draw, r_win=0:15:35, win=1:44:42, time=1800/80585
88: reward=-1.50 vs -15.00, winner=draw, r_win=0:14:36, win=1:44:43, time=1800/82385
89: reward=1.50 vs -16.50, winner=draw, r_win=0:13:37, win=1:44:44, time=1800/84185
90: reward=-1.50 vs -15.00, winner=draw, r_win=0:12:38, win=1:44:45, time=1800/85986
91: reward=-2.50 vs -14.50, winner=draw, r_win=0:12:38, win=1:44:46, time=1800/87786
92: reward=-28.35 vs 84.87, winner=blue, r_win=0:13:37, win=1:45:46, time=159/87945
93: reward=-30.84 vs 87.09, winner=blue, r_win=0:13:37, win=1:46:46, time=140/88085
94: reward=-29.92 vs 86.81, winner=blue, r_win=0:14:36, win=1:47:46, time=137/88221
95: reward=-2.50 vs -14.50, winner=draw, r_win=0:13:37, win=1:47:47, time=1800/90022
96: reward=-28.02 vs 84.04, winner=blue, r_win=0:13:37, win=1:48:47, time=172/90194
97: reward=-28.43 vs 85.08, winner=blue, r_win=0:13:37, win=1:49:47, time=155/90349
98: reward=-2.50 vs -14.50, winner=draw, r_win=0:13:37, win=1:49:48, time=1800/92149
99: reward=-0.50 vs -15.50, winner=draw, r_win=0:13:37, win=1:49:49, time=1800/93950
100: reward=-1.50 vs -15.00, winner=draw, r_win=0:13:37, win=1:49:50, time=1800/95750
101: reward=-1.50 vs -15.00, winner=draw, r_win=0:13:37, win=1:49:51, time=1800/97550
102: reward=-2.50 vs -14.50, winner=draw, r_win=0:13:37, win=1:49:52, time=1800/99350
103: reward=-0.50 vs -15.50, winner=draw, r_win=0:13:37, win=1:49:53, time=1800/101150
104: reward=-2.50 vs -14.50, winner=draw, r_win=0:12:38, win=1:49:54, time=1800/102951
105: reward=-29.07 vs 84.68, winner=blue, r_win=0:12:38, win=1:50:54, time=170/103120
106: reward=-2.50 vs -14.50, winner=draw, r_win=0:11:39, win=1:50:55, time=1800/104921
107: reward=-0.50 vs -15.50, winner=draw, r_win=0:10:40, win=1:50:56, time=1800/106721
108: reward=-0.50 vs -15.50, winner=draw, r_win=0:10:40, win=1:50:57, time=1800/108521
109: reward=-29.88 vs 84.70, winner=blue, r_win=0:11:39, win=1:51:57, time=177/108698
110: reward=0.50 vs -16.00, winner=draw, r_win=0:10:40, win=1:51:58, time=1800/110499
111: reward=71.53 vs -29.01, winner=red, r_win=1:10:39, win=2:51:58, time=964/111462
112: reward=-9.01 vs 53.27, winner=blue, r_win=1:11:38, win=2:52:58, time=1246/112708
113: reward=-7.36 vs 51.16, winner=blue, r_win=1:11:38, win=2:53:58, time=1424/114132
114: reward=-8.97 vs 48.18, winner=blue, r_win=1:12:37, win=2:54:58, time=1566/115698
115: reward=0.50 vs -16.00, winner=draw, r_win=1:12:37, win=2:54:59, time=1800/117498
116: reward=-31.22 vs 88.04, winner=blue, r_win=1:13:36, win=2:55:59, time=126/117624
117: reward=-1.50 vs -15.00, winner=draw, r_win=1:12:37, win=2:55:60, time=1800/119424
118: reward=-1.53 vs -15.03, winner=draw, r_win=1:12:37, win=2:55:61, time=1757/121181
119: reward=9.50 vs -16.00, winner=draw, r_win=1:12:37, win=2:55:62, time=1800/122982
120: reward=-31.63 vs 86.81, winner=blue, r_win=1:13:36, win=2:56:62, time=168/123149
121: reward=9.00 vs -15.00, winner=draw, r_win=1:13:36, win=2:56:63, time=1800/124949
122: reward=89.41 vs -36.97, winner=red, r_win=2:13:35, win=3:56:63, time=361/125310
123: reward=-0.50 vs -15.50, winner=draw, r_win=2:13:35, win=3:56:64, time=1800/127110
124: reward=63.49 vs -25.00, winner=red, r_win=3:13:34, win=4:56:64, time=1799/128909
125: reward=-30.15 vs 85.38, winner=blue, r_win=3:14:33, win=4:57:64, time=166/129076
126: reward=0.05 vs -16.45, winner=draw, r_win=3:14:33, win=4:57:65, time=1414/130490
127: reward=-15.53 vs 62.57, winner=blue, r_win=3:15:32, win=4:58:65, time=628/131118
128: reward=-1.50 vs -15.00, winner=draw, r_win=3:15:32, win=4:58:66, time=1800/132918
129: reward=0.50 vs -16.00, winner=draw, r_win=3:15:32, win=4:58:67, time=1800/134718
130: reward=-11.22 vs 55.04, winner=blue, r_win=3:16:31, win=4:59:67, time=1096/135814
131: reward=-1.50 vs -15.00, winner=draw, r_win=3:16:31, win=4:59:68, time=1800/137614
132: reward=-27.16 vs 81.90, winner=blue, r_win=3:17:30, win=4:60:68, time=207/137822
133: reward=-10.62 vs 48.55, winner=blue, r_win=3:18:29, win=4:61:68, time=1509/139330
134: reward=67.47 vs -27.39, winner=red, r_win=4:17:29, win=5:61:68, time=1275/140606
135: reward=72.80 vs -30.32, winner=red, r_win=5:17:28, win=6:61:68, time=920/141525
136: reward=1.50 vs -16.50, winner=draw, r_win=5:17:28, win=6:61:69, time=1800/143326
