1: reward=0.00 vs 8.29, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=143/143
2: reward=0.20 vs 7.89, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=160/303
3: reward=0.20 vs 9.04, win=0 vs 3, recent_win=0 vs 3, draw=0, winner=blue, time=83/386
4: reward=0.20 vs 8.87, win=0 vs 4, recent_win=0 vs 4, draw=0, winner=blue, time=96/482
5: reward=0.20 vs 8.21, win=0 vs 5, recent_win=0 vs 5, draw=0, winner=blue, time=150/632
6: reward=0.20 vs 8.21, win=0 vs 6, recent_win=0 vs 6, draw=0, winner=blue, time=150/782
7: reward=0.20 vs 8.31, win=0 vs 7, recent_win=0 vs 7, draw=0, winner=blue, time=125/907
8: reward=0.20 vs 8.91, win=0 vs 8, recent_win=0 vs 8, draw=0, winner=blue, time=93/1000
9: reward=0.20 vs 8.57, win=0 vs 9, recent_win=0 vs 9, draw=0, winner=blue, time=104/1104
10: reward=0.20 vs 8.30, win=0 vs 10, recent_win=0 vs 10, draw=0, winner=blue, time=126/1229
11: reward=0.40 vs 8.02, win=0 vs 11, recent_win=0 vs 11, draw=0, winner=blue, time=149/1378
12: reward=1.00 vs 8.02, win=0 vs 11, recent_win=0 vs 11, draw=1, winner=draw, time=186/1565
13: reward=1.20 vs 8.02, win=0 vs 11, recent_win=0 vs 11, draw=2, winner=draw, time=205/1770
14: reward=0.80 vs 8.22, win=0 vs 12, recent_win=0 vs 12, draw=2, winner=blue, time=132/1902
15: reward=0.40 vs 7.78, win=0 vs 13, recent_win=0 vs 13, draw=2, winner=blue, time=170/2072
16: reward=0.40 vs 8.98, win=0 vs 14, recent_win=0 vs 14, draw=2, winner=blue, time=87/2159
17: reward=0.40 vs 8.33, win=0 vs 15, recent_win=0 vs 15, draw=2, winner=blue, time=140/2299
18: reward=0.20 vs 8.28, win=0 vs 16, recent_win=0 vs 16, draw=2, winner=blue, time=127/2426
19: reward=0.80 vs 8.10, win=0 vs 17, recent_win=0 vs 17, draw=2, winner=blue, time=142/2568
20: reward=0.60 vs 8.36, win=0 vs 18, recent_win=0 vs 18, draw=2, winner=blue, time=120/2689
21: reward=0.20 vs 8.32, win=0 vs 19, recent_win=0 vs 19, draw=2, winner=blue, time=124/2812
