69: reward=0.00 vs 0.00, winner=draw, r_win=15:6:29, win=20:8:41, time=98/7350
70: reward=2.59 vs 83.89, winner=blue, r_win=15:7:28, win=20:9:41, time=238/7588
71: reward=0.00 vs 0.00, winner=draw, r_win=15:7:28, win=20:9:42, time=98/7686
72: reward=1.50 vs 0.15, winner=draw, r_win=14:7:29, win=20:9:43, time=116/7802
73: reward=95.03 vs 0.00, winner=red, r_win=15:7:28, win=21:9:43, time=76/7878
74: reward=1.00 vs 0.10, winner=draw, r_win=15:7:28, win=21:9:44, time=121/8000
75: reward=0.00 vs 0.00, winner=draw, r_win=15:7:28, win=21:9:45, time=84/8084
76: reward=93.06 vs 0.00, winner=red, r_win=16:7:27, win=22:9:45, time=104/8187
77: reward=1.50 vs 90.50, winner=blue, r_win=16:7:27, win=22:10:45, time=129/8316
78: reward=1.50 vs 0.15, winner=draw, r_win=16:7:27, win=22:10:46, time=128/8444
79: reward=1.50 vs 0.15, winner=draw, r_win=16:7:27, win=22:10:47, time=113/8557
80: reward=1.00 vs 0.00, winner=draw, r_win=16:6:28, win=22:10:48, time=72/8629
81: reward=1.00 vs 90.69, winner=blue, r_win=15:7:28, win=22:11:48, time=126/8755
82: reward=0.00 vs 0.00, winner=draw, r_win=15:7:28, win=22:11:49, time=109/8864
83: reward=0.00 vs 0.00, winner=draw, r_win=14:7:29, win=22:11:50, time=107/8971
84: reward=1.00 vs 0.00, winner=draw, r_win=14:7:29, win=22:11:51, time=114/9085
85: reward=92.79 vs 0.10, winner=red, r_win=14:7:29, win=23:11:51, time=115/9200
86: reward=93.60 vs 0.00, winner=red, r_win=14:7:29, win=24:11:51, time=96/9296
87: reward=0.00 vs 0.00, winner=draw, r_win=14:7:29, win=24:11:52, time=55/9351
88: reward=0.00 vs 0.00, winner=draw, r_win=14:7:29, win=24:11:53, time=53/9404
89: reward=2.59 vs 84.71, winner=blue, r_win=13:8:29, win=24:12:53, time=224/9628
90: reward=0.00 vs 0.00, winner=draw, r_win=12:8:30, win=24:12:54, time=92/9720
91: reward=95.69 vs 0.00, winner=red, r_win=13:7:30, win=25:12:54, time=74/9794
92: reward=0.00 vs 0.00, winner=draw, r_win=13:7:30, win=25:12:55, time=64/9858
93: reward=1.83 vs 90.48, winner=blue, r_win=12:8:30, win=25:13:55, time=144/10002
94: reward=0.00 vs 0.00, winner=draw, r_win=12:8:30, win=25:13:56, time=103/10105
95: reward=2.45 vs 86.78, winner=blue, r_win=12:9:29, win=25:14:56, time=188/10294
96: reward=0.00 vs 0.00, winner=draw, r_win=12:9:29, win=25:14:57, time=77/10371
97: reward=1.83 vs 90.48, winner=blue, r_win=11:10:29, win=25:15:57, time=144/10515
98: reward=96.15 vs 0.00, winner=red, r_win=12:10:28, win=26:15:57, time=61/10577
99: reward=1.50 vs 91.87, winner=blue, r_win=12:11:27, win=26:16:57, time=124/10700
100: reward=1.00 vs 0.10, winner=draw, r_win=11:11:28, win=26:16:58, time=100/10801
101: reward=2.08 vs 89.72, winner=blue, r_win=11:12:27, win=26:17:58, time=157/10957
102: reward=1.83 vs 90.77, winner=blue, r_win=10:13:27, win=26:18:58, time=140/11097
103: reward=95.13 vs 0.00, winner=red, r_win=11:12:27, win=27:18:58, time=82/11179
104: reward=95.45 vs 0.00, winner=red, r_win=12:12:26, win=28:18:58, time=77/11257
