67: reward=-31.75 vs 78.47, winner=blue, r_win=1:42:7, win=4:52:11, time=351/18565
68: reward=-31.12 vs 76.89, winner=blue, r_win=1:42:7, win=4:53:11, time=386/18951
69: reward=-33.76 vs 82.90, winner=blue, r_win=1:42:7, win=4:54:11, time=270/19220
70: reward=-32.43 vs 79.58, winner=blue, r_win=1:43:6, win=4:55:11, time=336/19556
71: reward=-16.37 vs -15.57, winner=draw, r_win=1:43:6, win=4:55:12, time=310/19866
72: reward=-31.54 vs 78.41, winner=blue, r_win=1:43:6, win=4:56:12, time=346/20211
73: reward=-34.65 vs 84.98, winner=blue, r_win=1:44:5, win=4:57:12, time=234/20445
74: reward=-33.63 vs 82.42, winner=blue, r_win=1:44:5, win=4:58:12, time=281/20725
75: reward=-16.25 vs -15.45, winner=draw, r_win=1:44:5, win=4:58:13, time=322/21047
76: reward=-32.90 vs 80.60, winner=blue, r_win=1:44:5, win=4:59:13, time=317/21364
77: reward=-34.80 vs 85.50, winner=blue, r_win=1:44:5, win=4:60:13, time=223/21586
78: reward=-33.70 vs 82.91, winner=blue, r_win=1:44:5, win=4:61:13, time=268/21854
79: reward=-33.08 vs 82.09, winner=blue, r_win=0:45:5, win=4:62:13, time=274/22127
80: reward=-30.27 vs 75.53, winner=blue, r_win=0:45:5, win=4:63:13, time=406/22533
81: reward=-33.93 vs 84.51, winner=blue, r_win=0:46:4, win=4:64:13, time=226/22759
82: reward=-29.99 vs 74.53, winner=blue, r_win=0:47:3, win=4:65:13, time=435/23194
83: reward=-30.61 vs 76.07, winner=blue, r_win=0:47:3, win=4:66:13, time=398/23591
84: reward=-34.08 vs 83.86, winner=blue, r_win=0:48:2, win=4:67:13, time=250/23841
85: reward=-33.38 vs 81.80, winner=blue, r_win=0:48:2, win=4:68:13, time=293/24134
86: reward=-16.55 vs -13.75, winner=draw, r_win=0:47:3, win=4:68:14, time=398/24532
87: reward=-31.42 vs 77.36, winner=blue, r_win=0:47:3, win=4:69:14, time=380/24911
88: reward=-31.08 vs 75.14, winner=blue, r_win=0:47:3, win=4:70:14, time=455/25366
89: reward=78.25 vs -30.52, winner=red, r_win=1:46:3, win=5:70:14, time=316/25681
90: reward=-32.45 vs 76.63, winner=blue, r_win=1:46:3, win=5:71:14, time=450/26131
91: reward=-33.44 vs 81.80, winner=blue, r_win=1:46:3, win=5:72:14, time=295/26426
92: reward=-29.84 vs 74.31, winner=blue, r_win=1:46:3, win=5:73:14, time=438/26863
93: reward=-30.54 vs 73.81, winner=blue, r_win=1:46:3, win=5:74:14, time=490/27353
94: reward=-32.86 vs 81.10, winner=blue, r_win=1:46:3, win=5:75:14, time=299/27651
95: reward=-32.74 vs 80.21, winner=blue, r_win=1:46:3, win=5:76:14, time=325/27976
96: reward=74.58 vs -29.47, winner=red, r_win=2:45:3, win=6:76:14, time=412/28388
97: reward=-31.63 vs 76.07, winner=blue, r_win=2:45:3, win=6:77:14, time=439/28826
98: reward=-30.71 vs 72.29, winner=blue, r_win=2:45:3, win=6:78:14, time=572/29398
99: reward=-32.01 vs 79.27, winner=blue, r_win=2:45:3, win=6:79:14, time=332/29729
100: reward=-31.61 vs 76.03, winner=blue, r_win=2:45:3, win=6:80:14, time=440/30169
101: reward=-31.27 vs 77.13, winner=blue, r_win=2:45:3, win=6:81:14, time=383/30552
102: reward=-32.56 vs 80.20, winner=blue, r_win=2:45:3, win=6:82:14, time=319/30870
103: reward=-29.94 vs 74.70, winner=blue, r_win=2:45:3, win=6:83:14, time=426/31296
104: reward=-15.96 vs -15.36, winner=draw, r_win=2:44:4, win=6:83:15, time=342/31637
105: reward=-32.76 vs 80.40, winner=blue, r_win=2:44:4, win=6:84:15, time=319/31956
106: reward=-33.61 vs 82.98, winner=blue, r_win=2:44:4, win=6:85:15, time=263/32219
107: reward=-32.50 vs 80.35, winner=blue, r_win=2:44:4, win=6:86:15, time=312/32530
108: reward=-30.02 vs 74.76, winner=blue, r_win=2:44:4, win=6:87:15, time=427/32957
109: reward=-29.52 vs 71.41, winner=blue, r_win=2:44:4, win=6:88:15, time=556/33512
110: reward=-24.88 vs 56.51, winner=blue, r_win=2:44:4, win=6:89:15, time=1750/35262
111: reward=-34.76 vs 86.00, winner=blue, r_win=2:44:4, win=6:90:15, time=207/35469
112: reward=-31.78 vs 78.39, winner=blue, r_win=2:44:4, win=6:91:15, time=355/35824
113: reward=-31.75 vs 78.47, winner=blue, r_win=2:44:4, win=6:92:15, time=351/36174
114: reward=-30.78 vs 76.79, winner=blue, r_win=2:44:4, win=6:93:15, time=377/36551
115: reward=-33.16 vs 81.55, winner=blue, r_win=2:44:4, win=6:94:15, time=294/36844
116: reward=-29.34 vs 73.19, winner=blue, r_win=2:44:4, win=6:95:15, time=464/37308
117: reward=-24.11 vs 59.66, winner=blue, r_win=2:44:4, win=6:96:15, time=1012/38320
118: reward=-31.34 vs 77.60, winner=blue, r_win=2:44:4, win=6:97:15, time=368/38687
119: reward=-35.88 vs 89.85, winner=blue, r_win=2:44:4, win=6:98:15, time=135/38822
120: reward=-25.82 vs 64.55, winner=blue, r_win=2:44:4, win=6:99:15, time=741/39563
121: reward=-24.26 vs 60.95, winner=blue, r_win=2:45:3, win=6:100:15, time=901/40463
122: reward=-32.34 vs 80.55, winner=blue, r_win=2:45:3, win=6:101:15, time=300/40763
123: reward=-21.58 vs 54.26, winner=blue, r_win=2:45:3, win=6:102:15, time=1450/42213
124: reward=-31.03 vs 78.18, winner=blue, r_win=2:45:3, win=6:103:15, time=336/42549
125: reward=-32.55 vs 81.98, winner=blue, r_win=2:46:2, win=6:104:15, time=261/42809
126: reward=-33.01 vs 82.68, winner=blue, r_win=2:46:2, win=6:105:15, time=253/43063
127: reward=-31.94 vs 80.46, winner=blue, r_win=2:46:2, win=6:106:15, time=290/43352
128: reward=-25.07 vs 63.57, winner=blue, r_win=2:46:2, win=6:107:15, time=757/44109
129: reward=-31.08 vs 77.69, winner=blue, r_win=2:46:2, win=6:108:15, time=355/44464
130: reward=-31.66 vs 79.75, winner=blue, r_win=2:46:2, win=6:109:15, time=304/44767
131: reward=-32.26 vs 81.24, winner=blue, r_win=2:46:2, win=6:110:15, time=275/45042
132: reward=-34.75 vs 86.59, winner=blue, r_win=2:46:2, win=6:111:15, time=191/45232
133: reward=-16.33 vs -16.33, winner=draw, r_win=2:45:3, win=6:111:16, time=275/45507
134: reward=-34.37 vs 85.92, winner=blue, r_win=2:45:3, win=6:112:16, time=198/45705
135: reward=-23.97 vs 59.77, winner=blue, r_win=2:45:3, win=6:113:16, time=986/46691
136: reward=-32.63 vs 81.42, winner=blue, r_win=2:46:2, win=6:114:16, time=281/46972
137: reward=-31.40 vs 77.90, winner=blue, r_win=2:46:2, win=6:115:16, time=359/47330
138: reward=-30.72 vs 76.49, winner=blue, r_win=2:46:2, win=6:116:16, time=386/47716
139: reward=-36.02 vs 89.91, winner=blue, r_win=1:47:2, win=6:117:16, time=137/47853
140: reward=-21.67 vs 54.33, winner=blue, r_win=1:47:2, win=6:118:16, time=1455/49307
141: reward=-16.30 vs -17.70, winner=draw, r_win=1:46:3, win=6:118:17, time=214/49521
142: reward=-31.54 vs 79.15, winner=blue, r_win=1:46:3, win=6:119:17, time=320/49841
143: reward=-31.66 vs 78.55, winner=blue, r_win=1:46:3, win=6:120:17, time=345/50185
144: reward=-29.90 vs 74.91, winner=blue, r_win=1:46:3, win=6:121:17, time=416/50601
145: reward=-30.96 vs 77.54, winner=blue, r_win=1:46:3, win=6:122:17, time=356/50957
146: reward=-31.58 vs 79.11, winner=blue, r_win=0:47:3, win=6:123:17, time=323/51279
147: reward=-32.44 vs 80.96, winner=blue, r_win=0:47:3, win=6:124:17, time=290/51569
148: reward=-30.65 vs 76.32, winner=blue, r_win=0:47:3, win=6:125:17, time=390/51958
149: reward=-26.15 vs 65.37, winner=blue, r_win=0:47:3, win=6:126:17, time=708/52666
150: reward=-30.69 vs 76.74, winner=blue, r_win=0:47:3, win=6:127:17, time=376/53042
151: reward=-9.60 vs -11.40, winner=draw, r_win=0:46:4, win=6:127:18, time=1800/54842
152: reward=-21.87 vs 54.81, winner=blue, r_win=0:46:4, win=6:128:18, time=1392/56234
153: reward=-32.55 vs 81.38, winner=blue, r_win=0:46:4, win=6:129:18, time=280/56513
154: reward=-25.01 vs 64.02, winner=blue, r_win=0:47:3, win=6:130:18, time=722/57235
155: reward=-36.58 vs 91.44, winner=blue, r_win=0:47:3, win=6:131:18, time=113/57348
156: reward=-24.56 vs 63.04, winner=blue, r_win=0:47:3, win=6:132:18, time=758/58105
157: reward=-26.20 vs 66.24, winner=blue, r_win=0:47:3, win=6:133:18, time=657/58762
158: reward=-30.30 vs 75.89, winner=blue, r_win=0:47:3, win=6:134:18, time=393/59155
159: reward=-14.71 vs -14.31, winner=draw, r_win=0:46:4, win=6:134:19, time=478/59632
160: reward=-25.27 vs 63.17, winner=blue, r_win=0:46:4, win=6:135:19, time=801/60433
161: reward=-31.59 vs 78.68, winner=blue, r_win=0:46:4, win=6:136:19, time=338/60770
162: reward=-21.45 vs 53.78, winner=blue, r_win=0:46:4, win=6:137:19, time=1534/62304
163: reward=-32.65 vs 81.92, winner=blue, r_win=0:46:4, win=6:138:19, time=266/62570
164: reward=-33.88 vs 85.01, winner=blue, r_win=0:46:4, win=6:139:19, time=210/62780
165: reward=-20.21 vs 51.88, winner=blue, r_win=0:46:4, win=6:140:19, time=1733/64513
166: reward=-31.94 vs 80.30, winner=blue, r_win=0:46:4, win=6:141:19, time=295/64808
167: reward=-31.42 vs 79.15, winner=blue, r_win=0:46:4, win=6:142:19, time=316/65124
168: reward=-27.59 vs 69.57, winner=blue, r_win=0:46:4, win=6:143:19, time=551/65674
169: reward=-32.47 vs 81.33, winner=blue, r_win=0:46:4, win=6:144:19, time=279/65953
170: reward=-31.13 vs 78.28, winner=blue, r_win=0:46:4, win=6:145:19, time=336/66288
171: reward=-31.34 vs 78.81, winner=blue, r_win=0:46:4, win=6:146:19, time=325/66613
172: reward=-31.94 vs 80.15, winner=blue, r_win=0:46:4, win=6:147:19, time=300/66913
173: reward=-24.10 vs 61.76, winner=blue, r_win=0:46:4, win=6:148:19, time=820/67732
174: reward=-27.83 vs 70.18, winner=blue, r_win=0:46:4, win=6:149:19, time=533/68265
175: reward=-26.09 vs 65.07, winner=blue, r_win=0:46:4, win=6:150:19, time=724/68988
176: reward=-30.26 vs 75.49, winner=blue, r_win=0:46:4, win=6:151:19, time=407/69395
177: reward=-12.42 vs -14.22, winner=draw, r_win=0:45:5, win=6:151:20, time=662/70057
178: reward=-30.49 vs 76.37, winner=blue, r_win=0:45:5, win=6:152:20, time=382/70438
179: reward=-32.12 vs 80.45, winner=blue, r_win=0:45:5, win=6:153:20, time=296/70734
180: reward=-33.18 vs 83.10, winner=blue, r_win=0:45:5, win=6:154:20, time=246/70980
181: reward=-23.22 vs 58.20, winner=blue, r_win=0:45:5, win=6:155:20, time=1078/72057
182: reward=-27.74 vs 69.51, winner=blue, r_win=0:45:5, win=6:156:20, time=562/72619
183: reward=-32.21 vs 80.97, winner=blue, r_win=0:46:4, win=6:157:20, time=282/72900
184: reward=-24.93 vs 63.37, winner=blue, r_win=0:46:4, win=6:158:20, time=761/73661
185: reward=-32.02 vs 80.35, winner=blue, r_win=0:46:4, win=6:159:20, time=296/73957
186: reward=-29.74 vs 74.65, winner=blue, r_win=0:46:4, win=6:160:20, time=420/74376
187: reward=-24.56 vs 62.91, winner=blue, r_win=0:46:4, win=6:161:20, time=768/75144
188: reward=-33.18 vs 83.10, winner=blue, r_win=0:46:4, win=6:162:20, time=246/75389
189: reward=-32.93 vs 82.64, winner=blue, r_win=0:46:4, win=6:163:20, time=252/75642
190: reward=-30.49 vs 76.54, winner=blue, r_win=0:46:4, win=6:164:20, time=376/76017
191: reward=-32.60 vs 82.09, winner=blue, r_win=0:47:3, win=6:165:20, time=259/76276
192: reward=-32.78 vs 82.56, winner=blue, r_win=0:47:3, win=6:166:20, time=250/76526
193: reward=-26.12 vs 65.76, winner=blue, r_win=0:47:3, win=6:167:20, time=682/77208
194: reward=-31.93 vs 80.56, winner=blue, r_win=0:47:3, win=6:168:20, time=286/77493
195: reward=-32.21 vs 80.97, winner=blue, r_win=0:47:3, win=6:169:20, time=282/77775
196: reward=-34.07 vs 85.62, winner=blue, r_win=0:47:3, win=6:170:20, time=198/77973
197: reward=-26.95 vs 68.27, winner=blue, r_win=0:47:3, win=6:171:20, time=585/78558
198: reward=-11.76 vs -13.76, winner=draw, r_win=0:46:4, win=6:171:21, time=773/79330
199: reward=-32.17 vs 80.87, winner=blue, r_win=0:46:4, win=6:172:21, time=284/79614
200: reward=76.06 vs -30.54, winner=red, r_win=1:45:4, win=7:172:21, time=396/80010
201: reward=-24.64 vs 62.94, winner=blue, r_win=1:46:3, win=7:173:21, time=771/80780
202: reward=-31.84 vs 80.05, winner=blue, r_win=1:46:3, win=7:174:21, time=300/81080
203: reward=-31.04 vs 77.91, winner=blue, r_win=1:46:3, win=7:175:21, time=346/81425
204: reward=-24.61 vs 63.03, winner=blue, r_win=1:46:3, win=7:176:21, time=763/82188
205: reward=-23.40 vs 60.16, winner=blue, r_win=1:46:3, win=7:177:21, time=895/83083
206: reward=-32.50 vs 81.71, winner=blue, r_win=1:46:3, win=7:178:21, time=268/83350
207: reward=-31.30 vs 78.71, winner=blue, r_win=1:46:3, win=7:179:21, time=327/83677
208: reward=-32.18 vs 81.19, winner=blue, r_win=1:46:3, win=7:180:21, time=274/83950
209: reward=-34.40 vs 86.59, winner=blue, r_win=1:47:2, win=7:181:21, time=181/84131
210: reward=-32.91 vs 82.58, winner=blue, r_win=1:47:2, win=7:182:21, time=253/84385
211: reward=-25.47 vs 65.02, winner=blue, r_win=1:47:2, win=7:183:21, time=687/85071
212: reward=-31.26 vs 78.76, winner=blue, r_win=1:47:2, win=7:184:21, time=324/85395
213: reward=-34.25 vs 86.09, winner=blue, r_win=1:47:2, win=7:185:21, time=191/85586
214: reward=-33.94 vs 85.29, winner=blue, r_win=1:47:2, win=7:186:21, time=204/85789
215: reward=-34.10 vs 85.69, winner=blue, r_win=1:47:2, win=7:187:21, time=197/85987
216: reward=-33.27 vs 83.79, winner=blue, r_win=1:47:2, win=7:188:21, time=228/86215
217: reward=-34.36 vs 86.35, winner=blue, r_win=1:47:2, win=7:189:21, time=186/86401
218: reward=-34.17 vs 85.89, winner=blue, r_win=1:47:2, win=7:190:21, time=194/86595
219: reward=-33.50 vs 84.20, winner=blue, r_win=1:47:2, win=7:191:21, time=223/86818
220: reward=-33.94 vs 85.29, winner=blue, r_win=1:47:2, win=7:192:21, time=204/87022
221: reward=-33.35 vs 83.82, winner=blue, r_win=1:47:2, win=7:193:21, time=229/87251
222: reward=-14.59 vs -15.39, winner=draw, r_win=1:46:3, win=7:193:22, time=418/87668
223: reward=-32.23 vs 81.46, winner=blue, r_win=1:46:3, win=7:194:22, time=267/87935
224: reward=-33.58 vs 84.55, winner=blue, r_win=1:46:3, win=7:195:22, time=215/88150
225: reward=-30.19 vs 76.24, winner=blue, r_win=1:46:3, win=7:196:22, time=376/88526
226: reward=-34.23 vs 86.19, winner=blue, r_win=1:46:3, win=7:197:22, time=187/88713
227: reward=-31.40 vs 79.25, winner=blue, r_win=1:47:2, win=7:198:22, time=312/89025
228: reward=-25.93 vs 66.18, winner=blue, r_win=1:47:2, win=7:199:22, time=645/89669
229: reward=-32.09 vs 80.82, winner=blue, r_win=1:47:2, win=7:200:22, time=283/89952
230: reward=-31.09 vs 78.46, winner=blue, r_win=1:47:2, win=7:201:22, time=328/90279
231: reward=-33.23 vs 83.51, winner=blue, r_win=1:47:2, win=7:202:22, time=235/90514
232: reward=-34.03 vs 85.82, winner=blue, r_win=1:47:2, win=7:203:22, time=192/90706
233: reward=-33.92 vs 85.39, winner=blue, r_win=1:47:2, win=7:204:22, time=201/90906
234: reward=-33.86 vs 85.10, winner=blue, r_win=1:47:2, win=7:205:22, time=207/91114
235: reward=-26.05 vs 66.03, winner=blue, r_win=1:47:2, win=7:206:22, time=661/91774
236: reward=-31.07 vs 78.41, winner=blue, r_win=1:47:2, win=7:207:22, time=329/92103
237: reward=-32.62 vs 82.15, winner=blue, r_win=1:47:2, win=7:208:22, time=258/92360
238: reward=-33.53 vs 84.42, winner=blue, r_win=1:47:2, win=7:209:22, time=217/92578
239: reward=-30.35 vs 76.77, winner=blue, r_win=1:47:2, win=7:210:22, time=362/92939
240: reward=-32.83 vs 82.68, winner=blue, r_win=1:47:2, win=7:211:22, time=248/93187
241: reward=-35.85 vs 89.47, winner=blue, r_win=1:47:2, win=7:212:22, time=143/93330
242: reward=-33.73 vs 84.78, winner=blue, r_win=1:47:2, win=7:213:22, time=213/93543
243: reward=-34.61 vs 86.96, winner=blue, r_win=1:47:2, win=7:214:22, time=176/93720
244: reward=-24.69 vs 63.52, winner=blue, r_win=1:47:2, win=7:215:22, time=734/94453
245: reward=-34.13 vs 85.92, winner=blue, r_win=1:47:2, win=7:216:22, time=192/94645
246: reward=-33.86 vs 85.26, winner=blue, r_win=1:47:2, win=7:217:22, time=203/94848
247: reward=-34.17 vs 85.89, winner=blue, r_win=1:47:2, win=7:218:22, time=194/95042
248: reward=-30.52 vs 77.05, winner=blue, r_win=1:48:1, win=7:219:22, time=358/95399
249: reward=-34.75 vs 87.03, winner=blue, r_win=1:48:1, win=7:220:22, time=179/95578
250: reward=-37.52 vs 93.79, winner=blue, r_win=0:49:1, win=7:221:22, time=80/95658
251: reward=-25.14 vs 64.19, winner=blue, r_win=0:49:1, win=7:222:22, time=719/96376
252: reward=-29.39 vs 74.22, winner=blue, r_win=0:49:1, win=7:223:22, time=423/96799
253: reward=-24.92 vs 63.65, winner=blue, r_win=0:49:1, win=7:224:22, time=741/97539
254: reward=-28.00 vs 70.45, winner=blue, r_win=0:49:1, win=7:225:22, time=528/98067
255: reward=-33.68 vs 84.65, winner=blue, r_win=0:49:1, win=7:226:22, time=215/98282
256: reward=-27.36 vs 69.31, winner=blue, r_win=0:49:1, win=7:227:22, time=553/98834
257: reward=-32.20 vs 81.24, winner=blue, r_win=0:49:1, win=7:228:22, time=273/99107
258: reward=-26.50 vs 67.31, winner=blue, r_win=0:49:1, win=7:229:22, time=613/99720
259: reward=-33.89 vs 85.16, winner=blue, r_win=0:49:1, win=7:230:22, time=206/99926
260: reward=-33.37 vs 83.89, winner=blue, r_win=0:49:1, win=7:231:22, time=228/100154
261: reward=-30.63 vs 77.02, winner=blue, r_win=0:49:1, win=7:232:22, time=363/100516
262: reward=-30.42 vs 76.95, winner=blue, r_win=0:49:1, win=7:233:22, time=358/100874
263: reward=-30.96 vs 78.46, winner=blue, r_win=0:49:1, win=7:234:22, time=324/101198
264: reward=-33.70 vs 84.56, winner=blue, r_win=0:49:1, win=7:235:22, time=218/101416
265: reward=-27.36 vs 69.14, winner=blue, r_win=0:49:1, win=7:236:22, time=561/101976
266: reward=-32.13 vs 80.92, winner=blue, r_win=0:49:1, win=7:237:22, time=281/102257
267: reward=-25.54 vs 64.91, winner=blue, r_win=0:49:1, win=7:238:22, time=699/102956
268: reward=-31.30 vs 78.71, winner=blue, r_win=0:49:1, win=7:239:22, time=327/103282
269: reward=-31.82 vs 80.00, winner=blue, r_win=0:49:1, win=7:240:22, time=301/103583
270: reward=-32.93 vs 83.51, winner=blue, r_win=0:49:1, win=7:241:22, time=226/103809
271: reward=-34.00 vs 85.59, winner=blue, r_win=0:49:1, win=7:242:22, time=197/104006
272: reward=-25.16 vs 64.09, winner=blue, r_win=0:50:0, win=7:243:22, time=727/104733
273: reward=-35.95 vs 89.88, winner=blue, r_win=0:50:0, win=7:244:22, time=136/104868
274: reward=-36.43 vs 91.07, winner=blue, r_win=0:50:0, win=7:245:22, time=118/104986
275: reward=-35.05 vs 88.67, winner=blue, r_win=0:50:0, win=7:246:22, time=143/105130
276: reward=-34.50 vs 87.15, winner=blue, r_win=0:50:0, win=7:247:22, time=169/105299
277: reward=-35.02 vs 88.60, winner=blue, r_win=0:50:0, win=7:248:22, time=144/105443
278: reward=-33.74 vs 85.26, winner=blue, r_win=0:50:0, win=7:249:22, time=199/105643
279: reward=-34.82 vs 87.34, winner=blue, r_win=0:50:0, win=7:250:22, time=172/105815
280: reward=-32.26 vs 81.86, winner=blue, r_win=0:50:0, win=7:251:22, time=256/106070
281: reward=-32.00 vs 81.49, winner=blue, r_win=0:50:0, win=7:252:22, time=259/106329
282: reward=-33.55 vs 84.48, winner=blue, r_win=0:50:0, win=7:253:22, time=216/106545
283: reward=-34.45 vs 87.18, winner=blue, r_win=0:50:0, win=7:254:22, time=166/106711
284: reward=-27.09 vs 69.52, winner=blue, r_win=0:50:0, win=7:255:22, time=529/107240
285: reward=-34.57 vs 87.18, winner=blue, r_win=0:50:0, win=7:256:22, time=170/107410
286: reward=-31.74 vs 80.85, winner=blue, r_win=0:50:0, win=7:257:22, time=271/107680
287: reward=-27.25 vs 69.94, winner=blue, r_win=0:50:0, win=7:258:22, time=517/108197
288: reward=-31.00 vs 78.55, winner=blue, r_win=0:50:0, win=7:259:22, time=322/108518
289: reward=-12.01 vs -15.61, winner=draw, r_win=0:49:1, win=7:259:23, time=579/109097
290: reward=-25.08 vs 65.55, winner=blue, r_win=0:49:1, win=7:260:23, time=632/109729
291: reward=-32.80 vs 83.05, winner=blue, r_win=0:49:1, win=7:261:23, time=236/109964
