68: reward=-41.22 vs 97.56, winner=blue, r_win=7:31:12, win=10:43:15, time=403/27431
69: reward=-25.37 vs 4.63, winner=draw, r_win=7:30:13, win=10:43:16, time=373/27803
70: reward=-39.90 vs 95.76, winner=blue, r_win=7:30:13, win=10:44:16, time=486/28289
71: reward=66.32 vs -12.73, winner=red, r_win=8:29:13, win=11:44:16, time=571/28860
72: reward=-36.61 vs 94.51, winner=blue, r_win=7:30:13, win=11:45:16, time=381/29240
73: reward=-40.27 vs 98.44, winner=blue, r_win=7:30:13, win=11:46:16, time=430/29670
74: reward=-34.22 vs 90.55, winner=blue, r_win=7:30:13, win=11:47:16, time=296/29965
75: reward=-39.06 vs 98.14, winner=blue, r_win=7:30:13, win=11:48:16, time=356/30321
76: reward=-23.31 vs 3.69, winner=draw, r_win=7:29:14, win=11:48:17, time=506/30827
77: reward=-38.76 vs 96.89, winner=blue, r_win=7:29:14, win=11:49:17, time=431/31257
78: reward=-36.78 vs 92.70, winner=blue, r_win=7:29:14, win=11:50:17, time=293/31550
79: reward=-39.90 vs 95.24, winner=blue, r_win=7:29:14, win=11:51:17, time=558/32107
80: reward=-43.24 vs 101.35, winner=blue, r_win=7:29:14, win=11:52:17, time=432/32539
81: reward=-37.38 vs 91.44, winner=blue, r_win=7:30:13, win=11:53:17, time=241/32780
82: reward=-36.24 vs 91.35, winner=blue, r_win=7:31:12, win=11:54:17, time=320/33100
83: reward=-25.97 vs 11.53, winner=draw, r_win=7:31:12, win=11:54:18, time=483/33583
84: reward=75.32 vs -18.83, winner=red, r_win=8:30:12, win=12:54:18, time=397/33979
85: reward=-38.36 vs 95.65, winner=blue, r_win=8:30:12, win=12:55:18, time=314/34293
86: reward=-37.12 vs 91.56, winner=blue, r_win=8:30:12, win=12:56:18, time=326/34618
87: reward=-39.62 vs 96.80, winner=blue, r_win=8:31:11, win=12:57:18, time=301/34919
88: reward=-35.33 vs 90.82, winner=blue, r_win=7:32:11, win=12:58:18, time=526/35445
89: reward=-39.61 vs 97.03, winner=blue, r_win=7:33:10, win=12:59:18, time=440/35884
90: reward=-41.13 vs 98.57, winner=blue, r_win=6:34:10, win=12:60:18, time=439/36323
91: reward=-37.38 vs 92.20, winner=blue, r_win=6:35:9, win=12:61:18, time=313/36635
92: reward=-26.16 vs 9.84, winner=draw, r_win=6:34:10, win=12:61:19, time=459/37094
93: reward=-35.81 vs 91.27, winner=blue, r_win=5:35:10, win=12:62:19, time=398/37492
94: reward=-25.27 vs 6.23, winner=draw, r_win=4:35:11, win=12:62:20, time=444/37935
95: reward=-26.81 vs 9.19, winner=draw, r_win=4:34:12, win=12:62:21, time=439/38374
96: reward=-22.30 vs -1.30, winner=draw, r_win=4:33:13, win=12:62:22, time=327/38700
97: reward=73.46 vs -16.09, winner=red, r_win=5:32:13, win=13:62:22, time=328/39028
98: reward=-36.00 vs 92.99, winner=blue, r_win=5:33:12, win=13:63:22, time=259/39287
99: reward=-36.86 vs 92.65, winner=blue, r_win=5:33:12, win=13:64:22, time=314/39600
100: reward=-23.36 vs 6.64, winner=draw, r_win=5:32:13, win=13:64:23, time=433/40033
101: reward=-30.66 vs 87.66, winner=blue, r_win=5:32:13, win=13:65:23, time=324/40356
102: reward=-25.53 vs 10.47, winner=draw, r_win=5:31:14, win=13:65:24, time=476/40832
103: reward=71.14 vs -14.55, winner=red, r_win=6:30:14, win=14:65:24, time=413/41245
104: reward=67.16 vs -9.47, winner=red, r_win=7:29:14, win=15:65:24, time=389/41633
105: reward=68.83 vs -13.23, winner=red, r_win=8:29:13, win=16:65:24, time=374/42007
106: reward=-40.14 vs 96.36, winner=blue, r_win=8:29:13, win=16:66:24, time=470/42476
107: reward=-20.71 vs 0.29, winner=draw, r_win=8:28:14, win=16:66:25, time=392/42868
108: reward=-36.09 vs 93.47, winner=blue, r_win=8:29:13, win=16:67:25, time=382/43250
109: reward=-34.95 vs 90.13, winner=blue, r_win=8:30:12, win=16:68:25, time=335/43584
110: reward=-24.05 vs 2.95, winner=draw, r_win=7:30:13, win=16:68:26, time=410/43994
111: reward=-39.52 vs 97.55, winner=blue, r_win=7:30:13, win=16:69:26, time=358/44351
112: reward=-26.49 vs 11.01, winner=draw, r_win=7:30:13, win=16:69:27, time=551/44902
113: reward=-39.37 vs 95.69, winner=blue, r_win=7:30:13, win=16:70:27, time=366/45268
114: reward=-38.20 vs 94.00, winner=blue, r_win=7:31:12, win=16:71:27, time=297/45564
115: reward=-22.38 vs 3.12, winner=draw, r_win=7:30:13, win=16:71:28, time=372/45936
116: reward=-34.30 vs 90.75, winner=blue, r_win=6:31:13, win=16:72:28, time=292/46227
117: reward=-39.04 vs 95.59, winner=blue, r_win=6:31:13, win=16:73:28, time=477/46704
118: reward=-36.99 vs 97.71, winner=blue, r_win=6:31:13, win=16:74:28, time=448/47152
119: reward=59.74 vs -0.20, winner=red, r_win=7:31:12, win=17:74:28, time=500/47651
120: reward=-34.68 vs 90.69, winner=blue, r_win=7:31:12, win=17:75:28, time=377/48028
121: reward=-35.90 vs 91.50, winner=blue, r_win=6:32:12, win=17:76:28, time=240/48268
