44: reward=-6.10 vs 129.46, reward_evade=1.00 vs 72.00, win=7 vs 32, recent_win=7 vs 32, draw=5, winner=blue, time=1218/35282
45: reward=-1.40 vs 98.01, reward_evade=1.00 vs 15.00, win=7 vs 33, recent_win=7 vs 33, draw=5, winner=blue, time=268/35549
46: reward=-2.40 vs 100.39, reward_evade=1.00 vs 25.00, win=7 vs 34, recent_win=7 vs 34, draw=5, winner=blue, time=431/35980
47: reward=-0.90 vs 97.14, reward_evade=1.00 vs 11.00, win=7 vs 35, recent_win=7 vs 35, draw=5, winner=blue, time=212/36192
48: reward=-2.50 vs 36.90, reward_evade=1.00 vs 36.00, win=7 vs 35, recent_win=7 vs 35, draw=6, winner=draw, time=659/36850
49: reward=-3.50 vs 142.02, reward_evade=5.00 vs 87.00, win=7 vs 36, recent_win=7 vs 36, draw=6, winner=blue, time=1443/38293
50: reward=-1.30 vs 96.96, reward_evade=5.00 vs 14.00, win=7 vs 37, recent_win=7 vs 37, draw=6, winner=blue, time=269/38561
51: reward=-8.50 vs 104.80, reward_evade=2.00 vs 105.00, win=7 vs 37, recent_win=7 vs 36, draw=7, winner=draw, time=1800/40362
52: reward=2.30 vs 133.57, reward_evade=10.00 vs 78.00, win=7 vs 38, recent_win=7 vs 36, draw=7, winner=blue, time=1317/41679
53: reward=3.80 vs 108.61, reward_evade=8.00 vs 44.00, win=7 vs 39, recent_win=6 vs 37, draw=7, winner=blue, time=747/42426
54: reward=1.20 vs 119.15, reward_evade=7.00 vs 59.00, win=7 vs 40, recent_win=6 vs 37, draw=7, winner=blue, time=975/43400
55: reward=-1.30 vs 97.22, reward_evade=7.00 vs 14.00, win=7 vs 41, recent_win=6 vs 37, draw=7, winner=blue, time=264/43664
56: reward=-1.80 vs 106.79, reward_evade=2.00 vs 39.00, win=7 vs 42, recent_win=6 vs 37, draw=7, winner=blue, time=648/44311
57: reward=58.23 vs 60.50, reward_evade=6.00 vs 61.00, win=8 vs 42, recent_win=7 vs 36, draw=7, winner=red, time=1152/45464
58: reward=-2.90 vs 39.00, reward_evade=6.00 vs 39.00, win=8 vs 42, recent_win=7 vs 35, draw=8, winner=draw, time=721/46184
59: reward=-1.10 vs 99.41, reward_evade=1.00 vs 22.00, win=8 vs 43, recent_win=6 vs 36, draw=8, winner=blue, time=381/46565
60: reward=-2.10 vs 22.00, reward_evade=1.00 vs 21.00, win=8 vs 43, recent_win=6 vs 36, draw=9, winner=draw, time=374/46938
61: reward=-0.10 vs 10.00, reward_evade=1.00 vs 10.00, win=8 vs 43, recent_win=5 vs 36, draw=10, winner=draw, time=216/47154
62: reward=-1.10 vs 97.76, reward_evade=1.00 vs 12.00, win=8 vs 44, recent_win=5 vs 36, draw=10, winner=blue, time=218/47373
63: reward=79.81 vs 13.00, reward_evade=1.00 vs 13.00, win=9 vs 44, recent_win=5 vs 36, draw=10, winner=red, time=323/47695
64: reward=-0.20 vs 12.00, reward_evade=1.00 vs 12.00, win=9 vs 44, recent_win=5 vs 35, draw=11, winner=draw, time=231/47927
65: reward=-1.30 vs 97.90, reward_evade=1.00 vs 14.00, win=9 vs 45, recent_win=5 vs 35, draw=11, winner=blue, time=251/48178
66: reward=0.20 vs 106.28, reward_evade=4.00 vs 40.00, win=9 vs 46, recent_win=5 vs 35, draw=11, winner=blue, time=696/48873
67: reward=0.00 vs 10.00, reward_evade=4.00 vs 10.00, win=9 vs 46, recent_win=5 vs 34, draw=12, winner=draw, time=218/49092
68: reward=-2.10 vs 31.00, reward_evade=4.00 vs 31.00, win=9 vs 46, recent_win=5 vs 33, draw=13, winner=draw, time=560/49651
69: reward=-0.70 vs 17.00, reward_evade=4.00 vs 17.00, win=9 vs 46, recent_win=5 vs 33, draw=14, winner=draw, time=333/49984
70: reward=-1.10 vs 97.76, reward_evade=4.00 vs 12.00, win=9 vs 47, recent_win=5 vs 33, draw=14, winner=blue, time=218/50202
71: reward=-1.40 vs 98.66, reward_evade=4.00 vs 15.00, win=9 vs 48, recent_win=4 vs 34, draw=14, winner=blue, time=256/50458
72: reward=-0.50 vs 110.19, reward_evade=4.00 vs 46.00, win=9 vs 49, recent_win=4 vs 34, draw=14, winner=blue, time=782/51239
73: reward=5.50 vs 99.83, reward_evade=8.00 vs 27.00, win=9 vs 50, recent_win=4 vs 34, draw=14, winner=blue, time=476/51715
74: reward=-1.20 vs 98.25, reward_evade=8.00 vs 13.00, win=9 vs 51, recent_win=4 vs 34, draw=14, winner=blue, time=227/51942
75: reward=-1.10 vs 98.27, reward_evade=8.00 vs 12.00, win=9 vs 52, recent_win=4 vs 34, draw=14, winner=blue, time=209/52151
76: reward=-0.70 vs 97.73, reward_evade=1.00 vs 19.00, win=9 vs 53, recent_win=4 vs 34, draw=14, winner=blue, time=352/52503
77: reward=-1.70 vs 98.87, reward_evade=1.00 vs 19.00, win=9 vs 54, recent_win=4 vs 34, draw=14, winner=blue, time=330/52832
78: reward=0.50 vs 100.06, reward_evade=3.00 vs 26.00, win=9 vs 55, recent_win=4 vs 34, draw=14, winner=blue, time=457/53289
79: reward=-3.60 vs 37.00, reward_evade=3.00 vs 36.00, win=9 vs 55, recent_win=4 vs 33, draw=15, winner=draw, time=619/53908
80: reward=-1.80 vs 98.87, reward_evade=3.00 vs 19.00, win=9 vs 56, recent_win=4 vs 33, draw=15, winner=blue, time=330/54237
81: reward=-0.60 vs 98.60, reward_evade=1.00 vs 17.00, win=9 vs 57, recent_win=4 vs 33, draw=15, winner=blue, time=293/54530
82: reward=-3.20 vs 53.80, reward_evade=2.00 vs 53.00, win=9 vs 57, recent_win=4 vs 33, draw=16, winner=draw, time=881/55410
83: reward=-1.20 vs 98.00, reward_evade=2.00 vs 13.00, win=9 vs 58, recent_win=4 vs 34, draw=16, winner=blue, time=231/55642
84: reward=-0.10 vs 11.00, reward_evade=2.00 vs 11.00, win=9 vs 58, recent_win=3 vs 34, draw=17, winner=draw, time=227/55869
85: reward=-0.50 vs 15.00, reward_evade=2.00 vs 15.00, win=9 vs 58, recent_win=3 vs 33, draw=18, winner=draw, time=310/56178
86: reward=62.18 vs 81.60, reward_evade=15.00 vs 83.00, win=10 vs 58, recent_win=4 vs 32, draw=18, winner=red, time=1434/57612
87: reward=-2.80 vs 102.22, reward_evade=15.00 vs 29.00, win=10 vs 59, recent_win=4 vs 32, draw=18, winner=blue, time=487/58099
88: reward=0.20 vs 112.12, reward_evade=5.00 vs 50.00, win=10 vs 60, recent_win=4 vs 32, draw=18, winner=blue, time=876/58975
89: reward=-3.60 vs 142.78, reward_evade=5.00 vs 88.00, win=10 vs 61, recent_win=4 vs 32, draw=18, winner=blue, time=1475/60449
90: reward=-1.20 vs 100.65, reward_evade=2.00 vs 33.00, win=10 vs 62, recent_win=4 vs 32, draw=18, winner=blue, time=653/61102
