68: reward=79.25 vs -23.00, winner=red, r_win=7:40:3, win=13:49:6, time=236/19386
69: reward=-36.66 vs 94.14, winner=blue, r_win=7:40:3, win=13:50:6, time=275/19660
70: reward=-33.45 vs 90.61, winner=blue, r_win=7:40:3, win=13:51:6, time=285/19945
71: reward=-38.26 vs 94.64, winner=blue, r_win=7:40:3, win=13:52:6, time=247/20192
72: reward=-35.04 vs 92.60, winner=blue, r_win=7:40:3, win=13:53:6, time=257/20448
73: reward=-33.20 vs 90.00, winner=blue, r_win=7:40:3, win=13:54:6, time=297/20745
74: reward=-38.36 vs 94.66, winner=blue, r_win=7:40:3, win=13:55:6, time=139/20884
75: reward=-40.08 vs 96.94, winner=blue, r_win=7:40:3, win=13:56:6, time=232/21116
76: reward=-39.45 vs 96.13, winner=blue, r_win=7:40:3, win=13:57:6, time=335/21451
77: reward=-39.16 vs 95.65, winner=blue, r_win=7:40:3, win=13:58:6, time=186/21637
78: reward=-39.40 vs 95.76, winner=blue, r_win=6:41:3, win=13:59:6, time=218/21855
79: reward=-37.35 vs 94.38, winner=blue, r_win=6:41:3, win=13:60:6, time=242/22098
80: reward=-38.78 vs 95.44, winner=blue, r_win=6:41:3, win=13:61:6, time=142/22240
81: reward=-33.15 vs 89.37, winner=blue, r_win=6:41:3, win=13:62:6, time=351/22591
82: reward=-38.87 vs 94.92, winner=blue, r_win=5:42:3, win=13:63:6, time=198/22789
83: reward=81.81 vs -25.03, winner=red, r_win=6:41:3, win=14:63:6, time=235/23024
84: reward=-36.74 vs 92.85, winner=blue, r_win=6:41:3, win=14:64:6, time=271/23294
85: reward=-38.80 vs 94.99, winner=blue, r_win=6:41:3, win=14:65:6, time=181/23475
86: reward=-38.37 vs 94.92, winner=blue, r_win=6:41:3, win=14:66:6, time=120/23595
87: reward=-38.63 vs 94.33, winner=blue, r_win=6:41:3, win=14:67:6, time=208/23804
88: reward=-38.38 vs 94.44, winner=blue, r_win=6:41:3, win=14:68:6, time=158/23961
89: reward=-38.57 vs 95.17, winner=blue, r_win=6:41:3, win=14:69:6, time=131/24093
90: reward=-38.63 vs 95.08, winner=blue, r_win=5:42:3, win=14:70:6, time=148/24241
91: reward=-35.28 vs 91.20, winner=blue, r_win=4:43:3, win=14:71:6, time=293/24533
92: reward=-36.04 vs 93.10, winner=blue, r_win=4:43:3, win=14:72:6, time=257/24790
93: reward=-19.75 vs -10.75, winner=draw, r_win=4:42:4, win=14:72:7, time=193/24983
