69: reward=0.18 vs 2.08, winner=draw, r_win=2:28:20, win=3:37:29, time=96/8384
70: reward=2.06 vs 92.08, winner=blue, r_win=2:28:20, win=3:38:29, time=142/8527
71: reward=1.23 vs 2.38, winner=draw, r_win=2:27:21, win=3:38:30, time=129/8656
72: reward=1.18 vs 93.15, winner=blue, r_win=2:27:21, win=3:39:30, time=120/8776
73: reward=1.21 vs 93.42, winner=blue, r_win=2:27:21, win=3:40:30, time=119/8895
74: reward=92.78 vs 1.50, winner=red, r_win=3:26:21, win=4:40:30, time=110/9006
75: reward=2.27 vs 91.37, winner=blue, r_win=3:27:20, win=4:41:30, time=148/9153
76: reward=2.31 vs 91.03, winner=blue, r_win=2:28:20, win=4:42:30, time=159/9312
77: reward=93.71 vs 1.83, winner=red, r_win=3:28:19, win=5:42:30, time=97/9409
78: reward=1.68 vs 92.29, winner=blue, r_win=3:29:18, win=5:43:30, time=133/9543
79: reward=1.71 vs 91.84, winner=blue, r_win=3:30:17, win=5:44:30, time=143/9686
80: reward=0.15 vs 94.61, winner=blue, r_win=3:30:17, win=5:45:30, time=95/9781
81: reward=1.21 vs 2.18, winner=draw, r_win=3:30:17, win=5:45:31, time=137/9918
82: reward=1.21 vs 93.73, winner=blue, r_win=3:30:17, win=5:46:31, time=115/10033
83: reward=0.18 vs 1.83, winner=draw, r_win=3:29:18, win=5:46:32, time=82/10115
84: reward=2.08 vs 91.50, winner=blue, r_win=3:29:18, win=5:47:32, time=153/10268
85: reward=0.21 vs 93.47, winner=blue, r_win=3:30:17, win=5:48:32, time=120/10388
86: reward=1.23 vs 92.77, winner=blue, r_win=3:31:16, win=5:49:32, time=131/10520
87: reward=95.86 vs 1.00, winner=red, r_win=4:31:15, win=6:49:32, time=66/10586
88: reward=1.71 vs 93.01, winner=blue, r_win=4:31:15, win=6:50:32, time=126/10712
89: reward=0.18 vs 1.83, winner=draw, r_win=4:30:16, win=6:50:33, time=88/10800
90: reward=0.18 vs 1.83, winner=draw, r_win=4:29:17, win=6:50:34, time=84/10884
91: reward=1.18 vs 94.60, winner=blue, r_win=4:30:16, win=6:51:34, time=99/10984
92: reward=2.29 vs 91.40, winner=blue, r_win=4:31:15, win=6:52:34, time=153/11137
