59: reward=0.00 vs 95.38, recent_win=8 vs 40, winner=blue, win=11 vs 46, draw=2, time=58/6512
60: reward=0.00 vs 94.76, recent_win=8 vs 40, winner=blue, win=11 vs 47, draw=2, time=66/6578
61: reward=0.00 vs 86.59, recent_win=8 vs 40, winner=blue, win=11 vs 48, draw=2, time=187/6766
62: reward=88.30 vs 0.00, recent_win=9 vs 39, winner=red, win=12 vs 48, draw=2, time=160/6925
63: reward=87.40 vs 0.00, recent_win=10 vs 38, winner=red, win=13 vs 48, draw=2, time=174/7100
64: reward=0.00 vs 94.03, recent_win=10 vs 38, winner=blue, win=13 vs 49, draw=2, time=76/7176
65: reward=0.00 vs 95.23, recent_win=10 vs 38, winner=blue, win=13 vs 50, draw=2, time=60/7236
66: reward=86.25 vs 0.00, recent_win=11 vs 37, winner=red, win=14 vs 50, draw=2, time=193/7429
67: reward=89.08 vs 0.00, recent_win=11 vs 37, winner=red, win=15 vs 50, draw=2, time=148/7577
68: reward=0.00 vs 91.75, recent_win=10 vs 38, winner=blue, win=15 vs 51, draw=2, time=108/7685
69: reward=84.95 vs 0.00, recent_win=11 vs 37, winner=red, win=16 vs 51, draw=2, time=215/7900
70: reward=0.00 vs 93.39, recent_win=11 vs 37, winner=blue, win=16 vs 52, draw=2, time=85/7985
71: reward=90.62 vs 0.00, recent_win=12 vs 36, winner=red, win=17 vs 52, draw=2, time=125/8110
72: reward=89.15 vs 0.00, recent_win=13 vs 35, winner=red, win=18 vs 52, draw=2, time=147/8256
73: reward=0.00 vs 94.03, recent_win=13 vs 35, winner=blue, win=18 vs 53, draw=2, time=76/8333
74: reward=0.00 vs 93.23, recent_win=13 vs 35, winner=blue, win=18 vs 54, draw=2, time=87/8420
75: reward=0.00 vs 94.84, recent_win=13 vs 35, winner=blue, win=18 vs 55, draw=2, time=65/8485
76: reward=90.62 vs 0.00, recent_win=14 vs 34, winner=red, win=19 vs 55, draw=2, time=125/8610
77: reward=0.00 vs 91.67, recent_win=14 vs 34, winner=blue, win=19 vs 56, draw=2, time=109/8719
78: reward=87.54 vs 0.00, recent_win=15 vs 33, winner=red, win=20 vs 56, draw=2, time=172/8891
79: reward=0.00 vs 92.06, recent_win=15 vs 33, winner=blue, win=20 vs 57, draw=2, time=104/8995
80: reward=87.40 vs 0.00, recent_win=16 vs 32, winner=red, win=21 vs 57, draw=2, time=174/9169
81: reward=0.00 vs 95.53, recent_win=15 vs 33, winner=blue, win=21 vs 58, draw=2, time=56/9226
82: reward=0.00 vs 91.67, recent_win=15 vs 33, winner=blue, win=21 vs 59, draw=2, time=109/9335
83: reward=89.73 vs 0.00, recent_win=16 vs 32, winner=red, win=22 vs 59, draw=2, time=138/9473
84: reward=0.00 vs 93.79, recent_win=16 vs 32, winner=blue, win=22 vs 60, draw=2, time=80/9552
85: reward=86.79 vs 0.00, recent_win=17 vs 31, winner=red, win=23 vs 60, draw=2, time=184/9736
86: reward=0.00 vs 94.03, recent_win=17 vs 31, winner=blue, win=23 vs 61, draw=2, time=76/9813
87: reward=0.00 vs 94.03, recent_win=17 vs 31, winner=blue, win=23 vs 62, draw=2, time=76/9889
88: reward=0.00 vs 88.02, recent_win=17 vs 31, winner=blue, win=23 vs 63, draw=2, time=164/10053
89: reward=0.00 vs 93.31, recent_win=17 vs 31, winner=blue, win=23 vs 64, draw=2, time=86/10140
90: reward=0.00 vs 92.13, recent_win=17 vs 31, winner=blue, win=23 vs 65, draw=2, time=103/10242
91: reward=0.00 vs 95.61, recent_win=17 vs 31, winner=blue, win=23 vs 66, draw=2, time=55/10297
92: reward=89.66 vs 0.00, recent_win=18 vs 30, winner=red, win=24 vs 66, draw=2, time=139/10436
93: reward=0.00 vs 92.21, recent_win=18 vs 30, winner=blue, win=24 vs 67, draw=2, time=102/10538
94: reward=0.00 vs 91.29, recent_win=18 vs 30, winner=blue, win=24 vs 68, draw=2, time=115/10653
95: reward=0.00 vs 95.45, recent_win=18 vs 30, winner=blue, win=24 vs 69, draw=2, time=57/10710
96: reward=0.00 vs 85.66, recent_win=18 vs 30, winner=blue, win=24 vs 70, draw=2, time=203/10913
97: reward=89.15 vs 0.00, recent_win=19 vs 29, winner=red, win=25 vs 70, draw=2, time=147/11060
98: reward=0.00 vs 94.76, recent_win=18 vs 30, winner=blue, win=25 vs 71, draw=2, time=66/11126
99: reward=89.23 vs 0.00, recent_win=19 vs 29, winner=red, win=26 vs 71, draw=2, time=146/11272
100: reward=90.03 vs 0.00, recent_win=20 vs 29, winner=red, win=27 vs 71, draw=2, time=133/11405
101: reward=0.00 vs 92.13, recent_win=20 vs 29, winner=blue, win=27 vs 72, draw=2, time=103/11508
102: reward=0.00 vs 94.68, recent_win=19 vs 30, winner=blue, win=27 vs 73, draw=2, time=68/11575
