68: reward=2.53 vs 17.30, winner=blue, r_win=4:37:9, win=4:52:12, time=805/46533
69: reward=17.42 vs 3.18, winner=red, r_win=4:37:9, win=5:52:12, time=297/46829
70: reward=0.33 vs 19.03, winner=blue, r_win=4:37:9, win=5:53:12, time=340/47169
71: reward=1.35 vs 19.17, winner=blue, r_win=4:37:9, win=5:54:12, time=362/47531
72: reward=0.33 vs 3.25, winner=draw, r_win=4:36:10, win=5:54:13, time=268/47798
73: reward=1.85 vs 19.30, winner=blue, r_win=4:36:10, win=5:55:13, time=342/48140
74: reward=2.52 vs 17.55, winner=blue, r_win=4:36:10, win=5:56:13, time=729/48868
75: reward=0.33 vs 3.32, winner=draw, r_win=4:35:11, win=5:56:14, time=407/49275
76: reward=0.33 vs 19.32, winner=blue, r_win=4:36:10, win=5:57:14, time=319/49594
77: reward=1.85 vs 19.24, winner=blue, r_win=4:36:10, win=5:58:14, time=355/49948
78: reward=0.33 vs 19.81, winner=blue, r_win=4:37:9, win=5:59:14, time=260/50208
79: reward=2.18 vs 19.52, winner=blue, r_win=4:37:9, win=5:60:14, time=328/50535
80: reward=2.55 vs 16.80, winner=blue, r_win=4:38:8, win=5:61:14, time=998/51533
81: reward=0.34 vs 3.38, winner=draw, r_win=4:37:9, win=5:61:15, time=320/51853
82: reward=5.83 vs 8.39, winner=draw, r_win=4:36:10, win=5:61:16, time=1800/53653
83: reward=2.30 vs 16.67, winner=blue, r_win=4:36:10, win=5:62:16, time=1045/54697
84: reward=0.29 vs 2.93, winner=draw, r_win=4:36:10, win=5:62:17, time=212/54909
85: reward=3.37 vs 8.09, winner=draw, r_win=4:35:11, win=5:62:18, time=1800/56709
86: reward=0.46 vs 4.65, winner=draw, r_win=4:34:12, win=5:62:19, time=981/57690
87: reward=3.63 vs 17.19, winner=blue, r_win=4:34:12, win=5:63:19, time=881/58570
88: reward=2.27 vs 17.52, winner=blue, r_win=4:34:12, win=5:64:19, time=740/59310
89: reward=1.98 vs 16.42, winner=blue, r_win=4:34:12, win=5:65:19, time=1178/60488
90: reward=2.33 vs 5.15, winner=draw, r_win=4:33:13, win=5:65:20, time=1308/61796
91: reward=2.93 vs 16.67, winner=blue, r_win=4:34:12, win=5:66:20, time=1081/62877
92: reward=1.33 vs 3.42, winner=draw, r_win=4:34:12, win=5:66:21, time=312/63188
93: reward=2.78 vs 16.24, winner=blue, r_win=4:34:12, win=5:67:21, time=1370/64559
94: reward=3.39 vs 16.97, winner=blue, r_win=4:34:12, win=5:68:21, time=948/65506
95: reward=2.55 vs 16.95, winner=blue, r_win=4:35:11, win=5:69:21, time=948/66454
96: reward=4.88 vs 8.29, winner=draw, r_win=4:34:12, win=5:69:22, time=1800/68254
97: reward=1.95 vs 17.27, winner=blue, r_win=4:34:12, win=5:70:22, time=800/69054
98: reward=2.69 vs 18.32, winner=blue, r_win=4:34:12, win=5:71:22, time=557/69610
99: reward=1.44 vs 17.06, winner=blue, r_win=3:35:12, win=5:72:22, time=836/70446
100: reward=1.39 vs 18.51, winner=blue, r_win=3:35:12, win=5:73:22, time=487/70932
101: reward=0.35 vs 19.26, winner=blue, r_win=3:35:12, win=5:74:22, time=342/71274
102: reward=1.42 vs 17.50, winner=blue, r_win=3:36:11, win=5:75:22, time=694/71968
103: reward=2.26 vs 17.70, winner=blue, r_win=3:36:11, win=5:76:22, time=677/72644
104: reward=1.33 vs 19.67, winner=blue, r_win=3:36:11, win=5:77:22, time=282/72926
105: reward=1.94 vs 17.23, winner=blue, r_win=2:37:11, win=5:78:22, time=794/73719
106: reward=2.29 vs 16.89, winner=blue, r_win=2:38:10, win=5:79:22, time=950/74669
107: reward=1.90 vs 18.38, winner=blue, r_win=2:38:10, win=5:80:22, time=526/75195
108: reward=0.44 vs 16.96, winner=blue, r_win=2:38:10, win=5:81:22, time=832/76026
109: reward=1.49 vs 16.13, winner=blue, r_win=2:38:10, win=5:82:22, time=1322/77348
110: reward=0.31 vs 19.78, winner=blue, r_win=2:38:10, win=5:83:22, time=249/77597
111: reward=1.43 vs 17.31, winner=blue, r_win=2:38:10, win=5:84:22, time=760/78356
112: reward=1.95 vs 17.01, winner=blue, r_win=2:38:10, win=5:85:22, time=867/79223
113: reward=2.50 vs 17.83, winner=blue, r_win=2:38:10, win=5:86:22, time=640/79863
114: reward=15.58 vs 3.73, winner=red, r_win=3:37:10, win=6:86:22, time=520/80382
115: reward=1.97 vs 4.85, winner=draw, r_win=3:36:11, win=6:86:23, time=993/81375
116: reward=2.25 vs 18.05, winner=blue, r_win=3:36:11, win=6:87:23, time=598/81972
117: reward=13.16 vs 5.07, winner=red, r_win=3:36:11, win=7:87:23, time=1293/83266
118: reward=1.37 vs 19.04, winner=blue, r_win=3:36:11, win=7:88:23, time=392/83657
119: reward=2.49 vs 17.98, winner=blue, r_win=2:37:11, win=7:89:23, time=595/84252
120: reward=0.40 vs 18.19, winner=blue, r_win=2:37:11, win=7:90:23, time=531/84782
121: reward=1.37 vs 18.92, winner=blue, r_win=2:37:11, win=7:91:23, time=406/85188
122: reward=2.81 vs 16.07, winner=blue, r_win=2:38:10, win=7:92:23, time=1673/86861
123: reward=1.36 vs 19.29, winner=blue, r_win=2:38:10, win=7:93:23, time=354/87214
124: reward=0.41 vs 17.76, winner=blue, r_win=2:38:10, win=7:94:23, time=620/87834
125: reward=2.56 vs 4.98, winner=draw, r_win=2:38:10, win=7:94:24, time=1074/88908
126: reward=1.93 vs 17.56, winner=blue, r_win=2:38:10, win=7:95:24, time=698/89606
127: reward=1.46 vs 4.66, winner=draw, r_win=2:37:11, win=7:95:25, time=888/90493
128: reward=2.51 vs 17.71, winner=blue, r_win=2:37:11, win=7:96:25, time=688/91181
129: reward=1.91 vs 18.17, winner=blue, r_win=2:37:11, win=7:97:25, time=571/91751
130: reward=0.39 vs 18.36, winner=blue, r_win=2:37:11, win=7:98:25, time=493/92244
131: reward=0.37 vs 18.80, winner=blue, r_win=2:38:10, win=7:99:25, time=413/92657
132: reward=0.40 vs 18.24, winner=blue, r_win=2:39:9, win=7:100:25, time=515/93171
133: reward=1.89 vs 18.65, winner=blue, r_win=2:39:9, win=7:101:25, time=470/93641
134: reward=1.88 vs 18.80, winner=blue, r_win=2:40:8, win=7:102:25, time=441/94081
135: reward=1.91 vs 17.84, winner=blue, r_win=2:41:7, win=7:103:25, time=627/94708
136: reward=17.53 vs 3.32, winner=red, r_win=3:41:6, win=8:103:25, time=288/94996
137: reward=5.46 vs 8.37, winner=draw, r_win=3:40:7, win=8:103:26, time=1800/96796
138: reward=2.92 vs 16.89, winner=blue, r_win=3:40:7, win=8:104:26, time=980/97775
139: reward=0.37 vs 19.00, winner=blue, r_win=3:40:7, win=8:105:26, time=385/98160
140: reward=1.36 vs 18.05, winner=blue, r_win=3:41:6, win=8:106:26, time=513/98673
141: reward=0.34 vs 3.44, winner=draw, r_win=3:40:7, win=8:106:27, time=311/98983
142: reward=2.73 vs 17.44, winner=blue, r_win=3:41:6, win=8:107:27, time=778/99761
143: reward=3.12 vs 16.09, winner=blue, r_win=3:41:6, win=8:108:27, time=1744/101505
144: reward=0.33 vs 19.44, winner=blue, r_win=3:41:6, win=8:109:27, time=301/101805
145: reward=1.40 vs 4.16, winner=draw, r_win=3:40:7, win=8:109:28, time=521/102326
146: reward=2.19 vs 18.93, winner=blue, r_win=3:41:6, win=8:110:28, time=399/102725
147: reward=0.30 vs 20.02, winner=blue, r_win=3:41:6, win=8:111:28, time=228/102953
148: reward=0.35 vs 19.12, winner=blue, r_win=3:41:6, win=8:112:28, time=357/103309
149: reward=0.35 vs 3.55, winner=draw, r_win=3:40:7, win=8:112:29, time=352/103661
150: reward=14.40 vs 4.81, winner=red, r_win=4:39:7, win=9:112:29, time=936/104597
151: reward=13.84 vs 4.66, winner=red, r_win=5:38:7, win=10:112:29, time=860/105456
152: reward=3.26 vs 17.58, winner=blue, r_win=5:38:7, win=10:113:29, time=738/106194
153: reward=0.42 vs 4.20, winner=draw, r_win=5:37:8, win=10:113:30, time=611/106804
154: reward=0.33 vs 19.55, winner=blue, r_win=5:37:8, win=10:114:30, time=290/107094
155: reward=0.34 vs 19.32, winner=blue, r_win=5:37:8, win=10:115:30, time=319/107413
156: reward=17.22 vs 3.38, winner=red, r_win=6:36:8, win=11:115:30, time=319/107731
157: reward=16.94 vs 3.95, winner=red, r_win=7:35:8, win=12:115:30, time=451/108182
158: reward=0.34 vs 19.47, winner=blue, r_win=7:35:8, win=12:116:30, time=309/108490
159: reward=0.34 vs 19.55, winner=blue, r_win=7:35:8, win=12:117:30, time=296/108786
160: reward=0.34 vs 19.65, winner=blue, r_win=7:35:8, win=12:118:30, time=286/109072
161: reward=1.43 vs 4.43, winner=draw, r_win=7:34:9, win=12:118:31, time=698/109769
162: reward=2.69 vs 18.36, winner=blue, r_win=7:34:9, win=12:119:31, time=547/110316
163: reward=1.90 vs 18.39, winner=blue, r_win=7:34:9, win=12:120:31, time=519/110834
164: reward=0.32 vs 19.78, winner=blue, r_win=6:35:9, win=12:121:31, time=262/111096
165: reward=4.88 vs 8.30, winner=draw, r_win=6:35:9, win=12:121:32, time=1800/112896
166: reward=0.41 vs 4.06, winner=draw, r_win=6:34:10, win=12:121:33, time=549/113445
167: reward=0.34 vs 3.44, winner=draw, r_win=5:34:11, win=12:121:34, time=318/113762
168: reward=1.35 vs 19.42, winner=blue, r_win=5:34:11, win=12:122:34, time=335/114097
169: reward=2.24 vs 18.10, winner=blue, r_win=5:34:11, win=12:123:34, time=581/114678
170: reward=14.00 vs 4.50, winner=red, r_win=6:33:11, win=13:123:34, time=821/115498
171: reward=2.66 vs 19.02, winner=blue, r_win=6:33:11, win=13:124:34, time=417/115915
172: reward=14.52 vs 4.47, winner=red, r_win=7:32:11, win=14:124:34, time=707/116621
173: reward=2.28 vs 17.32, winner=blue, r_win=7:32:11, win=14:125:34, time=799/117420
174: reward=0.36 vs 19.07, winner=blue, r_win=7:32:11, win=14:126:34, time=367/117787
175: reward=17.46 vs 3.25, winner=red, r_win=8:32:10, win=15:126:34, time=294/118080
176: reward=16.10 vs 3.85, winner=red, r_win=9:31:10, win=16:126:34, time=452/118532
177: reward=1.35 vs 19.34, winner=blue, r_win=9:32:9, win=16:127:34, time=339/118870
178: reward=0.30 vs 20.04, winner=blue, r_win=9:32:9, win=16:128:34, time=219/119090
179: reward=1.35 vs 3.65, winner=draw, r_win=9:31:10, win=16:128:35, time=347/119436
180: reward=1.33 vs 19.67, winner=blue, r_win=9:31:10, win=16:129:35, time=288/119724
181: reward=0.41 vs 17.97, winner=blue, r_win=9:31:10, win=16:130:35, time=582/120306
182: reward=2.53 vs 4.60, winner=draw, r_win=9:30:11, win=16:130:36, time=763/121068
183: reward=1.36 vs 19.19, winner=blue, r_win=9:30:11, win=16:131:36, time=365/121433
184: reward=18.21 vs 3.59, winner=red, r_win=10:29:11, win=17:131:36, time=330/121762
185: reward=0.35 vs 18.97, winner=blue, r_win=10:29:11, win=17:132:36, time=378/122140
186: reward=0.35 vs 19.46, winner=blue, r_win=9:30:11, win=17:133:36, time=316/122456
187: reward=14.15 vs 4.88, winner=red, r_win=10:30:10, win=18:133:36, time=1015/123470
188: reward=0.33 vs 19.87, winner=blue, r_win=10:30:10, win=18:134:36, time=253/123724
189: reward=1.89 vs 18.71, winner=blue, r_win=10:30:10, win=18:135:36, time=462/124185
190: reward=0.39 vs 3.93, winner=draw, r_win=10:29:11, win=18:135:37, time=468/124653
191: reward=13.26 vs 5.05, winner=red, r_win=11:29:10, win=19:135:37, time=1240/125893
192: reward=1.87 vs 3.88, winner=draw, r_win=11:28:11, win=19:135:38, time=393/126286
193: reward=2.34 vs 5.21, winner=draw, r_win=11:27:12, win=19:135:39, time=1343/127628
194: reward=0.31 vs 3.10, winner=draw, r_win=11:26:13, win=19:135:40, time=377/128005
195: reward=0.34 vs 19.36, winner=blue, r_win=11:27:12, win=19:136:40, time=321/128325
196: reward=1.97 vs 16.83, winner=blue, r_win=11:27:12, win=19:137:40, time=975/129300
197: reward=1.33 vs 3.35, winner=draw, r_win=11:26:13, win=19:137:41, time=392/129692
198: reward=1.34 vs 19.63, winner=blue, r_win=11:26:13, win=19:138:41, time=303/129994
199: reward=0.34 vs 3.38, winner=draw, r_win=11:26:13, win=19:138:42, time=286/130280
200: reward=0.31 vs 3.10, winner=draw, r_win=10:26:14, win=19:138:43, time=240/130520
201: reward=1.47 vs 16.82, winner=blue, r_win=9:27:14, win=19:139:43, time=958/131478
202: reward=0.35 vs 19.43, winner=blue, r_win=9:27:14, win=19:140:43, time=319/131796
203: reward=0.32 vs 3.18, winner=draw, r_win=9:27:14, win=19:140:44, time=246/132042
204: reward=1.85 vs 19.45, winner=blue, r_win=9:27:14, win=19:141:44, time=336/132378
205: reward=0.35 vs 3.50, winner=draw, r_win=9:26:15, win=19:141:45, time=329/132706
