45: reward=-0.40 vs 5.00, reward_evade=3.00 vs 4.00, win=1 vs 24, recent_win=1 vs 24, draw=20, winner=draw, time=137/5319
46: reward=4.10 vs 96.32, reward_evade=5.00 vs 10.00, win=1 vs 25, recent_win=1 vs 25, draw=20, winner=blue, time=198/5517
47: reward=-0.40 vs 5.00, reward_evade=5.00 vs 4.00, win=1 vs 25, recent_win=1 vs 25, draw=21, winner=draw, time=95/5612
48: reward=-0.30 vs 98.05, reward_evade=5.00 vs 4.00, win=1 vs 26, recent_win=1 vs 26, draw=21, winner=blue, time=88/5701
49: reward=-0.30 vs 3.00, reward_evade=5.00 vs 3.00, win=1 vs 26, recent_win=1 vs 26, draw=22, winner=draw, time=77/5778
50: reward=-0.30 vs 97.74, reward_evade=5.00 vs 4.00, win=1 vs 27, recent_win=1 vs 27, draw=22, winner=blue, time=93/5871
51: reward=-0.30 vs 4.00, reward_evade=5.00 vs 3.00, win=1 vs 27, recent_win=1 vs 26, draw=23, winner=draw, time=85/5956
52: reward=0.60 vs 97.55, reward_evade=1.00 vs 5.00, win=1 vs 28, recent_win=1 vs 26, draw=23, winner=blue, time=108/6064
53: reward=1.70 vs 2.90, reward_evade=1.00 vs 3.00, win=1 vs 28, recent_win=1 vs 25, draw=24, winner=draw, time=84/6148
54: reward=0.50 vs 97.05, reward_evade=1.00 vs 6.00, win=1 vs 29, recent_win=1 vs 26, draw=24, winner=blue, time=130/6278
55: reward=0.60 vs 96.87, reward_evade=1.00 vs 5.00, win=1 vs 30, recent_win=1 vs 26, draw=24, winner=blue, time=118/6396
56: reward=0.40 vs 97.46, reward_evade=1.00 vs 7.00, win=1 vs 31, recent_win=1 vs 27, draw=24, winner=blue, time=139/6535
57: reward=0.80 vs 2.00, reward_evade=1.00 vs 2.00, win=1 vs 31, recent_win=1 vs 26, draw=25, winner=draw, time=70/6605
58: reward=1.50 vs 97.87, reward_evade=2.00 vs 6.00, win=1 vs 32, recent_win=1 vs 27, draw=25, winner=blue, time=118/6723
59: reward=1.70 vs 3.00, reward_evade=1.00 vs 3.00, win=1 vs 32, recent_win=1 vs 27, draw=26, winner=draw, time=100/6824
60: reward=-0.20 vs 3.00, reward_evade=1.00 vs 2.00, win=1 vs 32, recent_win=1 vs 27, draw=27, winner=draw, time=70/6893
61: reward=-0.50 vs 6.00, reward_evade=1.00 vs 5.00, win=1 vs 32, recent_win=1 vs 26, draw=28, winner=draw, time=135/7028
62: reward=-0.30 vs 4.00, reward_evade=1.00 vs 3.00, win=1 vs 32, recent_win=1 vs 25, draw=29, winner=draw, time=76/7104
63: reward=3.20 vs 97.55, reward_evade=4.00 vs 9.00, win=1 vs 33, recent_win=1 vs 25, draw=29, winner=blue, time=165/7270
64: reward=-0.40 vs 97.96, reward_evade=4.00 vs 5.00, win=1 vs 34, recent_win=1 vs 25, draw=29, winner=blue, time=104/7374
65: reward=2.30 vs 98.00, reward_evade=3.00 vs 9.00, win=1 vs 35, recent_win=1 vs 26, draw=29, winner=blue, time=160/7533
66: reward=2.30 vs 96.65, reward_evade=3.00 vs 8.00, win=1 vs 36, recent_win=1 vs 26, draw=29, winner=blue, time=165/7699
67: reward=2.20 vs 97.79, reward_evade=3.00 vs 9.00, win=1 vs 37, recent_win=1 vs 26, draw=29, winner=blue, time=163/7862
68: reward=1.30 vs 7.80, reward_evade=2.00 vs 7.00, win=1 vs 37, recent_win=1 vs 25, draw=30, winner=draw, time=160/8022
69: reward=-0.60 vs 7.00, reward_evade=2.00 vs 6.00, win=1 vs 37, recent_win=1 vs 25, draw=31, winner=draw, time=150/8172
70: reward=0.80 vs 2.00, reward_evade=2.00 vs 2.00, win=1 vs 37, recent_win=1 vs 24, draw=32, winner=draw, time=76/8248
71: reward=94.64 vs 3.80, reward_evade=3.00 vs 4.00, win=2 vs 37, recent_win=2 vs 23, draw=32, winner=red, time=117/8365
72: reward=0.60 vs 96.64, reward_evade=1.00 vs 5.00, win=2 vs 38, recent_win=1 vs 24, draw=32, winner=blue, time=121/8487
73: reward=1.40 vs 98.19, reward_evade=2.00 vs 7.00, win=2 vs 39, recent_win=1 vs 25, draw=32, winner=blue, time=128/8615
74: reward=0.70 vs 97.93, reward_evade=1.00 vs 5.00, win=2 vs 40, recent_win=1 vs 26, draw=32, winner=blue, time=103/8717
75: reward=0.60 vs 97.87, reward_evade=1.00 vs 6.00, win=2 vs 41, recent_win=1 vs 26, draw=32, winner=blue, time=118/8835
76: reward=1.40 vs 97.14, reward_evade=2.00 vs 7.00, win=2 vs 42, recent_win=1 vs 27, draw=32, winner=blue, time=142/8978
77: reward=1.40 vs 6.80, reward_evade=2.00 vs 6.00, win=2 vs 42, recent_win=1 vs 27, draw=33, winner=draw, time=144/9122
78: reward=0.40 vs 6.90, reward_evade=1.00 vs 6.00, win=2 vs 42, recent_win=1 vs 27, draw=34, winner=draw, time=141/9263
79: reward=0.70 vs 3.00, reward_evade=1.00 vs 3.00, win=2 vs 42, recent_win=1 vs 27, draw=35, winner=draw, time=92/9355
80: reward=-0.30 vs 4.00, reward_evade=1.00 vs 3.00, win=2 vs 42, recent_win=1 vs 26, draw=36, winner=draw, time=83/9438
81: reward=0.80 vs 2.00, reward_evade=1.00 vs 2.00, win=2 vs 42, recent_win=1 vs 26, draw=37, winner=draw, time=81/9519
82: reward=0.60 vs 98.34, reward_evade=1.00 vs 5.00, win=2 vs 43, recent_win=1 vs 26, draw=37, winner=blue, time=98/9617
83: reward=0.40 vs 6.90, reward_evade=1.00 vs 6.00, win=2 vs 43, recent_win=1 vs 25, draw=38, winner=draw, time=142/9759
84: reward=1.70 vs 3.00, reward_evade=1.00 vs 3.00, win=2 vs 43, recent_win=1 vs 25, draw=39, winner=draw, time=92/9851
85: reward=1.50 vs 97.73, reward_evade=2.00 vs 7.00, win=2 vs 44, recent_win=1 vs 26, draw=39, winner=blue, time=133/9985
86: reward=0.80 vs 2.00, reward_evade=2.00 vs 2.00, win=2 vs 44, recent_win=1 vs 25, draw=40, winner=draw, time=69/10053
87: reward=1.60 vs 98.17, reward_evade=2.00 vs 6.00, win=2 vs 45, recent_win=1 vs 25, draw=40, winner=blue, time=114/10167
88: reward=-0.40 vs 5.00, reward_evade=2.00 vs 4.00, win=2 vs 45, recent_win=1 vs 24, draw=41, winner=draw, time=95/10262
89: reward=1.40 vs 97.64, reward_evade=2.00 vs 8.00, win=2 vs 46, recent_win=1 vs 24, draw=41, winner=blue, time=150/10412
90: reward=0.70 vs 3.00, reward_evade=2.00 vs 3.00, win=2 vs 46, recent_win=1 vs 23, draw=42, winner=draw, time=78/10490
91: reward=0.90 vs 1.00, reward_evade=2.00 vs 1.00, win=2 vs 46, recent_win=1 vs 23, draw=43, winner=draw, time=69/10559
92: reward=0.40 vs 96.88, reward_evade=1.00 vs 7.00, win=2 vs 47, recent_win=1 vs 24, draw=43, winner=blue, time=148/10707
93: reward=5.20 vs 7.40, reward_evade=6.00 vs 8.00, win=2 vs 47, recent_win=1 vs 24, draw=44, winner=draw, time=162/10869
94: reward=0.40 vs 6.90, reward_evade=1.00 vs 6.00, win=2 vs 47, recent_win=1 vs 23, draw=45, winner=draw, time=129/10998
95: reward=0.40 vs 6.90, reward_evade=1.00 vs 6.00, win=2 vs 47, recent_win=1 vs 23, draw=46, winner=draw, time=146/11144
96: reward=-0.30 vs 4.00, reward_evade=1.00 vs 3.00, win=2 vs 47, recent_win=1 vs 22, draw=47, winner=draw, time=83/11226
97: reward=0.50 vs 5.90, reward_evade=1.00 vs 5.00, win=2 vs 47, recent_win=1 vs 22, draw=48, winner=draw, time=151/11378
98: reward=2.40 vs 97.73, reward_evade=3.00 vs 7.00, win=2 vs 48, recent_win=1 vs 22, draw=48, winner=blue, time=133/11511
99: reward=0.80 vs 2.00, reward_evade=3.00 vs 2.00, win=2 vs 48, recent_win=1 vs 22, draw=49, winner=draw, time=70/11581
100: reward=95.41 vs 2.00, reward_evade=1.00 vs 2.00, win=3 vs 48, recent_win=2 vs 21, draw=49, winner=red, time=81/11661
101: reward=0.50 vs 96.97, reward_evade=1.00 vs 6.00, win=3 vs 49, recent_win=2 vs 22, draw=49, winner=blue, time=131/11793
102: reward=0.60 vs 97.94, reward_evade=1.00 vs 6.00, win=3 vs 50, recent_win=2 vs 22, draw=49, winner=blue, time=117/11910
103: reward=-0.50 vs 96.85, reward_evade=1.00 vs 6.00, win=3 vs 51, recent_win=2 vs 23, draw=49, winner=blue, time=135/12044
104: reward=0.70 vs 2.00, reward_evade=1.00 vs 2.00, win=3 vs 51, recent_win=2 vs 22, draw=50, winner=draw, time=82/12126
105: reward=0.40 vs 96.17, reward_evade=1.00 vs 6.00, win=3 vs 52, recent_win=2 vs 22, draw=50, winner=blue, time=143/12270
106: reward=1.50 vs 4.90, reward_evade=1.00 vs 5.00, win=3 vs 52, recent_win=2 vs 21, draw=51, winner=draw, time=147/12416
107: reward=1.40 vs 97.29, reward_evade=2.00 vs 7.00, win=3 vs 53, recent_win=2 vs 22, draw=51, winner=blue, time=140/12556
108: reward=0.50 vs 97.12, reward_evade=1.00 vs 6.00, win=3 vs 54, recent_win=2 vs 22, draw=51, winner=blue, time=129/12685
109: reward=-0.30 vs 4.00, reward_evade=1.00 vs 3.00, win=3 vs 54, recent_win=2 vs 22, draw=52, winner=draw, time=84/12769
110: reward=5.70 vs 12.30, reward_evade=7.00 vs 13.00, win=3 vs 54, recent_win=2 vs 22, draw=53, winner=draw, time=236/13005
111: reward=0.60 vs 97.79, reward_evade=1.00 vs 6.00, win=3 vs 55, recent_win=2 vs 23, draw=53, winner=blue, time=119/13124
112: reward=0.80 vs 2.00, reward_evade=1.00 vs 2.00, win=3 vs 55, recent_win=2 vs 23, draw=54, winner=draw, time=68/13192
113: reward=1.40 vs 95.43, reward_evade=2.00 vs 6.00, win=3 vs 56, recent_win=2 vs 23, draw=54, winner=blue, time=153/13345
114: reward=96.40 vs 1.00, reward_evade=1.00 vs 1.00, win=4 vs 56, recent_win=3 vs 22, draw=54, winner=red, time=69/13414
115: reward=-0.50 vs 6.00, reward_evade=1.00 vs 5.00, win=4 vs 56, recent_win=3 vs 21, draw=55, winner=draw, time=136/13550
