58: reward=0.95 vs 7.80, win=4 vs 48, recent_win=4 vs 40, draw=6, winner=blue, time=155/29142
59: reward=1.75 vs 17.50, win=4 vs 49, recent_win=4 vs 40, draw=6, winner=blue, time=476/29618
60: reward=0.85 vs 7.80, win=4 vs 50, recent_win=4 vs 40, draw=6, winner=blue, time=160/29778
61: reward=9.10 vs 39.40, win=4 vs 50, recent_win=4 vs 39, draw=7, winner=draw, time=1800/31578
62: reward=12.30 vs 36.20, win=4 vs 50, recent_win=4 vs 39, draw=8, winner=draw, time=1800/33378
63: reward=0.70 vs 3.90, win=4 vs 51, recent_win=4 vs 39, draw=8, winner=blue, time=100/33479
64: reward=6.75 vs 19.90, win=4 vs 52, recent_win=4 vs 40, draw=8, winner=blue, time=1067/34545
65: reward=10.50 vs 41.20, win=4 vs 52, recent_win=3 vs 40, draw=9, winner=draw, time=1800/36345
66: reward=11.55 vs 44.20, win=4 vs 52, recent_win=3 vs 40, draw=10, winner=draw, time=1800/38145
67: reward=-0.70 vs 5.00, win=4 vs 52, recent_win=3 vs 39, draw=11, winner=draw, time=108/38254
68: reward=7.55 vs 34.80, win=4 vs 52, recent_win=3 vs 38, draw=12, winner=draw, time=1380/39634
69: reward=2.40 vs 18.50, win=4 vs 53, recent_win=3 vs 38, draw=12, winner=blue, time=474/40107
70: reward=11.15 vs 46.20, win=4 vs 53, recent_win=3 vs 37, draw=13, winner=draw, time=1800/41907
71: reward=1.00 vs 0.90, win=4 vs 54, recent_win=3 vs 37, draw=13, winner=blue, time=95/42002
72: reward=4.25 vs 24.20, win=4 vs 55, recent_win=3 vs 37, draw=13, winner=blue, time=792/42794
73: reward=2.40 vs 0.90, win=5 vs 55, recent_win=4 vs 36, draw=13, winner=red, time=94/42888
74: reward=6.95 vs 18.10, win=5 vs 56, recent_win=4 vs 36, draw=13, winner=blue, time=1052/43940
75: reward=-0.20 vs 3.00, win=5 vs 57, recent_win=4 vs 37, draw=13, winner=blue, time=98/44038
76: reward=1.70 vs 2.00, win=6 vs 57, recent_win=5 vs 36, draw=13, winner=red, time=84/44122
77: reward=0.90 vs 1.00, win=6 vs 57, recent_win=4 vs 36, draw=14, winner=draw, time=64/44187
78: reward=10.45 vs 33.60, win=6 vs 58, recent_win=4 vs 37, draw=14, winner=blue, time=1448/45635
79: reward=2.45 vs 3.90, win=7 vs 58, recent_win=4 vs 37, draw=14, winner=red, time=143/45778
80: reward=0.50 vs 5.90, win=7 vs 59, recent_win=4 vs 37, draw=14, winner=blue, time=141/45919
81: reward=1.35 vs 2.80, win=7 vs 60, recent_win=4 vs 37, draw=14, winner=blue, time=105/46024
82: reward=-0.20 vs 4.00, win=7 vs 61, recent_win=4 vs 38, draw=14, winner=blue, time=100/46125
83: reward=1.65 vs 2.80, win=7 vs 62, recent_win=4 vs 38, draw=14, winner=blue, time=105/46230
84: reward=9.45 vs 31.70, win=7 vs 63, recent_win=4 vs 38, draw=14, winner=blue, time=1413/47643
85: reward=2.90 vs 11.60, win=7 vs 64, recent_win=4 vs 38, draw=14, winner=blue, time=424/48066
86: reward=6.70 vs 21.10, win=7 vs 65, recent_win=4 vs 38, draw=14, winner=blue, time=1050/49116
87: reward=9.15 vs 35.70, win=7 vs 66, recent_win=4 vs 38, draw=14, winner=blue, time=1396/50513
88: reward=4.65 vs 21.30, win=7 vs 67, recent_win=4 vs 38, draw=14, winner=blue, time=768/51280
89: reward=13.20 vs 37.20, win=7 vs 67, recent_win=4 vs 37, draw=15, winner=draw, time=1800/53081
90: reward=11.50 vs 50.20, win=7 vs 67, recent_win=4 vs 36, draw=16, winner=draw, time=1800/54881
91: reward=11.20 vs 39.30, win=7 vs 68, recent_win=4 vs 36, draw=16, winner=blue, time=1629/56509
92: reward=0.90 vs 1.00, win=7 vs 68, recent_win=4 vs 35, draw=17, winner=draw, time=66/56576
93: reward=13.40 vs 39.20, win=7 vs 68, recent_win=4 vs 34, draw=18, winner=draw, time=1800/58376
94: reward=7.30 vs 23.10, win=8 vs 68, recent_win=5 vs 33, draw=18, winner=red, time=982/59358
95: reward=12.85 vs 44.20, win=8 vs 68, recent_win=5 vs 32, draw=19, winner=draw, time=1800/61158
96: reward=-0.20 vs 2.00, win=8 vs 68, recent_win=5 vs 31, draw=20, winner=draw, time=75/61233
